depth	min	max	median	mean
1	-67	991	132	220
5	-16	1153	288	360
20	281	1755	799	858
40	770	2498	1480	1523
60	1295	3286	2154	2190
80	1871	4002	2808	2845
100	2452	4740	3470	3503
120	3053	5415	4141	4171
140	3689	6136	4823	4844
160	4270	6806	5497	5507
180	4925	7464	6163	6174
200	5610	8160	6832	6838
220	6285	8811	7489	7504
240	6970	9442	8151	8166
260	7647	10106	8811	8826
280	8366	10749	9468	9488
290	8697	11014	9795	9816
300	9065	11335	10120	10149
310	9464	11669	10461	10484
320	9824	11946	10803	10820
340	10539	12562	11465	11482
360	11337	13213	12115	12136
370	11754	13545	12449	12473
380	12201	13881	12767	12804
400	13084	14956	13604	13688
410	13440	15586	14176	14254
420	13851	16215	14751	14823
430	14274	16887	15342	15397
440	14756	17481	15923	15970
450	15239	18088	16501	16542
460	15733	18731	17102	17124
470	16265	19325	17661	17701
480	16781	19892	18244	18271
490	17309	20484	18810	18840
500	17837	21082	19380	19404
510	18418	21649	19979	19982
520	18986	22204	20554	20563
525	19280	22490	20842	20849
530	19587	22765	21131	21136
535	19862	23005	21417	21415
540	20152	23287	21697	21697
545	20491	23599	21964	21977
550	20803	23869	22244	22257
555	21133	24148	22513	22541
560	21431	24432	22789	22822
565	21759	24696	23073	23103
570	22105	24981	23361	23393
580	22798	25599	23907	23969
590	23503	26180	24439	24533
600	23998	26764	24970	25056
