depth	min	max	median	mean
1	680	899	788	799
23	812	1041	932	928
49	949	1212	1083	1082
73	1091	1319	1218	1214
95	1277	1390	1333	1333
120	1398	1709	1517	1526
125	1419	1745	1554	1562
150	1534	1997	1769	1765
175	1759	2184	1979	1979
195	2045	2280	2150	2164
220	2178	2566	2350	2353
250	2335	2726	2522	2523
275	2497	2871	2684	2683
300	2723	2972	2834	2839
323	2862	3153	2990	2993
348	2996	3294	3128	3135
366	3120	3379	3249	3251
390	3378	3528	3453	3454
412	3475	3665	3564	3565
437	3561	3780	3668	3669
464	3671	3908	3782	3784
489	3801	4020	3885	3889
515	3936	4270	4079	4086
540	4056	4522	4278	4282
574	4295	4848	4591	4581
599	4444	5038	4850	4809
626	4582	5184	5004	4961
649	4698	5247	5101	5051
674	4816	5311	5204	5152
699	4974	5373	5311	5255
722	5093	5440	5369	5329
747	5214	5499	5423	5401
761	5285	5530	5458	5444
786	5440	5569	5525	5520
806	5533	5735	5620	5624
831	5624	6035	5803	5809
862	5818	6313	6078	6074
887	6028	6447	6311	6294
911	6162	6547	6412	6401
936	6352	6622	6511	6508
961	6489	6713	6612	6609
987	6640	6800	6706	6709
1012	6756	7035	6874	6881
1064	7116	7484	7310	7308
1089	7398	7622	7497	7501
1115	7521	7759	7635	7637
1140	7623	7883	7761	7759
1165	7760	7970	7886	7880
1177	7860	8000	7943	7941
1202	7954	8197	8061	8066
1219	8016	8285	8153	8151
1244	8116	8413	8275	8271
1274	8208	8528	8420	8412
1299	8278	8665	8528	8517
1325	8347	8794	8651	8627
1350	8420	8897	8763	8728
1375	8512	8970	8893	8835
1394	8614	9138	8991	8950
1419	8816	9302	9149	9127
1444	9085	9437	9315	9302
1469	9420	9524	9481	9479
1494	9527	9764	9616	9625
1519	9619	9910	9751	9756
1544	9741	10050	9891	9893
1569	9887	10150	10025	10024
1589	9965	10312	10139	10136
1604	10035	10417	10222	10222
1629	10168	10589	10369	10370
1654	10287	10745	10510	10513
1679	10432	10881	10659	10660
1704	10586	11005	10811	10808
1729	10778	11109	10962	10958
1754	10954	11220	11106	11101
