depth	min	max	median	mean
215	5730	6448	6080	6072
216	5747	6468	6103	6096
217	5762	6494	6125	6120
218	5780	6532	6148	6144
219	5790	6573	6170	6168
220	5804	6615	6190	6192
221	5831	6638	6214	6216
222	5846	6659	6238	6241
223	5863	6692	6261	6265
224	5884	6730	6282	6290
225	5898	6766	6306	6314
226	5925	6786	6332	6338
227	5950	6805	6357	6363
228	5973	6847	6380	6387
229	5987	6878	6404	6411
230	6009	6924	6426	6435
231	6030	6945	6450	6459
232	6051	6970	6475	6483
233	6075	6992	6500	6506
234	6091	7032	6524	6530
235	6106	7062	6547	6554
236	6133	7086	6570	6577
237	6157	7106	6593	6600
238	6172	7127	6616	6624
239	6192	7156	6639	6647
240	6208	7190	6661	6671
241	6227	7208	6687	6695
242	6245	7234	6712	6720
243	6272	7261	6737	6744
244	6285	7295	6762	6769
245	6301	7325	6787	6793
246	6326	7352	6811	6817
247	6348	7373	6836	6841
248	6370	7398	6859	6865
249	6387	7431	6886	6890
250	6408	7454	6912	6914
251	6430	7474	6933	6938
252	6450	7503	6958	6962
253	6477	7523	6986	6986
254	6496	7559	7010	7010
255	6513	7585	7031	7034
256	6538	7606	7055	7058
257	6563	7620	7080	7082
258	6587	7639	7105	7106
259	6610	7657	7131	7130
260	6627	7676	7151	7154
261	6654	7696	7178	7178
262	6680	7716	7205	7202
263	6694	7739	7230	7226
264	6712	7763	7252	7250
265	6729	7786	7278	7274
266	6755	7806	7305	7298
267	6783	7830	7331	7323
268	6811	7860	7354	7347
269	6834	7890	7379	7371
270	6851	7927	7404	7395
271	6878	7939	7425	7419
272	6905	7959	7449	7443
273	6928	7985	7471	7466
274	6947	8001	7493	7490
275	6964	8032	7515	7514
276	6991	8060	7541	7539
277	7021	8080	7567	7564
278	7051	8108	7590	7589
279	7078	8133	7615	7614
280	7106	8166	7640	7639
281	7132	8181	7662	7663
282	7156	8199	7687	7687
283	7175	8227	7708	7711
284	7203	8256	7734	7735
285	7223	8284	7758	7759
286	7244	8307	7782	7783
287	7271	8322	7807	7807
288	7301	8337	7832	7832
289	7319	8357	7858	7856
290	7338	8376	7880	7880
291	7372	8397	7906	7904
292	7404	8420	7931	7928
293	7425	8442	7956	7952
294	7447	8468	7981	7976
295	7470	8490	8008	8000
296	7501	8507	8032	8024
297	7533	8522	8053	8048
298	7566	8545	8077	8073
299	7586	8564	8102	8097
300	7604	8589	8128	8121
301	7638	8609	8153	8145
302	7667	8635	8179	8168
303	7688	8652	8205	8191
304	7714	8670	8230	8215
305	7736	8698	8252	8238
306	7766	8712	8274	8263
307	7800	8728	8297	8287
308	7829	8748	8321	8311
309	7853	8772	8348	8335
310	7873	8799	8371	8359
311	7917	8819	8394	8383
312	7948	8838	8416	8408
313	7970	8864	8438	8432
314	7993	8890	8464	8456
315	8017	8915	8488	8480
