depth	min	max	median	mean
174	5023	5446	5224	5219
175	5051	5477	5251	5247
176	5070	5520	5278	5275
177	5078	5575	5300	5303
178	5089	5639	5322	5331
179	5098	5719	5342	5360
180	5123	5754	5372	5388
181	5145	5797	5400	5417
182	5160	5838	5427	5446
183	5172	5885	5452	5474
184	5185	5945	5479	5503
185	5210	5982	5509	5533
186	5232	6016	5541	5564
187	5249	6054	5572	5594
188	5262	6103	5600	5624
189	5275	6154	5629	5654
190	5306	6187	5660	5683
191	5332	6219	5690	5712
192	5352	6256	5721	5742
193	5369	6295	5747	5771
194	5386	6352	5776	5800
195	5404	6372	5804	5829
196	5434	6399	5832	5858
197	5452	6437	5860	5887
198	5472	6492	5892	5916
199	5486	6528	5922	5945
200	5514	6554	5951	5975
201	5535	6576	5978	6004
202	5556	6617	6007	6034
203	5573	6654	6041	6064
204	5589	6707	6072	6093
205	5628	6728	6101	6123
206	5652	6759	6133	6153
207	5674	6795	6163	6183
208	5693	6831	6192	6212
209	5705	6876	6222	6242
210	5732	6900	6251	6271
211	5758	6931	6282	6299
212	5781	6963	6311	6328
213	5801	7004	6340	6356
214	5815	7039	6367	6384
215	5847	7067	6396	6414
216	5869	7095	6424	6443
217	5895	7128	6454	6472
218	5917	7176	6483	6501
219	5938	7224	6513	6531
220	5968	7253	6546	6561
221	5989	7286	6577	6591
222	6008	7315	6607	6621
223	6034	7350	6641	6651
224	6056	7387	6670	6681
225	6082	7419	6699	6711
226	6109	7447	6725	6741
227	6125	7481	6755	6770
228	6144	7524	6785	6800
229	6162	7562	6815	6829
230	6208	7594	6844	6859
231	6233	7616	6874	6888
232	6261	7645	6904	6917
233	6282	7677	6933	6947
234	6300	7710	6963	6976
235	6327	7740	6991	7005
236	6351	7774	7022	7035
237	6377	7810	7055	7064
238	6399	7845	7082	7094
239	6410	7888	7111	7123
240	6450	7910	7141	7152
241	6477	7947	7168	7181
242	6506	7972	7199	7210
243	6538	8008	7228	7238
244	6557	8045	7260	7267
245	6587	8056	7289	7296
246	6612	8091	7321	7324
247	6640	8128	7348	7353
248	6662	8149	7375	7382
249	6682	8188	7404	7410
250	6714	8209	7431	7439
251	6741	8230	7464	7468
252	6775	8257	7492	7497
253	6794	8293	7518	7525
254	6817	8325	7549	7554
255	6847	8342	7576	7583
256	6881	8365	7603	7612
257	6901	8401	7632	7641
258	6930	8438	7658	7670
259	6953	8470	7688	7700
260	6981	8492	7719	7728
261	7002	8512	7751	7756
262	7036	8536	7778	7784
263	7059	8565	7809	7812
264	7070	8607	7837	7841
265	7108	8640	7865	7870
266	7147	8660	7895	7899
267	7176	8695	7925	7929
268	7196	8736	7951	7958
269	7218	8770	7979	7987
270	7256	8790	8009	8016
271	7282	8820	8040	8045
272	7313	8854	8072	8074
273	7334	8888	8101	8103
274	7358	8923	8132	8132
275	7382	8940	8158	8160
276	7413	8961	8183	8188
