depth	min	max	median	mean
1.5	-53	437	150	162
10.5	23	512	242	249
20.5	110	599	345	346
30.5	217	667	443	442
40.5	319	747	542	539
50.5	430	825	636	634
60.5	557	902	732	731
70.5	681	982	828	827
80.5	758	1095	919	920
100.5	923	1300	1107	1108
120.5	1099	1483	1294	1293
140.5	1293	1638	1482	1477
145.5	1343	1674	1528	1523
160.5	1460	1791	1639	1635
180.5	1601	1945	1772	1772
199.5	1746	2077	1901	1904
210.5	1830	2173	1980	1985
220.5	1899	2274	2059	2066
230.5	1972	2368	2138	2147
240.5	2039	2468	2217	2228
250.5	2116	2560	2298	2315
260.5	2235	2687	2428	2440
270.5	2360	2797	2562	2566
280.5	2489	2912	2689	2692
290.5	2634	3020	2818	2820
299.5	2773	3114	2931	2935
310.5	2890	3283	3077	3080
320.5	3002	3428	3208	3211
330.5	3129	3564	3339	3341
335.5	3203	3620	3402	3406
340.5	3276	3691	3468	3471
349.5	3394	3843	3588	3596
360.5	3500	4084	3735	3750
365.5	3545	4201	3801	3821
370.5	3586	4311	3872	3894
375.5	3637	4418	3945	3967
380.5	3686	4548	4015	4038
385.5	3737	4654	4080	4108
390.5	3783	4762	4151	4178
395.5	3828	4852	4218	4250
400.5	3876	4932	4284	4313
405.5	3921	4992	4334	4366
410.5	3964	5052	4384	4415
420.5	4049	5156	4488	4517
430.5	4137	5259	4589	4618
440.5	4220	5372	4689	4719
