depth	min	max	median	mean
200	302	1118	778	761
201	312	1126	786	770
202	316	1135	794	779
203	332	1143	803	788
204	343	1154	811	797
205	350	1168	820	806
206	359	1174	829	815
207	372	1182	839	824
208	380	1192	849	833
209	389	1200	860	842
210	394	1205	868	851
211	402	1212	877	859
212	405	1222	884	868
213	420	1231	893	877
214	428	1239	901	885
215	435	1249	909	894
216	446	1258	917	903
217	461	1269	926	912
218	466	1279	934	921
219	474	1293	943	930
220	482	1300	951	938
221	490	1308	959	947
222	500	1315	968	956
223	509	1322	975	964
224	515	1329	984	973
225	523	1340	991	981
226	532	1345	1000	990
227	542	1354	1009	998
228	550	1363	1017	1006
229	561	1375	1025	1015
230	572	1385	1034	1023
231	583	1395	1042	1032
232	593	1401	1051	1041
233	602	1410	1060	1049
234	610	1417	1069	1058
235	618	1427	1079	1067
236	628	1434	1089	1076
237	635	1441	1098	1085
238	647	1449	1108	1094
239	656	1458	1117	1104
240	665	1467	1127	1113
241	675	1473	1135	1122
242	682	1480	1144	1130
243	694	1486	1154	1139
244	702	1493	1162	1148
245	712	1502	1171	1157
246	725	1507	1179	1165
247	739	1515	1187	1174
248	746	1520	1196	1182
249	754	1528	1204	1190
250	763	1535	1212	1198
251	776	1542	1220	1207
252	786	1547	1229	1216
253	797	1555	1237	1224
254	808	1566	1245	1233
255	816	1572	1253	1241
256	833	1579	1262	1250
257	842	1584	1270	1259
258	852	1592	1278	1268
259	869	1598	1285	1276
260	876	1609	1294	1285
261	887	1613	1302	1294
262	899	1621	1311	1303
263	913	1628	1320	1311
264	924	1635	1331	1320
265	932	1640	1340	1329
266	946	1647	1349	1338
267	961	1653	1358	1346
268	971	1661	1366	1355
269	980	1671	1375	1364
270	989	1681	1384	1373
271	999	1687	1394	1382
272	1008	1693	1403	1391
273	1018	1702	1412	1400
274	1028	1712	1420	1409
275	1034	1723	1430	1418
276	1046	1729	1438	1426
277	1054	1735	1447	1435
278	1065	1743	1456	1444
279	1076	1749	1465	1453
280	1086	1755	1474	1461
281	1094	1761	1483	1470
282	1103	1769	1492	1479
283	1116	1776	1500	1488
284	1127	1786	1510	1497
285	1133	1795	1519	1506
286	1147	1800	1528	1514
287	1160	1806	1537	1523
288	1175	1811	1545	1531
289	1188	1817	1553	1540
290	1198	1824	1562	1548
291	1210	1831	1571	1557
292	1224	1838	1580	1566
293	1236	1845	1588	1575
294	1245	1857	1596	1584
295	1255	1867	1605	1593
296	1271	1871	1613	1602
297	1285	1875	1622	1611
298	1300	1880	1630	1619
299	1313	1888	1639	1628
300	1322	1898	1648	1637
301	1333	1904	1655	1646
302	1345	1910	1663	1654
303	1355	1917	1671	1663
304	1367	1923	1679	1671
305	1377	1934	1689	1680
306	1391	1939	1698	1688
307	1400	1946	1705	1697
308	1411	1951	1714	1705
309	1425	1958	1722	1714
310	1433	1969	1729	1722
311	1444	1975	1739	1731
312	1458	1981	1747	1740
313	1467	1987	1756	1749
314	1477	1998	1766	1757
315	1485	2008	1773	1766
316	1497	2015	1782	1775
317	1510	2020	1790	1784
318	1521	2030	1799	1793
319	1528	2038	1808	1802
320	1536	2046	1818	1811
321	1552	2052	1827	1820
322	1572	2059	1835	1829
323	1584	2067	1844	1838
324	1596	2073	1853	1847
325	1604	2084	1862	1856
326	1615	2088	1871	1864
327	1625	2095	1879	1873
328	1634	2100	1888	1882
329	1642	2108	1896	1890
330	1651	2116	1904	1899
331	1669	2120	1912	1908
332	1682	2127	1920	1917
333	1694	2134	1929	1926
334	1701	2143	1939	1935
335	1710	2152	1949	1944
336	1724	2155	1956	1952
337	1736	2160	1965	1961
338	1745	2166	1975	1969
339	1753	2173	1985	1978
340	1762	2181	1994	1986
341	1776	2187	2002	1995
342	1790	2192	2010	2004
343	1801	2200	2018	2012
344	1810	2208	2026	2021
345	1817	2216	2035	2030
346	1828	2221	2044	2038
347	1840	2227	2054	2047
348	1852	2233	2062	2055
349	1862	2241	2070	2063
350	1875	2250	2079	2072
351	1894	2254	2088	2081
352	1906	2261	2097	2089
353	1916	2267	2105	2098
354	1927	2275	2114	2107
355	1937	2283	2122	2116
356	1946	2288	2129	2123
357	1954	2294	2137	2130
358	1961	2299	2145	2138
359	1969	2307	2152	2145
360	1975	2315	2158	2152
361	1984	2320	2165	2159
362	1993	2326	2172	2166
363	2001	2334	2178	2173
364	2008	2343	2184	2180
365	2015	2351	2190	2186
366	2023	2357	2197	2193
367	2029	2364	2203	2200
368	2036	2371	2210	2206
369	2042	2381	2216	2213
370	2045	2392	2222	2220
371	2053	2396	2228	2226
372	2058	2401	2234	2233
373	2066	2410	2241	2240
374	2071	2419	2247	2247
375	2077	2428	2254	2253
376	2085	2434	2260	2260
377	2094	2442	2266	2267
378	2099	2450	2272	2274
379	2106	2458	2279	2281
380	2109	2466	2286	2287
381	2119	2470	2293	2294
382	2126	2476	2299	2301
383	2132	2484	2306	2307
384	2137	2491	2312	2314
385	2142	2499	2319	2321
386	2153	2504	2326	2328
387	2160	2511	2333	2334
388	2168	2518	2339	2341
389	2174	2525	2345	2348
390	2180	2533	2352	2355
391	2189	2536	2358	2362
392	2195	2539	2364	2368
393	2202	2544	2371	2374
394	2206	2551	2377	2381
395	2210	2557	2382	2387
396	2218	2562	2389	2394
397	2225	2569	2395	2401
398	2233	2576	2401	2407
399	2240	2584	2408	2414
400	2246	2592	2414	2421
401	2256	2596	2421	2428
402	2265	2601	2427	2434
403	2273	2608	2434	2441
404	2280	2614	2440	2448
405	2285	2621	2447	2454
406	2296	2625	2455	2461
407	2305	2631	2461	2468
408	2312	2635	2468	2475
409	2318	2640	2475	2482
410	2325	2648	2482	2489
411	2335	2651	2490	2496
412	2341	2655	2499	2502
413	2348	2659	2505	2509
414	2356	2665	2510	2516
415	2363	2672	2515	2522
416	2372	2676	2524	2529
417	2381	2680	2530	2536
418	2388	2686	2537	2543
419	2396	2693	2546	2550
