depth	min	max	median	mean
8	-62	184	58	58
12	-57	187	62	62
24	-45	200	73	74
32	-36	208	82	82
40	-28	216	90	90
48	-20	224	98	98
56	-11	231	107	106
64	-1	236	115	114
76	13	249	127	127
92	27	262	145	143
172	108	336	225	223
196	134	357	249	247
204	143	365	257	255
220	161	378	274	272
228	169	386	282	280
244	189	401	299	296
252	196	409	307	304
260	205	416	315	312
268	212	423	322	320
276	221	429	331	328
284	229	437	339	337
292	238	443	348	345
300	246	451	355	352
308	253	458	363	360
316	261	465	371	368
332	279	480	387	384
348	294	493	403	400
364	312	507	420	417
380	328	521	436	433
388	336	528	445	441
396	347	536	453	449
404	355	542	461	457
428	381	563	487	481
436	390	569	494	489
468	427	599	528	521
476	435	605	536	529
492	454	617	553	546
516	480	637	577	569
524	488	644	586	578
532	498	649	595	586
540	507	656	603	594
548	516	664	611	601
556	526	671	620	610
564	537	679	629	618
572	546	687	637	626
588	565	705	653	642
596	573	712	661	650
604	579	721	669	658
612	586	731	676	667
620	592	741	683	675
628	599	751	691	683
648	616	776	710	704
676	641	811	739	734
700	665	840	762	759
708	673	849	771	767
716	681	858	779	775
724	690	866	787	784
732	697	876	795	792
740	705	885	803	800
748	713	894	811	809
756	721	902	819	817
764	731	914	827	826
772	738	922	836	834
780	746	931	844	842
788	755	940	852	851
796	763	949	861	860
804	772	958	869	868
812	780	967	878	876
820	787	977	887	885
828	795	985	895	893
836	803	993	903	901
844	811	1001	912	909
852	819	1009	921	918
860	827	1019	929	926
868	835	1029	937	935
876	843	1036	945	943
880	847	1041	949	947
884	851	1045	954	951
892	860	1054	962	960
900	868	1064	970	968
908	878	1073	978	976
916	884	1082	987	985
924	891	1091	995	993
932	901	1100	1004	1001
940	911	1107	1012	1010
948	919	1115	1021	1018
956	929	1125	1029	1026
964	938	1133	1038	1035
972	947	1141	1046	1043
980	955	1150	1056	1051
988	962	1158	1064	1060
996	969	1168	1072	1068
1004	975	1176	1079	1076
1012	983	1185	1086	1084
1020	992	1198	1094	1092
1028	999	1207	1103	1101
