depth	min	max	median	mean
20	1342	1510	1391	1405
21	1441	1635	1531	1530
22	1523	1788	1659	1654
23	1597	1955	1790	1779
24	1668	2138	1921	1904
25	1740	2328	2049	2029
26	1966	2363	2153	2147
27	2170	2416	2253	2266
28	2224	2558	2388	2384
29	2246	2756	2497	2503
30	2255	2979	2588	2621
31	2359	3014	2650	2681
32	2392	3063	2740	2740
33	2421	3115	2815	2799
34	2446	3200	2903	2859
35	2461	3294	2946	2918
36	2628	3301	3021	2994
37	2787	3307	3094	3070
38	2937	3316	3165	3147
39	3086	3335	3228	3223
40	3192	3393	3307	3299
41	3310	3474	3396	3393
42	3409	3585	3486	3487
43	3484	3705	3575	3580
44	3550	3830	3666	3674
45	3610	3955	3760	3768
46	3711	3977	3799	3815
47	3740	4001	3858	3862
48	3754	4085	3906	3909
49	3766	4211	3945	3955
50	3775	4352	3981	4002
51	3837	4362	4030	4049
52	3876	4378	4089	4096
53	3901	4407	4139	4143
54	3922	4438	4188	4190
55	3945	4483	4241	4237
56	4049	4494	4288	4286
57	4152	4506	4334	4336
58	4247	4523	4383	4385
59	4325	4551	4434	4435
60	4389	4598	4485	4484
61	4489	4757	4598	4606
62	4525	5042	4703	4727
63	4553	5336	4809	4848
64	4584	5629	4916	4969
65	4604	5914	5020	5090
66	4685	5934	5126	5176
67	4751	5950	5249	5261
68	4813	5963	5380	5347
69	4855	5986	5483	5432
70	4886	6096	5562	5518
71	5014	6128	5619	5586
72	5093	6151	5678	5654
73	5176	6179	5741	5722
74	5225	6217	5812	5790
75	5258	6253	5885	5858
76	5455	6265	5958	5938
77	5654	6279	6030	6018
78	5844	6295	6105	6099
79	6014	6327	6183	6179
80	6088	6398	6258	6260
81	6157	6419	6284	6288
82	6214	6445	6308	6316
83	6248	6473	6333	6344
84	6281	6506	6359	6372
85	6291	6552	6387	6400
86	6316	6586	6432	6439
87	6336	6650	6473	6479
88	6350	6742	6509	6518
89	6360	6860	6541	6557
90	6366	6984	6576	6596
91	6415	7005	6618	6640
92	6440	7023	6664	6683
93	6456	7074	6708	6726
94	6473	7124	6754	6769
95	6490	7194	6800	6813
96	6540	7213	6844	6858
97	6568	7239	6894	6904
98	6592	7271	6948	6949
99	6615	7313	7000	6995
100	6637	7373	7048	7041
101	6712	7383	7090	7081
102	6787	7401	7132	7121
103	6840	7422	7175	7162
104	6886	7444	7218	7202
105	6924	7488	7260	7243
106	7043	7502	7304	7294
107	7158	7518	7351	7346
108	7263	7533	7398	7398
109	7334	7563	7445	7450
110	7380	7619	7497	7501
111	7497	7796	7630	7634
112	7527	8086	7756	7767
113	7551	8384	7880	7899
114	7575	8693	8000	8032
115	7594	8996	8122	8164
116	7853	9073	8321	8357
117	8048	9151	8535	8549
118	8186	9251	8761	8741
119	8306	9371	8974	8934
120	8378	9597	9173	9126
121	8658	9624	9271	9234
122	8832	9660	9372	9342
123	8987	9716	9479	9451
