depth	min	max	median	mean
1	6241	8957	7814	7746
25	6459	9034	7916	7862
50	6581	9123	8039	7983
75	6711	9214	8162	8104
100	6907	9320	8276	8231
175	7681	9650	8649	8645
200	7991	9758	8765	8780
225	8288	9854	8881	8914
250	8508	9984	9005	9048
275	8695	10102	9178	9220
300	9105	10260	9567	9589
325	9378	10473	9971	9958
350	9557	10862	10372	10327
375	9832	11115	10610	10563
400	10148	11180	10731	10696
425	10356	11266	10850	10829
450	10479	11425	10975	10961
475	10635	11483	11069	11054
500	10736	11579	11171	11146
525	10788	11691	11249	11237
535	10808	11750	11281	11274
550	10852	11817	11328	11325
575	10934	11888	11411	11407
600	10988	11987	11490	11489
625	11026	12127	11568	11571
650	11120	12195	11648	11653
675	11205	12256	11737	11734
700	11270	12325	11817	11815
725	11326	12426	11894	11896
775	11564	12510	12067	12061
800	11636	12580	12156	12143
978	12191	14058	12923	12976
1000	12251	14277	13020	13087
1125	12636	15253	13644	13713
1150	12695	15423	13771	13841
1200	12852	15753	14023	14100
1250	12988	16151	14295	14362
1275	13111	16322	14419	14490
1485	13863	17795	15448	15550
1555	14123	18249	15811	15908
1950	15652	20761	17813	17910
2025	15943	21210	18185	18301
2050	16004	21330	18329	18431
2125	16360	21786	18691	18819
2150	16454	21955	18814	18948
2200	16669	22261	19055	19198
2225	16751	22433	19174	19321
2250	16858	22571	19302	19444
2275	16972	22697	19435	19567
2300	17050	22827	19560	19691
2325	17147	23019	19680	19814
2350	17251	23192	19801	19940
2375	17368	23323	19944	20070
2400	17476	23451	20086	20200
2425	17548	23592	20220	20331
2450	17690	23720	20346	20461
2475	17799	23893	20469	20592
2500	17891	24082	20608	20723
2525	17980	24171	20740	20853
2575	18200	24492	21006	21110
2600	18287	24665	21141	21238
2625	18403	24791	21261	21366
2675	18608	25238	21520	21622
2725	18846	25529	21761	21874
2775	19032	25793	21995	22123
2825	19215	26077	22234	22368
2875	19347	26321	22479	22611
2925	19598	26642	22740	22862
2945	19657	26755	22847	22963
2975	19801	26922	22994	23115
3075	20299	27517	23519	23628
3125	20527	27899	23795	23888
3150	20637	28097	23913	24018
3200	20858	28271	24173	24273
3225	20964	28390	24300	24401
3250	21090	28527	24435	24529
3300	21311	28824	24688	24788
3350	21554	29161	24952	25045
3400	21757	29437	25204	25301
3425	21884	29587	25333	25428
3475	22166	29849	25573	25688
3525	22385	30135	25856	25947
3575	22620	30452	26109	26205
3675	22974	31024	26617	26709
3900	23899	32318	27777	27865
4000	24383	32818	28301	28385
4100	24840	33459	28818	28904
4200	25351	33975	29321	29420
4300	25742	34604	29826	29925
4400	26142	35179	30339	30420
4500	26631	35852	30859	30953
4625	27285	36496	31499	31609
4700	27615	36908	31886	31994
4800	28081	37407	32370	32500
4900	28518	38029	32883	33008
5000	28937	38655	33374	33518
5100	29384	39225	33901	34022
5275	30156	40152	34781	34900
5425	30858	41010	35537	35640
5625	31706	42161	36537	36647
5700	32019	42544	36922	37029
5825	32545	43215	37552	37666
5900	32901	43732	37930	38055
6000	33399	44259	38446	38562
6115	33872	44855	39004	39143
6200	34245	45359	39465	39574
6375	35074	46340	40331	40458
6450	35441	46740	40727	40835
6595	36113	47542	41467	41572
6675	36536	48007	41888	41982
6800	37072	48664	42531	42612
6895	37479	49251	43021	43090
7000	37956	49841	43572	43629
7100	38387	50464	44090	44136
7200	38869	50966	44534	44627
7300	39293	51547	45066	45139
7400	39660	52061	45562	45650
7505	40161	52667	46062	46183
7600	40583	53244	46546	46671
7675	40887	53619	46948	47050
7800	41552	54261	47552	47680
7885	41897	54753	48015	48115
8125	42879	56137	49230	49330
8195	43267	56496	49569	49680
8325	43931	57281	50233	50348
8385	44163	57606	50517	50656
8500	44735	58185	51117	51236
8590	45153	58697	51592	51695
8700	45680	59325	52179	52253
8800	46162	59853	52646	52749
8900	46593	60509	53162	53251
9000	47057	60979	53669	53761
9100	47514	61488	54194	54267
9200	48050	62050	54640	54765
9300	48626	62545	55174	55278
9400	49027	63107	55720	55790
9500	49494	63579	56248	56300
9600	49869	64184	56767	56813
10000	51708	66512	58747	58844
10300	53102	68130	60255	60379
10700	55181	70310	62242	62425
10800	55549	70841	62792	62937
10900	55975	71490	63326	63446
11000	56442	72014	63804	63961
11110	56996	72636	64343	64517
11210	57444	73108	64817	65020
11300	57855	73650	65290	65465
11400	58375	74130	65773	65958
11500	58843	74723	66264	66462
11600	59251	75265	66764	66964
11725	59770	75923	67410	67589
11810	60228	76405	67819	68025
11910	60745	76959	68354	68534
12000	61079	77556	68815	68994
12100	61539	78095	69371	69506
12200	61988	78688	69874	70024
12300	62396	79278	70358	70532
12400	62874	79909	70898	71050
12500	63428	80426	71415	71557
12600	63932	80956	71954	72074
12700	64343	81491	72470	72589
12800	64925	81931	72945	73093
12900	65379	82563	73440	73599
13000	65949	83064	73939	74109
13100	66398	83550	74451	74618
13200	66815	84097	74968	75135
13400	67765	85125	75945	76172
13510	68332	85725	76489	76726
13600	68777	86232	76997	77198
13700	69332	86918	77518	77711
13800	69788	87334	78021	78215
14000	70689	88385	78999	79216
14200	71666	89559	80018	80249
14500	73089	91151	81584	81770
14600	73505	91609	82095	82268
14700	74056	92103	82621	82773
14800	74573	92728	83108	83277
15000	75558	93788	84127	84297
15300	76708	95312	85629	85807
15400	77347	95675	86102	86316
15500	77755	96324	86652	86824
15600	78231	96879	87180	87312
15700	78710	97405	87685	87810
15750	78997	97632	87943	88063
15800	79235	97878	88205	88313
16100	80700	99623	89650	89837
