depth	min	max	median	mean
1	-72	252	32	45
8	-32	322	146	150
15	34	398	239	241
23	148	465	335	337
31	251	599	418	424
40	366	775	498	515
48	448	916	568	596
55	532	1058	631	679
63	726	1318	973	988
72	1144	1604	1400	1394
80	1467	1951	1662	1673
110	2101	2971	2535	2538
120	2382	3240	2822	2820
125	2534	3359	2968	2962
130	2697	3469	3111	3106
135	2854	3581	3249	3241
140	3036	3693	3382	3377
147	3317	3852	3570	3578
152	3433	4090	3704	3720
157	3539	4289	3844	3865
162	3637	4482	3997	4011
167	3742	4643	4147	4157
177	3973	4961	4437	4447
187	4221	5258	4728	4733
197	4468	5561	5009	5013
207	4726	5824	5307	5299
217	5033	6080	5601	5591
227	5353	6332	5900	5886
239	5784	6587	6245	6235
249	6251	6790	6543	6536
259	6498	7036	6772	6770
269	6669	7297	6975	6977
280	6876	7508	7200	7199
290	7091	7681	7412	7405
300	7310	7848	7613	7604
310	7579	7982	7815	7805
318	7778	8103	7961	7957
327	7918	8262	8096	8095
332	7999	8327	8174	8171
339	8096	8457	8290	8285
349	8225	8707	8452	8455
360	8388	8918	8639	8647
369	8544	9072	8794	8801
379	8689	9269	8956	8965
389	8798	9472	9123	9120
399	8914	9663	9272	9274
409	9036	9841	9420	9425
414	9095	9938	9498	9503
439	9429	10394	9884	9889
449	9567	10550	10034	10042
460	9725	10729	10202	10209
470	9852	10889	10351	10362
480	9987	11045	10510	10513
491	10136	11226	10679	10683
501	10277	11388	10832	10836
511	10432	11538	10986	10988
520	10571	11674	11126	11127
530	10703	11830	11284	11280
540	10843	12004	11447	11435
551	10995	12169	11616	11603
562	11161	12312	11791	11773
573	11327	12453	11963	11942
583	11484	12578	12133	12097
588	11549	12642	12217	12173
596	11652	12845	12343	12308
603	11733	13004	12462	12431
617	11941	13385	12699	12678
627	12074	13611	12869	12859
634	12149	13778	12987	12983
641	12237	13952	13112	13109
648	12349	14111	13238	13234
655	12436	14298	13363	13360
662	12532	14434	13489	13488
668	12614	14560	13596	13594
678	12768	14756	13777	13772
