depth	min	max	median	mean
225	2597	4349	3453	3465
226	2606	4354	3459	3471
227	2608	4360	3466	3476
228	2612	4362	3471	3482
229	2619	4365	3477	3487
230	2624	4370	3483	3493
231	2628	4378	3489	3498
232	2632	4383	3494	3504
233	2639	4387	3500	3509
234	2647	4392	3507	3515
235	2651	4397	3514	3520
236	2658	4402	3518	3526
237	2664	4408	3524	3531
238	2669	4415	3530	3537
239	2673	4417	3535	3542
240	2677	4420	3539	3548
241	2680	4421	3544	3553
242	2685	4425	3549	3558
243	2690	4428	3554	3564
244	2700	4434	3560	3569
245	2702	4442	3566	3575
246	2706	4446	3571	3580
247	2712	4446	3578	3586
248	2722	4454	3583	3592
249	2727	4456	3589	3597
250	2737	4458	3595	3603
251	2742	4462	3601	3609
252	2750	4463	3608	3614
253	2756	4468	3616	3620
254	2759	4470	3622	3626
255	2764	4476	3629	3631
256	2771	4479	3633	3637
257	2780	4483	3640	3642
258	2790	4485	3645	3648
259	2797	4491	3651	3653
260	2808	4497	3656	3659
261	2811	4502	3661	3664
262	2815	4508	3666	3670
263	2824	4511	3669	3675
264	2828	4515	3676	3681
265	2831	4525	3681	3686
266	2836	4537	3686	3692
267	2844	4541	3693	3697
268	2851	4543	3699	3703
269	2854	4549	3705	3708
270	2858	4552	3711	3714
271	2862	4556	3715	3719
272	2871	4563	3721	3725
273	2875	4572	3725	3730
274	2879	4586	3730	3736
275	2884	4590	3734	3741
276	2889	4594	3740	3747
277	2896	4599	3747	3752
278	2904	4603	3752	3758
279	2909	4609	3757	3764
280	2915	4615	3763	3769
281	2920	4623	3767	3775
282	2927	4627	3772	3781
283	2933	4630	3779	3786
284	2940	4635	3786	3792
285	2945	4639	3790	3797
286	2955	4644	3795	3803
287	2961	4651	3801	3809
288	2966	4656	3805	3814
289	2972	4663	3809	3820
290	2980	4665	3816	3826
291	2991	4667	3822	3831
292	2995	4671	3829	3837
293	3007	4678	3832	3842
294	3019	4680	3838	3848
295	3023	4685	3844	3854
296	3028	4693	3848	3859
297	3035	4695	3853	3865
298	3039	4700	3858	3870
299	3043	4706	3864	3876
300	3046	4712	3870	3881
301	3050	4715	3876	3887
302	3057	4719	3883	3892
303	3062	4726	3890	3898
304	3065	4731	3896	3903
305	3070	4734	3902	3909
306	3078	4739	3905	3914
307	3082	4744	3912	3919
308	3089	4749	3918	3925
309	3097	4755	3922	3930
310	3103	4760	3927	3936
311	3108	4766	3933	3941
312	3115	4771	3939	3946
313	3121	4779	3945	3952
314	3131	4786	3949	3957
315	3133	4794	3953	3963
316	3146	4795	3960	3968
317	3157	4801	3966	3974
318	3169	4804	3971	3980
319	3173	4805	3976	3985
320	3181	4809	3982	3991
321	3186	4812	3989	3996
322	3193	4814	3995	4002
323	3200	4825	4000	4008
324	3208	4830	4007	4013
325	3213	4834	4012	4019
326	3214	4838	4017	4025
327	3221	4844	4023	4030
328	3226	4849	4028	4036
329	3230	4855	4034	4041
330	3234	4859	4039	4047
331	3238	4864	4044	4053
332	3239	4871	4050	4058
333	3246	4878	4056	4064
334	3251	4884	4060	4069
335	3256	4894	4068	4075
336	3264	4897	4073	4080
337	3271	4899	4076	4086
338	3276	4901	4082	4091
339	3280	4904	4087	4096
340	3286	4911	4093	4102
341	3287	4915	4100	4107
342	3293	4921	4106	4113
343	3298	4927	4111	4118
344	3304	4933	4116	4123
345	3308	4941	4121	4129
346	3315	4947	4127	4134
347	3321	4952	4133	4140
348	3327	4958	4137	4145
349	3336	4964	4143	4151
350	3344	4967	4150	4156
351	3351	4971	4154	4161
352	3359	4974	4160	4167
353	3364	4980	4168	4172
354	3369	4982	4176	4178
355	3374	4987	4181	4183
356	3382	4989	4186	4189
357	3387	4992	4191	4194
358	3392	4996	4196	4199
359	3403	5001	4202	4205
360	3404	5004	4206	4210
361	3415	5007	4211	4215
362	3420	5016	4217	4221
363	3423	5019	4223	4226
364	3429	5023	4228	4232
365	3433	5030	4233	4237
366	3436	5035	4238	4243
367	3441	5039	4242	4248
368	3448	5042	4248	4254
369	3452	5051	4253	4259
370	3457	5060	4260	4265
371	3464	5067	4266	4270
372	3469	5073	4273	4276
373	3474	5077	4278	4282
374	3479	5084	4285	4287
375	3484	5090	4290	4293
376	3490	5092	4296	4298
377	3500	5096	4303	4304
378	3507	5100	4307	4309
379	3513	5104	4312	4315
380	3520	5108	4317	4320
381	3528	5112	4324	4326
382	3535	5117	4327	4331
383	3543	5122	4333	4337
384	3552	5131	4339	4342
385	3558	5136	4345	4348
386	3564	5140	4351	4353
387	3570	5142	4357	4359
388	3572	5145	4362	4365
389	3579	5148	4367	4370
390	3583	5153	4371	4376
391	3591	5157	4376	4381
392	3598	5164	4381	4387
393	3602	5169	4388	4392
394	3609	5175	4394	4398
395	3616	5182	4399	4404
396	3620	5188	4404	4409
397	3629	5197	4410	4415
398	3636	5200	4415	4420
399	3646	5205	4420	4426
400	3650	5208	4427	4431
401	3652	5214	4433	4437
402	3657	5220	4438	4442
403	3661	5226	4444	4448
404	3668	5231	4451	4454
405	3671	5236	4455	4459
406	3678	5243	4461	4465
407	3687	5246	4466	4470
408	3693	5252	4474	4476
409	3700	5256	4480	4481
410	3705	5257	4485	4487
411	3713	5262	4490	4492
412	3717	5270	4495	4498
413	3722	5278	4501	4503
414	3729	5282	4505	4509
415	3734	5288	4509	4515
416	3745	5293	4516	4520
417	3760	5297	4523	4526
418	3764	5300	4529	4532
419	3768	5306	4534	4537
420	3770	5310	4540	4543
421	3777	5315	4545	4549
422	3781	5321	4552	4554
423	3785	5328	4558	4560
424	3789	5334	4563	4566
425	3793	5342	4568	4571
426	3798	5346	4574	4577
427	3801	5352	4581	4583
428	3804	5357	4585	4588
429	3810	5360	4591	4594
430	3814	5368	4596	4599
431	3820	5372	4603	4605
432	3827	5379	4608	4611
433	3831	5386	4613	4616
434	3844	5390	4618	4622
435	3850	5396	4623	4627
436	3856	5398	4629	4633
437	3861	5402	4636	4639
438	3871	5403	4643	4644
439	3878	5409	4647	4650
440	3881	5417	4654	4655
441	3892	5421	4660	4661
442	3898	5425	4665	4667
443	3904	5429	4671	4672
444	3910	5434	4677	4678
445	3915	5437	4683	4684
446	3922	5441	4689	4689
447	3929	5446	4695	4695
448	3935	5451	4702	4701
449	3940	5456	4707	4706
450	3943	5459	4713	4712
451	3948	5464	4720	4718
452	3954	5469	4726	4723
453	3964	5474	4732	4729
454	3970	5483	4738	4735
455	3979	5492	4745	4740
456	3982	5494	4750	4746
457	3990	5498	4755	4751
458	3994	5501	4760	4757
459	4001	5507	4765	4762
460	4005	5510	4772	4768
461	4013	5516	4779	4773
462	4017	5519	4786	4779
463	4022	5529	4791	4784
464	4025	5537	4796	4790
465	4030	5543	4801	4795
466	4041	5545	4807	4801
467	4050	5550	4811	4807
468	4054	5554	4815	4812
469	4058	5558	4821	4818
470	4069	5565	4827	4823
471	4082	5571	4833	4829
472	4093	5578	4837	4834
473	4099	5583	4843	4840
474	4104	5587	4849	4846
475	4107	5591	4854	4851
476	4122	5596	4860	4857
477	4127	5599	4865	4862
478	4131	5603	4871	4867
479	4136	5608	4876	4873
480	4139	5613	4882	4878
481	4150	5620	4888	4884
482	4155	5624	4894	4889
483	4158	5631	4902	4895
484	4163	5634	4907	4900
485	4169	5639	4913	4906
486	4177	5644	4919	4911
487	4185	5653	4924	4917
488	4190	5657	4929	4922
489	4198	5664	4932	4928
490	4205	5667	4937	4933
491	4212	5673	4944	4939
492	4220	5681	4949	4944
493	4223	5684	4955	4950
494	4228	5690	4962	4956
495	4234	5696	4967	4961
496	4238	5699	4972	4967
497	4242	5702	4979	4972
498	4248	5706	4983	4978
499	4253	5712	4989	4983
500	4255	5716	4995	4989
501	4256	5720	5000	4994
502	4262	5725	5005	5000
503	4269	5732	5009	5005
504	4272	5737	5014	5011
505	4278	5743	5021	5016
506	4286	5746	5026	5022
507	4297	5749	5032	5027
508	4301	5752	5037	5033
509	4308	5756	5043	5038
510	4313	5758	5047	5044
511	4320	5763	5051	5049
