depth	min	max	median	mean
60	2396	2729	2561	2572
61	2413	2743	2578	2587
62	2429	2762	2594	2603
63	2442	2785	2611	2618
64	2451	2812	2628	2634
65	2460	2839	2642	2649
66	2479	2851	2657	2664
67	2495	2864	2672	2678
68	2505	2887	2688	2693
69	2517	2908	2703	2707
70	2527	2938	2717	2722
71	2546	2951	2734	2738
72	2564	2964	2750	2754
73	2574	2990	2767	2770
74	2584	3010	2783	2785
75	2593	3037	2798	2801
76	2611	3047	2812	2816
77	2625	3063	2827	2831
78	2637	3080	2842	2846
79	2646	3098	2857	2861
80	2655	3120	2873	2876
81	2674	3133	2888	2891
82	2686	3146	2901	2905
83	2698	3164	2917	2920
84	2708	3179	2931	2934
85	2718	3200	2945	2948
86	2739	3209	2960	2964
87	2754	3221	2977	2979
88	2767	3240	2993	2994
89	2778	3259	3008	3010
90	2791	3278	3025	3025
91	2809	3288	3039	3039
92	2824	3299	3053	3053
93	2835	3310	3067	3067
94	2849	3325	3081	3081
95	2862	3342	3096	3094
96	2880	3352	3110	3109
97	2895	3366	3124	3124
98	2906	3380	3137	3139
99	2917	3395	3151	3154
100	2928	3410	3167	3169
101	2950	3417	3182	3184
102	2970	3429	3198	3200
103	2985	3442	3214	3216
104	3004	3459	3230	3231
105	3013	3478	3247	3247
106	3043	3492	3262	3262
107	3066	3501	3277	3277
108	3084	3512	3291	3292
109	3104	3525	3306	3307
110	3114	3542	3322	3322
111	3139	3556	3335	3337
112	3166	3570	3348	3351
113	3185	3584	3362	3366
114	3200	3600	3375	3380
115	3212	3614	3389	3394
116	3254	3628	3400	3410
117	3291	3637	3413	3425
118	3321	3652	3425	3441
119	3348	3669	3438	3456
120	3367	3683	3452	3472
121	3390	3709	3482	3501
122	3404	3752	3514	3530
123	3414	3815	3543	3560
124	3421	3874	3569	3589
125	3428	3957	3594	3618
126	3459	3988	3626	3650
127	3473	4012	3660	3681
128	3489	4043	3693	3712
129	3501	4093	3725	3743
130	3510	4146	3756	3774
131	3538	4163	3786	3803
132	3558	4192	3819	3831
133	3573	4216	3849	3859
134	3584	4244	3878	3887
135	3591	4283	3905	3915
136	3634	4308	3935	3945
137	3660	4333	3964	3974
138	3679	4366	3997	4004
139	3694	4403	4028	4033
140	3710	4449	4057	4063
141	3747	4463	4085	4091
142	3774	4480	4116	4120
143	3795	4506	4147	4148
144	3812	4537	4177	4177
145	3825	4568	4208	4205
146	3868	4582	4236	4234
147	3897	4602	4266	4262
148	3929	4623	4296	4291
149	3953	4651	4327	4320
150	3971	4692	4359	4348
151	4007	4706	4384	4376
152	4045	4723	4413	4403
153	4070	4740	4440	4431
154	4093	4762	4468	4459
155	4109	4795	4496	4486
156	4154	4811	4525	4515
157	4191	4826	4557	4544
158	4222	4847	4588	4573
159	4249	4868	4619	4602
160	4276	4902	4648	4630
161	4336	4911	4675	4661
162	4392	4925	4705	4691
163	4425	4939	4736	4721
164	4456	4959	4768	4752
165	4484	4984	4798	4782
166	4560	4993	4822	4810
167	4632	5003	4845	4838
168	4703	5013	4866	4866
169	4774	5028	4888	4894
170	4821	5047	4914	4921
171	4844	5064	4931	4938
172	4858	5089	4948	4954
173	4864	5119	4966	4971
174	4867	5157	4981	4987
175	4870	5197	4995	5004
176	4882	5209	5012	5019
177	4892	5224	5027	5035
178	4898	5244	5043	5050
179	4903	5270	5058	5066
180	4910	5299	5073	5082
181	4926	5312	5088	5098
182	4938	5330	5105	5113
183	4947	5350	5122	5129
184	4955	5372	5139	5145
185	4965	5401	5154	5161
186	4980	5412	5169	5176
187	4995	5428	5185	5192
188	5006	5445	5201	5208
189	5017	5470	5216	5224
190	5024	5495	5232	5239
191	5041	5510	5248	5255
192	5052	5524	5264	5271
193	5068	5545	5281	5286
194	5079	5568	5297	5302
195	5087	5587	5313	5318
196	5105	5595	5330	5333
197	5117	5611	5344	5348
198	5128	5627	5359	5364
199	5138	5645	5375	5379
200	5149	5666	5390	5394
201	5166	5679	5405	5410
202	5181	5695	5421	5425
203	5195	5710	5438	5441
204	5205	5724	5454	5456
205	5220	5744	5469	5472
206	5236	5757	5486	5487
207	5252	5768	5502	5503
208	5265	5782	5518	5518
209	5278	5798	5533	5534
210	5289	5819	5550	5549
211	5310	5830	5564	5565
212	5328	5840	5578	5580
213	5342	5851	5594	5595
214	5353	5867	5609	5610
215	5364	5883	5624	5626
216	5384	5891	5641	5641
217	5401	5904	5656	5656
218	5417	5917	5672	5671
219	5431	5933	5686	5686
220	5443	5952	5700	5701
221	5465	5960	5716	5717
222	5483	5973	5732	5732
223	5500	5988	5748	5748
224	5511	6004	5765	5763
225	5523	6020	5781	5778
226	5549	6031	5796	5794
227	5570	6042	5812	5810
228	5593	6057	5826	5826
229	5611	6069	5841	5841
230	5624	6087	5857	5857
231	5654	6095	5870	5873
232	5676	6105	5883	5888
233	5699	6115	5896	5904
234	5713	6128	5910	5919
235	5727	6140	5924	5935
236	5760	6148	5936	5950
237	5788	6153	5948	5966
238	5820	6161	5959	5982
239	5843	6169	5970	5997
240	5866	6181	5984	6013
