depth	min	max	median	mean
928	9136	10217	9470	9595
929	9160	10237	9497	9616
930	9175	10258	9525	9638
931	9188	10276	9555	9659
932	9204	10299	9591	9681
933	9219	10325	9624	9702
934	9242	10335	9647	9723
935	9266	10353	9672	9744
936	9290	10373	9694	9765
937	9306	10392	9721	9786
938	9320	10412	9750	9807
939	9345	10427	9773	9828
940	9370	10447	9796	9850
941	9390	10472	9820	9871
942	9413	10496	9847	9893
943	9431	10518	9873	9914
944	9455	10531	9894	9935
945	9473	10545	9917	9956
946	9493	10564	9936	9977
947	9512	10586	9961	9997
948	9525	10610	9984	10018
949	9556	10622	10008	10039
950	9579	10638	10030	10060
951	9599	10655	10051	10081
952	9614	10670	10075	10101
953	9631	10689	10096	10122
954	9658	10703	10119	10144
955	9690	10717	10140	10165
956	9719	10733	10163	10186
957	9737	10751	10190	10207
958	9757	10775	10211	10229
959	9786	10790	10234	10249
960	9814	10807	10255	10270
961	9841	10820	10275	10291
962	9859	10838	10296	10312
963	9882	10866	10318	10332
964	9910	10876	10337	10353
965	9941	10892	10357	10374
966	9966	10909	10377	10395
967	9990	10922	10397	10416
968	10011	10941	10419	10437
969	10041	10950	10439	10457
970	10067	10961	10459	10477
971	10090	10974	10481	10497
972	10121	10986	10501	10517
973	10141	11003	10522	10538
974	10183	11013	10540	10559
975	10224	11023	10558	10580
976	10255	11032	10577	10602
977	10280	11043	10600	10623
978	10305	11060	10623	10644
979	10340	11092	10655	10679
980	10368	11136	10688	10713
981	10390	11185	10719	10748
982	10409	11244	10749	10783
983	10427	11313	10779	10817
984	10456	11346	10811	10850
985	10481	11380	10847	10883
986	10503	11430	10882	10916
987	10522	11475	10915	10949
988	10539	11538	10946	10982
989	10574	11570	10981	11015
990	10603	11600	11018	11048
991	10628	11635	11055	11082
992	10643	11678	11088	11115
993	10661	11723	11122	11148
994	10691	11759	11162	11184
995	10724	11791	11199	11219
996	10750	11854	11234	11255
997	10772	11899	11270	11290
998	10791	11959	11304	11326
999	10820	11994	11345	11361
1000	10849	12019	11378	11396
1001	10879	12052	11412	11431
1002	10902	12089	11450	11466
1003	10924	12150	11485	11501
1004	10956	12181	11519	11536
1005	10988	12212	11557	11570
1006	11016	12247	11593	11604
1007	11037	12300	11628	11639
1008	11061	12348	11659	11673
1009	11104	12381	11698	11708
1010	11144	12418	11734	11744
