labID,age,error,depth,cc
Poz-64195,255,30,25,1
Poz-43409,1295,30,69.4,1
Poz-43410,2005,30,190.3,1
Poz-46471,2235,30,268.4,1
Poz-64194,3420,90,326.7,1
Poz-48228,2860,80,376.2,1
Poz-45626,2745,35,476.6,1
Poz-43411,2680,35,481,1
Poz-64193,2640,40,554.6,1
Poz-45628,2620,35,624.7,1
Poz-45684,2645,35,652.3,1
Poz-43412,2745,35,653,1
Poz-48229,3225,35,714,1
Poz-64196,3670,30,766.2,1
Poz-63618,4090,40,807.9,1
Poz-43413,4065,35,808.4,1
Poz-45625,4610,40,893.9,1
Poz-64198,5160,80,909.9,1
Poz-64197,5600,80,954.2,1
Poz-52617,5565,35,980.9,1
SacA 31009,5850,45,1005.4,1
Poz-64201,6540,80,1040.9,1
SacA 31010,6520,35,1053.5,1
Poz-64200,7240,100,1097.1,1
Poz-52318,8370,50,1218.5,1
Poz-52319,8390,50,1224,1
Poz-48602,8470,50,1230.5,1
SacA 31008,8540,50,1233.5,1
