depth	min	max	median	mean
1	127	427	299	291
4.5	151	437	315	308
7.5	174	444	329	322
11.5	197	457	349	341
13.5	212	460	359	351
15.5	223	465	368	361
17.5	232	472	378	371
19.5	242	481	387	381
22.5	270	491	403	399
25.5	299	511	421	421
27.5	312	533	435	435
30.5	331	583	455	457
37.7	417	784	557	570
40.7	436	914	592	618
43.9	490	955	640	668
47.9	527	1004	712	730
50.9	541	1049	767	777
54.9	634	1092	862	866
59.9	694	1183	1005	977
62.9	778	1220	1056	1036
67.9	943	1252	1135	1125
73.9	1012	1338	1212	1200
79.3	1033	1415	1240	1235
88.6	1094	1485	1291	1291
92.6	1123	1514	1314	1315
96.6	1147	1536	1336	1338
100.6	1162	1563	1357	1360
106.6	1210	1597	1392	1395
110.6	1229	1621	1415	1419
116.6	1260	1657	1454	1454
124.4	1307	1704	1500	1501
128.2	1332	1731	1522	1525
141.2	1405	1798	1602	1600
151.2	1467	1836	1661	1658
161.2	1534	1878	1714	1711
171.2	1600	1917	1780	1775
178.9	1673	1946	1830	1824
186.8	1736	1970	1877	1873
196.8	1790	2020	1924	1921
206.8	1839	2067	1965	1961
216.8	1879	2107	2000	1998
223.4	1901	2132	2024	2023
230.9	1930	2164	2057	2054
250.9	2019	2232	2132	2130
266.9	2113	2291	2191	2193
270.9	2125	2308	2206	2208
280.9	2151	2341	2239	2241
287.7	2175	2357	2262	2263
297.7	2206	2392	2295	2296
307.7	2234	2425	2329	2328
317.7	2260	2456	2359	2359
327.7	2290	2486	2389	2390
336.2	2316	2512	2415	2416
340.6	2328	2525	2428	2428
399.2	2498	2673	2587	2587
454	2661	2796	2731	2731
484.8	2761	2852	2796	2800
509.6	2784	2914	2841	2842
534.6	2810	2974	2885	2884
555.6	2834	3023	2922	2920
571.1	2855	3059	2955	2953
588.6	2883	3111	2990	2991
603.6	2907	3162	3023	3025
626.2	2945	3230	3070	3076
634.3	2961	3265	3092	3098
643.8	2981	3299	3117	3124
658.3	3045	3351	3170	3179
667.8	3092	3398	3224	3230
683.3	3184	3472	3310	3315
687.3	3203	3494	3331	3336
693.6	3239	3529	3364	3369
698.5	3272	3560	3389	3396
704.5	3313	3594	3419	3428
710.5	3348	3627	3447	3459
716	3400	3675	3489	3505
722	3433	3739	3549	3558
728	3472	3797	3619	3622
739.1	3556	3930	3732	3735
749.3	3667	4014	3842	3841
760.2	3777	4104	3947	3944
768.7	3928	4191	4060	4056
778.2	4013	4352	4180	4180
790.2	4121	4527	4326	4327
794.9	4202	4571	4385	4385
800.9	4276	4667	4463	4461
806.9	4425	4737	4533	4534
822.4	4541	4915	4691	4702
828.4	4591	4987	4761	4769
833.9	4631	5056	4819	4827
839.9	4668	5118	4883	4886
845.3	4722	5167	4937	4939
851.1	4765	5227	4997	4995
856.9	4819	5271	5051	5050
858.9	4832	5292	5070	5068
862.9	4876	5330	5106	5105
869.2	4957	5373	5161	5163
878.4	5066	5441	5253	5253
884.4	5137	5492	5311	5310
890.7	5203	5536	5370	5369
897	5345	5629	5484	5489
904.8	5481	5824	5631	5637
912.4	5573	5977	5774	5768
920.2	5642	6080	5854	5856
937.2	5811	6252	6051	6044
944.2	5892	6308	6126	6115
954.2	5998	6381	6223	6211
962.1	6057	6433	6276	6265
971.4	6133	6498	6333	6326
980.4	6298	6547	6382	6393
997.9	6432	6727	6582	6581
1006.9	6567	6875	6707	6708
1016.9	6674	7095	6872	6877
1023.9	6764	7250	7000	7004
1029.9	6832	7338	7130	7116
1033.9	6976	7386	7204	7196
1041.9	7192	7476	7354	7349
1046.1	7256	7501	7388	7385
1053.5	7339	7559	7456	7453
1062.5	7403	7721	7551	7555
1071.5	7471	7913	7670	7675
1080.1	7560	8018	7788	7788
1088.1	7666	8098	7898	7894
1097.1	7777	8226	8020	8017
1102.4	7834	8321	8088	8086
1107.2	7885	8380	8140	8138
1113.7	7948	8479	8207	8208
1122.7	8024	8601	8309	8308
1129.7	8085	8683	8388	8387
1135	8141	8748	8453	8450
1142	8206	8861	8538	8534
1151	8288	8968	8639	8634
1160	8414	9042	8732	8733
1169	8520	9110	8835	8833
1178	8628	9191	8940	8933
1187	8737	9277	9042	9033
1196	8850	9346	9146	9133
1205	8980	9404	9244	9233
1214	9158	9447	9343	9332
1223	9319	9487	9434	9425
1237	9444	9581	9518	9518
