depth	min	max	median	mean
2	63	725	393	396
10	175	797	473	479
19	298	877	561	570
26	397	942	626	640
32	485	1000	683	703
58	782	1266	1010	1017
68	910	1427	1154	1159
82	1089	1677	1367	1370
92	1226	1837	1519	1522
97	1301	1912	1592	1597
108	1467	2067	1765	1764
118	1636	2221	1911	1915
130	1782	2425	2087	2091
138	1873	2561	2203	2207
147	1984	2709	2336	2338
158	2127	2885	2499	2503
169	2285	3049	2659	2663
179	2424	3194	2808	2811
184	2499	3266	2887	2885
191	2604	3383	2991	2989
198	2701	3474	3100	3094
206	2818	3581	3220	3212
214	2934	3696	3344	3330
218	2982	3745	3403	3385
233	3176	3932	3572	3562
240	3266	4014	3653	3645
247	3357	4096	3733	3727
258	3499	4229	3871	3869
268	3637	4366	4009	4010
276	3756	4485	4129	4127
284	3881	4584	4244	4243
297	4062	4763	4431	4430
309	4244	4913	4603	4598
319	4371	5052	4735	4729
327	4466	5169	4838	4833
335	4578	5258	4944	4937
344	4708	5373	5064	5054
354	4842	5486	5204	5185
364	4953	5605	5341	5314
371	5032	5710	5417	5398
382	5151	5866	5541	5530
391	5251	5981	5649	5636
402	5378	6123	5776	5766
407	5439	6184	5832	5825
417	5546	6316	5953	5946
425	5636	6409	6047	6042
434	5742	6518	6151	6148
441	5821	6614	6237	6232
452	5950	6749	6368	6364
458	6018	6818	6439	6436
470	6150	6952	6582	6576
480	6267	7075	6698	6692
491	6394	7210	6823	6819
502	6501	7320	6954	6944
508	6569	7396	7023	7013
518	6676	7508	7138	7127
523	6733	7563	7196	7184
534	6848	7680	7325	7311
547	6997	7822	7479	7463
