depth	min	max	median	mean
35	-71	321	23	51
45	-9	477	165	184
50	38	560	247	261
55	87	638	313	326
60	133	711	386	398
70	242	871	532	541
75	304	945	603	609
83	400	1059	707	713
90	481	1165	795	803
100	605	1298	935	937
110	726	1447	1076	1078
115	796	1525	1147	1153
120	848	1591	1218	1218
135	1067	1802	1426	1428
150	1257	2005	1625	1629
160	1403	2136	1775	1770
170	1547	2270	1917	1915
180	1715	2385	2059	2058
190	1863	2492	2200	2194
200	2013	2596	2343	2332
215	2301	2764	2545	2541
225	2455	2902	2702	2688
235	2575	3159	2838	2843
240	2624	3245	2917	2922
245	2680	3330	2990	2999
250	2752	3418	3064	3074
255	2820	3511	3148	3159
260	2895	3596	3225	3237
265	2966	3662	3313	3317
267	2998	3689	3346	3351
275	3097	3807	3484	3474
280	3172	3876	3568	3554
285	3306	3979	3703	3679
290	3539	4060	3845	3834
295	3689	4128	3955	3944
300	3913	4208	4044	4054
305	3968	4323	4132	4134
310	4025	4457	4223	4227
315	4074	4565	4319	4317
320	4137	4647	4403	4397
325	4198	4732	4481	4478
330	4247	4803	4539	4533
335	4302	4879	4595	4594
340	4361	4968	4654	4654
345	4415	5031	4713	4713
350	4472	5105	4773	4775
355	4537	5181	4834	4839
360	4593	5249	4893	4898
365	4649	5320	4954	4960
370	4697	5383	5009	5017
375	4748	5452	5071	5075
380	4809	5518	5128	5133
385	4869	5572	5184	5192
388	4905	5603	5221	5227
395	4976	5698	5301	5306
400	5044	5750	5361	5364
405	5091	5809	5414	5422
410	5149	5859	5469	5478
415	5246	5938	5555	5559
420	5353	6022	5673	5679
425	5471	6090	5788	5789
430	5588	6166	5899	5897
435	5751	6221	6010	6008
440	5969	6276	6128	6126
445	6025	6380	6196	6192
450	6064	6468	6258	6257
455	6109	6549	6326	6324
460	6171	6615	6386	6386
465	6239	6686	6451	6452
470	6293	6751	6515	6515
475	6352	6808	6582	6580
480	6408	6856	6642	6641
485	6467	6915	6706	6703
490	6542	6978	6774	6770
495	6620	7036	6846	6840
500	6709	7084	6915	6910
505	6782	7127	6975	6972
510	6862	7186	7039	7033
515	6964	7232	7109	7096
520	7018	7402	7180	7188
525	7079	7533	7278	7286
530	7147	7644	7373	7379
535	7233	7771	7473	7481
540	7319	7875	7583	7588
545	7408	7986	7702	7702
550	7503	8078	7803	7801
555	7636	8168	7909	7905
560	7762	8256	8001	8004
565	7893	8360	8109	8113
570	7968	8536	8218	8224
575	8056	8669	8330	8337
580	8147	8804	8446	8456
585	8240	8933	8571	8573
590	8330	9026	8689	8685
595	8444	9131	8804	8800
600	8555	9225	8915	8910
605	8684	9310	9038	9029
610	8834	9391	9164	9149
615	8976	9456	9281	9263
620	9134	9519	9422	9382
625	9187	9721	9494	9478
630	9235	9859	9578	9565
635	9304	9981	9679	9662
640	9362	10095	9776	9751
645	9458	10226	9895	9866
650	9582	10369	10052	10027
655	9742	10479	10203	10183
660	9981	10581	10363	10344
665	10293	10671	10507	10496
670	10424	10996	10679	10690
675	10551	11160	10850	10852
680	10685	11299	11025	11017
685	10831	11410	11189	11168
690	11219	11513	11331	11338
695	11271	11607	11403	11411
700	11315	11695	11471	11480
705	11365	11774	11545	11553
710	11422	11859	11621	11625
715	11476	11950	11689	11697
720	11536	12027	11764	11769
725	11600	12105	11844	11844
730	11664	12179	11915	11916
735	11717	12246	11986	11985
740	11792	12314	12058	12058
745	11859	12375	12131	12127
750	11941	12447	12208	12203
755	12020	12508	12278	12275
760	12110	12563	12353	12348
765	12183	12611	12424	12417
770	12275	12665	12501	12491
775	12361	12707	12570	12560
780	12466	12747	12647	12636
785	12616	12797	12716	12710
790	12660	13000	12785	12798
795	12721	13139	12869	12886
800	12773	13274	12954	12972
805	12825	13414	13037	13060
810	12879	13558	13124	13150
815	12941	13667	13208	13235
820	13009	13782	13293	13320
825	13064	13916	13375	13404
830	13135	14020	13463	13492
835	13192	14140	13548	13576
840	13261	14238	13635	13659
845	13337	14349	13712	13746
850	13422	14508	13815	13856
855	13525	14679	13990	14011
860	13649	14827	14152	14170
865	13766	14975	14318	14329
870	13901	15135	14473	14486
875	14037	15290	14635	14642
880	14185	15433	14803	14806
885	14342	15562	14963	14962
890	14495	15697	15128	15125
895	14662	15833	15294	15281
900	14831	15961	15460	15444
905	14987	16092	15622	15608
910	15191	16202	15796	15768
915	15370	16308	15962	15928
920	15562	16413	16128	16093
925	15805	16511	16283	16249
930	15901	16691	16373	16351
