depth	min	max	median	mean
18.5	-71	75	-34	-24
40	-15	163	57	62
74	99	296	196	197
102.5	214	396	311	309
128.5	325	480	414	411
157.5	456	626	551	548
194.5	611	784	722	718
217.25	699	876	801	797
263	823	1057	940	937
298.5	919	1184	1024	1035
329.5	1001	1308	1104	1125
362.5	1093	1453	1202	1230
394	1179	1590	1291	1330
402.5	1202	1627	1319	1358
413	1235	1678	1353	1393
425.75	1272	1743	1394	1435
439	1310	1808	1440	1480
445	1330	1838	1461	1505
450.5	1347	1869	1482	1528
457	1367	1904	1507	1556
463	1387	1935	1530	1582
470.75	1410	1976	1558	1616
477	1432	2010	1581	1643
483	1447	2042	1602	1669
485.8	1458	2058	1612	1681
495.5	1490	2120	1645	1723
500	1503	2148	1660	1742
506	1520	2180	1676	1768
511.5	1540	2210	1698	1794
517.75	1570	2242	1740	1829
522	1587	2266	1768	1854
529.5	1626	2311	1817	1899
533.25	1642	2339	1842	1921
544	1693	2411	1910	1987
549.3	1718	2454	1946	2022
559.25	1768	2522	2009	2088
562	1783	2538	2026	2106
577.25	1852	2628	2114	2186
