labID,Age,Error,Depth,cc,delta.R,delta.STD
SUERC-60067,630,37,176.8,1,548,0
MAMS 18507,22,18,177.8,1,548,0
OZT277,1340,40,184.1,1,0,0
UCIAMS-144601,1920,60,197.5,1,0,0
OZT278,685,45,208.5,1,0,0
OZT279,1245,40,237.5,1,0,0
OZT280,1915,30,349.5,1,0,0
SUERC-60068,1956,35,377,1,0,0
UCIAMS-144599,1930,30,393.5,1,0,0
OZT281,1755,30,488.1,1,0,0
SUERC-52695,1929,37,595,1,0,0
OZT282,2090,25,605.3,1,0,0
OZT283,2350,45,697.8,1,0,0
SUERC-49444,3082,37,783,1,0,0
MAMS 18377,3449,18,892.5,1,0,0
MAMS 18378,3850,20,978.7,1,490,170
SUERC-48010,4224,37,978.7,1,490,170
SUERC-52694,3990,37,998.5,1,80,0
OZT284,4520,30,1101.7,1,0,0
UCIAMS-133576,5420,20,1183.5,1,0,0
SUERC-60069,5937,37,1301.1,1,0,0
UCIAMS-133575,7580,35,1398.5,1,0,0
SUERC-60070,8462,38,1497,1,0,0
SUERC-49441,9130,41,1598.5,1,0,0
SUERC-60073,10033,42,1695,1,0,0
UCIAMS-133574,10145,35,1797.5,1,0,0
SUERC-48011,10648,43,1953.3,1,0,0
SUERC-52693,10343,41,1956.5,1,431,0
