labID,age,error,depth,cc
KIA 12848,1263,68,380,1
KIA 12849,1872,35,424.5,1
KIA 17104,1585,30,425,1
KIA 9503,803,92,455,1
KIA 17099,1875,25,464,1
KIA 8941,2056,128,504,1
KIA 17103,2245,25,528,1
KIA 9527,4663,48,528,1
KIA 9914,1919,150,552,1
KIA 17100,2515,25,576,1
KIA 12850,2746,35,589,1
KIA 17101,2565,25,617.5,1
KIA 12851,2475,51,624,1
KIA 17102,2650,25,644,1
KIA 10322,2784,39,667,1
KIA 12852,3197,50,692,1
KIA 12853,4693,38,820,1
KIA 9336,4415,53,844,1
KIA 12854,6146,66,942.5,1
KIA 12855,7440,51,1000,1
KIA 12856,9318,54,1060.5,1
KIA 12857,8806,46,1100,1
