depth	min	max	median	mean
0	-40	510	234	235
2	-2	538	275	273
4	37	562	315	312
6	82	591	358	351
8	131	612	399	392
10	159	646	441	432
12	210	661	479	469
14	241	684	520	505
16	291	706	557	543
18	348	725	595	582
20	392	752	635	621
22	520	773	664	661
24	634	802	696	701
26	681	842	738	742
28	704	892	782	785
30	718	973	824	829
32	770	998	868	870
34	797	1032	912	912
36	848	1075	964	964
38	897	1139	1027	1026
40	929	1241	1090	1088
42	1038	1260	1147	1148
44	1104	1285	1204	1208
46	1156	1356	1268	1268
48	1199	1475	1329	1329
50	1217	1619	1380	1390
52	1264	1656	1441	1446
54	1288	1716	1501	1501
56	1340	1773	1558	1557
58	1394	1806	1620	1612
60	1423	1862	1680	1668
62	1577	1890	1735	1735
64	1693	1932	1798	1801
66	1759	1993	1862	1865
68	1794	2059	1924	1926
70	1815	2172	1983	1987
72	1893	2201	2045	2046
74	1934	2263	2115	2104
76	1962	2324	2164	2149
78	1997	2350	2190	2181
80	2018	2399	2216	2213
82	2052	2429	2243	2242
84	2077	2469	2270	2271
86	2109	2509	2294	2300
88	2142	2542	2320	2329
90	2164	2579	2346	2357
92	2210	2603	2371	2387
94	2242	2630	2396	2416
96	2280	2652	2423	2445
98	2323	2668	2444	2474
100	2352	2696	2469	2503
