depth	min	max	median	mean
4	-72	385	31	66
16	53	696	283	309
32	254	1085	610	630
56	594	1710	1089	1104
64	722	1903	1248	1263
104	1357	2849	2022	2040
112	1471	3003	2170	2193
128	1722	3359	2473	2501
144	1996	3720	2776	2805
152	2119	3904	2933	2955
165	2336	4159	3167	3195
168	2390	4235	3218	3251
176	2493	4392	3371	3399
184	2641	4562	3522	3547
192	2753	4735	3672	3696
200	2870	4899	3821	3843
208	2992	5061	3969	3991
216	3141	5243	4120	4139
224	3259	5421	4265	4289
232	3373	5562	4417	4434
240	3516	5728	4567	4580
248	3634	5901	4712	4726
256	3777	6060	4861	4872
264	3890	6241	5009	5016
271	3999	6399	5132	5143
