depth	min	max	median	mean
3	-68	457	52	89
4	-33	532	132	163
5	-14	681	204	237
6	2	856	273	311
7	14	1066	339	385
8	22	1283	403	459
9	77	1334	479	528
10	117	1401	549	598
11	145	1485	617	667
12	166	1584	687	737
13	189	1721	752	806
14	256	1785	831	879
15	306	1862	910	951
16	346	1972	984	1024
17	383	2077	1056	1096
18	414	2169	1123	1169
19	484	2226	1198	1239
20	542	2295	1271	1309
21	578	2371	1345	1379
22	613	2474	1413	1449
23	645	2574	1485	1519
24	732	2631	1558	1589
25	800	2684	1629	1660
26	857	2753	1700	1730
27	892	2816	1782	1801
28	938	2913	1855	1871
29	1024	2962	1922	1938
30	1100	3010	1989	2005
31	1161	3069	2060	2072
32	1218	3148	2128	2139
33	1257	3249	2188	2206
34	1358	3300	2267	2277
35	1429	3340	2338	2347
36	1478	3418	2406	2418
37	1530	3486	2482	2488
38	1569	3585	2557	2558
39	1659	3636	2623	2629
40	1737	3701	2692	2699
41	1825	3776	2759	2769
42	1883	3855	2834	2839
43	1933	3929	2907	2909
44	2033	3985	2974	2979
45	2140	4052	3038	3049
46	2208	4099	3109	3119
47	2271	4167	3179	3189
48	2338	4273	3250	3259
49	2504	4317	3311	3334
50	2624	4368	3378	3408
51	2744	4428	3451	3483
52	2839	4490	3526	3557
53	2908	4575	3598	3631
54	3097	4633	3692	3732
55	3242	4717	3788	3832
56	3333	4795	3891	3932
57	3391	4910	3990	4032
58	3426	5082	4084	4132
59	3560	5203	4230	4270
60	3651	5358	4376	4407
61	3715	5547	4517	4545
62	3771	5798	4643	4682
63	3817	6099	4766	4820
64	3983	6170	4903	4959
65	4092	6261	5055	5099
66	4182	6341	5215	5238
67	4247	6490	5371	5378
68	4323	6678	5516	5518
69	4563	6729	5661	5654
70	4705	6808	5805	5791
71	4816	6892	5958	5928
72	4921	6987	6113	6065
73	5001	7159	6257	6202
74	5324	7193	6389	6348
75	5612	7238	6528	6494
76	5853	7298	6666	6641
77	6035	7368	6820	6787
78	6181	7492	6975	6933
79	6384	7529	7064	7036
80	6570	7571	7163	7138
81	6735	7634	7262	7241
82	6836	7755	7359	7343
83	6927	7929	7452	7445
84	7160	7993	7577	7577
85	7354	8090	7706	7708
86	7472	8234	7837	7840
87	7556	8423	7970	7971
88	7610	8660	8096	8103
89	7766	8790	8234	8240
90	7849	8991	8363	8377
91	7921	9298	8482	8514
