depth	min	max	median	mean
0	-71	410	29	68
4	-28	548	172	195
8	31	696	297	313
12	101	847	424	434
16	178	1009	548	560
20	262	1130	676	677
24	371	1237	796	795
28	474	1339	918	911
32	586	1441	1034	1027
36	688	1551	1147	1141
40	811	1641	1264	1255
44	945	1731	1386	1373
48	1052	1808	1508	1490
52	1212	1895	1626	1606
56	1378	1973	1738	1722
60	1540	2038	1856	1838
64	1812	2085	1960	1958
68	1887	2147	2035	2032
72	1947	2212	2091	2089
76	1998	2267	2150	2146
80	2038	2310	2209	2198
84	2108	2368	2285	2272
88	2207	2804	2435	2461
92	2346	3238	2667	2700
96	2470	3594	2919	2952
100	2603	3923	3188	3210
104	2810	4162	3446	3461
108	3040	4389	3726	3722
112	3331	4615	3991	3984
116	3598	4805	4249	4238
120	3843	4976	4507	4477
124	4154	5080	4729	4696
128	4548	5180	4931	4916
