depth	min	max	median	mean
0	-71	294	21	47
5	-41	351	99	116
10	-2	434	170	184
15	50	513	245	253
20	102	581	316	322
25	170	651	389	394
30	223	720	455	461
35	292	790	530	531
40	368	859	595	598
45	439	921	664	666
50	515	984	730	734
55	605	1057	798	804
60	698	1129	863	871
65	802	1183	919	936
70	892	1565	1116	1148
75	1003	1824	1339	1358
80	1142	2047	1574	1580
85	1322	2248	1811	1804
90	1559	2407	2046	2031
95	1801	2568	2279	2248
100	2115	2690	2465	2460
105	2202	2857	2569	2567
110	2279	3009	2662	2667
115	2382	3157	2763	2770
120	2460	3298	2864	2868
125	2553	3416	2963	2966
130	2637	3536	3057	3063
135	2711	3666	3155	3164
140	2788	3818	3256	3269
145	2866	3931	3351	3367
150	2939	4068	3457	3470
155	3016	4206	3558	3569
160	3088	4320	3665	3675
165	3184	4452	3765	3774
170	3263	4573	3866	3878
175	3317	4729	3963	3981
175.00002	4821	7899	7032	6790
180	4930	7993	7146	6892
185	5042	8072	7250	6995
190	5168	8150	7357	7099
195	5274	8241	7465	7201
200	5403	8326	7562	7301
205	5566	8410	7673	7402
210	5726	8502	7799	7558
215	5980	8599	7932	7725
220	6222	8702	8071	7888
225	6536	8796	8209	8056
235	7152	8965	8511	8389
240	7488	9063	8657	8561
245	7864	9147	8813	8737
250	8174	9234	8987	8901
255	8281	9364	9062	8994
265	8475	9581	9221	9176
270	8603	9700	9309	9270
275	8694	9815	9394	9360
280	8752	9908	9490	9453
285	8871	10009	9578	9542
290	8960	10112	9673	9635
295	9051	10207	9761	9726
300	9146	10297	9850	9819
305	9254	10391	9939	9910
310	9347	10477	10034	10004
315	9449	10559	10128	10095
330	9760	10836	10395	10373
335	9875	10912	10486	10465
340	9974	10990	10575	10556
345	10069	11043	10666	10646
350	10173	11132	10749	10735
355	10254	11294	10856	10839
360	10352	11433	10957	10941
365	10437	11586	11053	11042
370	10515	11716	11158	11143
375	10610	11824	11249	11243
380	10681	11971	11348	11345
385	10768	12105	11453	11448
395	10944	12362	11659	11653
400	11030	12476	11760	11752
