depth	min	max	median	mean
100	334	637	526	520
101	341	650	536	530
102	348	667	546	540
103	354	685	555	551
104	358	707	564	561
105	363	730	573	571
106	375	739	584	581
107	382	756	594	591
108	389	771	604	601
109	396	791	612	611
110	401	812	622	621
111	410	821	633	631
112	419	835	643	641
113	426	850	653	652
114	434	864	663	662
115	441	886	673	672
116	450	896	683	681
117	457	907	692	691
118	467	919	703	701
119	475	933	712	711
120	479	949	721	720
121	487	960	730	730
122	495	971	740	740
123	503	984	749	750
124	510	999	760	760
125	517	1013	770	770
126	525	1024	780	780
127	535	1036	790	790
128	549	1049	800	800
129	559	1066	810	810
130	568	1080	819	820
131	577	1089	830	830
132	581	1101	839	840
133	588	1111	849	849
134	589	1123	859	859
135	594	1136	868	869
136	610	1145	879	879
137	620	1157	888	889
138	628	1170	897	899
139	636	1185	908	909
140	643	1200	919	920
141	652	1208	928	929
142	663	1219	940	939
143	668	1232	950	949
144	673	1247	960	959
145	681	1261	970	969
146	694	1271	979	979
147	702	1283	989	989
148	712	1294	999	999
149	720	1304	1009	1009
150	727	1316	1018	1019
151	736	1327	1028	1029
152	745	1337	1037	1038
153	751	1350	1046	1048
154	758	1364	1056	1058
155	766	1380	1066	1068
156	775	1393	1075	1078
157	785	1402	1085	1088
158	793	1413	1095	1097
159	803	1427	1105	1107
160	808	1444	1114	1117
161	817	1453	1124	1127
162	824	1464	1136	1137
163	834	1476	1146	1147
164	843	1485	1157	1157
165	852	1494	1167	1167
166	858	1503	1177	1176
167	867	1513	1188	1186
168	875	1525	1197	1196
169	884	1535	1206	1206
170	890	1549	1216	1216
171	899	1556	1225	1226
172	909	1569	1237	1236
173	917	1580	1246	1246
174	923	1593	1257	1256
175	932	1608	1267	1266
176	937	1624	1277	1276
177	948	1637	1287	1286
178	956	1644	1296	1296
179	960	1659	1306	1306
180	968	1673	1317	1317
181	979	1684	1325	1326
182	986	1696	1334	1336
183	991	1706	1344	1346
184	999	1718	1355	1356
185	1008	1729	1364	1366
186	1015	1738	1375	1376
187	1029	1747	1385	1386
188	1037	1756	1395	1396
189	1046	1766	1406	1406
190	1052	1781	1416	1416
191	1059	1793	1426	1426
192	1070	1805	1436	1436
193	1078	1820	1446	1446
194	1089	1832	1456	1456
195	1095	1846	1465	1466
196	1105	1854	1476	1476
197	1112	1866	1486	1486
198	1124	1877	1495	1496
199	1136	1890	1504	1506
200	1141	1905	1513	1516
201	1147	1914	1524	1527
202	1156	1927	1535	1537
203	1163	1942	1545	1547
204	1170	1955	1557	1558
205	1180	1968	1568	1568
206	1190	1977	1579	1578
207	1201	1987	1590	1588
208	1209	1995	1599	1597
209	1214	2008	1609	1607
210	1220	2015	1617	1617
211	1228	2027	1628	1627
212	1234	2038	1638	1637
213	1241	2050	1646	1647
214	1246	2064	1656	1657
215	1255	2074	1666	1667
216	1263	2089	1676	1677
217	1272	2100	1687	1687
218	1282	2117	1698	1697
219	1289	2133	1707	1706
220	1297	2144	1716	1716
221	1302	2156	1724	1726
222	1310	2166	1735	1735
223	1320	2174	1744	1745
224	1326	2184	1754	1755
225	1330	2200	1763	1764
225.00002	1785	2746	2244	2253
226	1800	2752	2256	2263
227	1809	2761	2265	2273
228	1818	2768	2275	2283
229	1824	2780	2285	2293
230	1833	2795	2295	2303
231	1842	2802	2305	2313
232	1854	2813	2312	2323
233	1866	2821	2322	2332
234	1879	2827	2334	2342
235	1893	2835	2344	2352
236	1900	2844	2353	2362
237	1915	2854	2362	2372
238	1924	2863	2372	2381
239	1935	2873	2382	2391
240	1944	2880	2394	2401
241	1954	2891	2403	2411
242	1968	2897	2414	2421
243	1981	2906	2422	2431
244	1990	2916	2434	2441
245	1999	2929	2445	2451
246	2010	2937	2456	2461
247	2024	2941	2465	2471
248	2037	2950	2476	2481
249	2042	2962	2485	2491
250	2051	2968	2496	2501
251	2063	2981	2506	2511
252	2075	2991	2515	2521
253	2081	3001	2524	2530
254	2087	3013	2534	2540
255	2094	3028	2544	2550
256	2102	3035	2554	2560
257	2114	3039	2563	2570
258	2125	3050	2573	2580
259	2135	3061	2582	2590
260	2147	3070	2593	2600
261	2160	3078	2603	2610
262	2172	3087	2613	2620
