depth	min	max	median	mean
1.5	3709	4334	4034	4030
4	3740	4353	4058	4055
7	3773	4384	4090	4086
11	3833	4418	4130	4127
13.5	3862	4433	4154	4152
14.5	3874	4440	4164	4162
15.5	3883	4450	4174	4172
17.25	3913	4468	4190	4189
21.25	3956	4501	4231	4230
24.25	3999	4527	4259	4260
132.5	5069	5614	5330	5331
143	5161	5719	5423	5426
151.5	5241	5806	5500	5503
158.5	5307	5865	5563	5566
164.5	5355	5920	5619	5621
167.5	5384	5950	5645	5649
171	5418	5985	5677	5681
174.5	5454	6016	5709	5713
179.5	5503	6060	5755	5759
185	5552	6113	5807	5809
