depth	min	max	median	mean
10.5	-70	141	-17	-3
15.5	-54	177	22	33
20.5	-32	213	58	67
25.5	-7	249	93	101
30.5	19	290	130	136
35.5	48	325	167	171
40.5	76	357	203	206
45.5	105	384	238	240
50.5	138	416	274	275
55.5	175	447	310	311
60.5	209	479	344	346
65.5	248	507	379	381
70.5	285	539	416	416
75.5	324	569	450	451
80.5	366	594	487	487
85.5	409	618	522	522
90.5	453	637	555	557
95.5	504	661	591	592
100.5	555	702	631	634
105.5	591	888	688	701
110.5	635	997	757	773
115.5	679	1088	829	843
120.5	725	1176	901	913
125.5	773	1270	972	984
130.5	822	1352	1041	1054
135.5	883	1438	1111	1125
140.5	935	1516	1183	1192
145.5	995	1589	1258	1266
150.5	1052	1664	1327	1335
155.5	1109	1739	1398	1405
160.5	1165	1818	1467	1474
165.5	1219	1892	1539	1544
170.5	1281	1962	1611	1615
175.5	1345	2052	1685	1690
180.5	1412	2127	1757	1763
185.5	1486	2194	1828	1832
190.5	1552	2263	1898	1902
195.5	1623	2338	1975	1974
200.5	1687	2404	2047	2045
205.5	1763	2469	2117	2115
210.5	1823	2549	2184	2187
215.5	1896	2608	2258	2257
220.5	1978	2671	2331	2331
225.5	2034	2732	2404	2401
230.5	2114	2804	2474	2472
235.5	2189	2866	2548	2543
240.5	2266	2928	2620	2616
245.5	2340	2998	2692	2687
250.5	2418	3056	2763	2757
255.5	2497	3110	2835	2827
260.5	2576	3169	2907	2898
265.5	2664	3226	2983	2972
270.5	2748	3281	3053	3042
275.5	2834	3331	3124	3112
280.5	2928	3383	3198	3186
285.5	3014	3425	3267	3254
290.5	3119	3475	3337	3326
295.5	3224	3519	3402	3394
300.5	3292	3567	3467	3459
306.5	3347	3638	3514	3512
310.5	3384	3689	3549	3547
315.5	3431	3744	3590	3591
320.5	3468	3796	3634	3634
325.5	3508	3846	3678	3679
330.5	3543	3890	3721	3722
335.5	3585	3937	3762	3765
340.5	3624	3984	3805	3807
345.5	3668	4030	3850	3851
350.5	3709	4074	3893	3894
355.5	3754	4119	3938	3938
360.5	3794	4157	3982	3982
365.5	3845	4200	4026	4025
370.5	3888	4237	4070	4067
375.5	3933	4274	4114	4111
380.5	3981	4308	4156	4155
385.5	4027	4343	4200	4198
390.5	4082	4373	4245	4242
395.5	4137	4401	4287	4285
