depth	min	max	median	mean
0.5	-68	175	-4	13
25.5	200	571	398	396
38.5	452	685	608	597
50.5	710	1001	791	808
62.5	828	1352	1032	1048
75.5	1011	1711	1304	1320
87.5	1212	1986	1553	1566
101.5	1477	2309	1842	1855
112.5	1694	2546	2070	2081
125.5	1954	2836	2336	2347
137.5	2262	3091	2572	2594
150.5	2562	3485	2885	2922
162.5	2845	3995	3274	3311
175.5	3177	4571	3674	3725
187.5	3555	5067	4037	4110
200.5	4131	6104	4936	4983
207.5	4581	6647	5536	5554
212.5	4910	7037	5963	5963
218.5	5394	7435	6462	6446
225.5	5979	7905	7065	7037
231.5	6705	8202	7569	7538
237.5	7528	8545	8048	8037
243.5	8078	9168	8497	8532
250.5	8399	10228	9085	9144
256.5	8762	10842	9648	9690
261.5	9077	11342	10105	10129
275.5	10004	12473	11406	11362
281.5	10496	12908	11964	11901
287.5	10971	13270	12532	12433
299.5	11712	14120	13414	13309
