depth	min	max	median	mean
37	1541	3357	2485	2474
38	2144	3413	2777	2775
39	2646	3497	3066	3076
40	3025	3679	3383	3377
41	3187	4129	3687	3678
42	3274	4666	3980	3979
43	3412	4877	4134	4147
44	3493	5137	4302	4316
45	3538	5426	4490	4484
46	3597	5780	4661	4653
47	3652	6120	4830	4821
48	3886	6218	5008	5015
49	4086	6318	5200	5209
50	4240	6445	5426	5403
51	4379	6576	5642	5597
52	4487	6730	5851	5791
53	4863	6768	5994	5945
54	5188	6808	6131	6098
55	5499	6859	6259	6252
56	5678	6937	6429	6405
57	5826	7051	6608	6559
58	6005	7069	6683	6640
59	6158	7095	6760	6721
60	6308	7122	6837	6802
61	6457	7169	6918	6883
62	6566	7251	6993	6964
63	6611	7270	7015	6989
64	6650	7291	7040	7014
65	6688	7308	7064	7039
66	6715	7329	7087	7064
67	6740	7352	7109	7089
68	6846	7372	7152	7133
69	6913	7404	7194	7177
70	6953	7445	7234	7221
72	7013	7572	7314	7309
73	7075	7590	7354	7350
74	7119	7620	7396	7390
75	7153	7658	7440	7431
76	7181	7706	7485	7471
77	7208	7768	7525	7512
78	7301	7785	7558	7551
79	7386	7805	7588	7590
80	7472	7832	7620	7629
81	7539	7874	7653	7668
82	7588	7929	7687	7707
83	7654	8056	7806	7821
84	7687	8313	7915	7934
85	7705	8607	8018	8048
86	7726	8899	8118	8162
87	7741	9194	8213	8276
88	7859	9247	8334	8392
89	7913	9334	8471	8508
90	7960	9435	8590	8624
91	8005	9653	8697	8740
92	8034	9898	8801	8856
93	8167	9958	8946	8976
94	8275	10035	9074	9097
95	8340	10146	9212	9217
96	8397	10285	9336	9337
97	8450	10422	9456	9457
98	8778	10486	9603	9614
99	9099	10564	9748	9771
100	9394	10628	9895	9927
101	9630	10720	10031	10084
102	9817	10864	10175	10240
103	10377	11140	10633	10682
104	10849	11455	11103	11124
105	11159	11840	11577	11566
106	11439	12382	12033	12009
107	11711	12974	12484	12451
108	11823	13015	12554	12522
109	11910	13071	12622	12593
110	12001	13138	12689	12664
111	12070	13222	12752	12735
112	12124	13326	12814	12806
113	12261	13356	12885	12877
114	12404	13388	12962	12949
115	12522	13428	13036	13020
116	12587	13481	13113	13091
117	12632	13553	13191	13163
118	12792	13577	13249	13231
119	12951	13606	13308	13298
120	13089	13637	13370	13366
121	13197	13680	13437	13434
122	13269	13744	13503	13502
123	13341	13777	13541	13543
124	13382	13823	13579	13585
125	13415	13886	13616	13626
126	13437	13978	13652	13668
127	13456	14083	13690	13709
128	13505	14143	13721	13743
129	13542	14220	13750	13777
130	13569	14301	13782	13811
131	13589	14406	13813	13845
132	13606	14544	13844	13879
133	13692	14623	13886	13934
134	13762	14722	13933	13989
135	13806	14809	13985	14043
136	13834	14975	14031	14098
137	13854	15156	14077	14153
138	14048	15623	14473	14568
139	14113	16637	14871	14983
140	14159	17881	15245	15398
141	14206	18931	15596	15813
142	14243	20021	15934	16227
143	14557	20301	16488	16716
144	14724	20820	16982	17205
167	23639	29805	28135	27718
168	24000	29905	28248	27866
169	24382	29991	28376	28014
170	24677	30077	28494	28162
171	24937	30201	28614	28310
172	25155	30373	28730	28457
173	25411	30416	28877	28609
174	25646	30485	29014	28761
175	25852	30586	29161	28913
176	26060	30692	29311	29065
177	26221	30863	29450	29216
178	26479	30911	29576	29354
179	26694	30977	29705	29491
180	26908	31059	29844	29629
181	27123	31147	29981	29766
182	27350	31258	30104	29903
183	27716	31311	30237	30060
184	28149	31374	30372	30216
185	28465	31451	30514	30372
186	28671	31537	30672	30528
187	28856	31673	30824	30685
188	29254	31717	30927	30815
189	29626	31755	31028	30945
190	29951	31828	31137	31075
191	30152	31912	31245	31206
192	30331	32014	31361	31336
193	30419	32064	31413	31391
194	30504	32148	31467	31447
195	30591	32233	31518	31502
196	30674	32347	31568	31558
197	30751	32463	31620	31613
198	30847	32535	31711	31704
199	30918	32623	31799	31795
200	30989	32728	31887	31886
201	31049	32873	31969	31977
202	31094	33065	32041	32067
203	31223	33135	32135	32158
204	31327	33213	32231	32248
205	31417	33316	32328	32339
206	31476	33424	32418	32429
207	31548	33564	32509	32519
208	31651	33627	32596	32611
209	31732	33701	32694	32703
210	31805	33775	32793	32795
211	31872	33869	32878	32887
212	31926	33987	32974	32979
213	32057	34047	33068	33072
214	32190	34118	33168	33166
215	32280	34180	33269	33259
216	32356	34282	33365	33352
217	32421	34397	33461	33446
218	32599	34445	33558	33542
219	32718	34515	33659	33639
220	32825	34572	33758	33736
221	32914	34660	33859	33832
222	32989	34774	33954	33929
223	33186	34811	34034	34019
224	33350	34852	34114	34109
225	33470	34902	34204	34199
226	33567	34964	34290	34288
227	33642	35055	34382	34378
228	33887	35095	34459	34475
229	34083	35153	34540	34572
230	34200	35242	34630	34669
231	34270	35379	34729	34766
232	34328	35526	34823	34863
233	34391	35663	34918	34957
234	34454	35841	35012	35051
235	34505	36052	35096	35145
236	34538	36316	35177	35239
237	34572	36588	35254	35334
238	34665	36701	35341	35425
239	34734	36842	35423	35517
240	34797	37058	35505	35609
241	34839	37228	35585	35701
242	34872	37440	35663	35792
243	34963	37583	35746	35889
244	35032	37769	35831	35985
245	35092	37976	35915	36081
246	35143	38214	35998	36177
247	35179	38449	36081	36273
248	35299	38620	36199	36405
249	35400	38814	36317	36537
250	35466	39022	36452	36669
