depth	min	max	median	mean
810	6772	7149	6921	6934
811	6785	7160	6932	6944
812	6794	7173	6943	6955
813	6802	7187	6953	6965
814	6809	7203	6964	6976
815	6814	7219	6974	6987
816	6823	7226	6985	6998
817	6833	7241	6995	7009
818	6840	7258	7007	7020
819	6847	7276	7018	7031
820	6853	7294	7029	7042
821	6860	7301	7039	7053
822	6869	7314	7050	7064
823	6879	7330	7061	7074
824	6886	7344	7071	7085
825	6893	7359	7082	7096
826	6903	7368	7093	7106
827	6913	7381	7104	7117
828	6920	7394	7115	7128
829	6928	7411	7126	7138
830	6934	7427	7136	7149
831	6945	7438	7146	7160
832	6955	7448	7157	7171
833	6964	7460	7169	7182
834	6971	7469	7183	7193
835	6976	7484	7194	7204
836	6987	7494	7205	7215
837	6994	7508	7216	7226
838	7004	7522	7226	7236
839	7010	7537	7237	7247
840	7015	7555	7247	7258
841	7026	7563	7257	7269
842	7035	7572	7270	7280
843	7044	7579	7281	7291
844	7051	7592	7292	7302
845	7060	7604	7303	7313
846	7070	7616	7315	7324
847	7081	7631	7326	7335
848	7088	7651	7337	7346
849	7095	7664	7348	7357
850	7103	7683	7360	7368
851	7115	7689	7371	7379
852	7126	7704	7382	7390
853	7136	7713	7392	7401
854	7143	7729	7405	7412
855	7151	7739	7414	7423
856	7163	7748	7425	7434
857	7170	7757	7438	7444
858	7178	7769	7449	7455
859	7191	7785	7459	7466
860	7199	7801	7469	7477
861	7206	7811	7481	7487
862	7216	7826	7491	7498
863	7224	7839	7502	7508
864	7232	7850	7513	7519
865	7238	7866	7521	7529
866	7251	7879	7532	7540
867	7262	7887	7543	7551
868	7272	7898	7554	7562
869	7283	7907	7564	7573
870	7291	7917	7577	7584
871	7303	7927	7588	7595
872	7315	7938	7598	7606
873	7322	7949	7609	7616
874	7331	7962	7621	7627
875	7336	7973	7632	7638
876	7349	7981	7643	7649
877	7360	7996	7653	7660
878	7369	8014	7664	7671
879	7377	8027	7674	7682
880	7386	8038	7685	7693
881	7396	8048	7696	7703
882	7403	8057	7706	7714
883	7414	8068	7718	7725
884	7424	8076	7729	7735
885	7428	8092	7740	7746
886	7439	8101	7752	7757
887	7449	8112	7764	7768
888	7458	8121	7775	7779
889	7467	8134	7787	7790
890	7474	8153	7797	7801
891	7488	8162	7808	7812
892	7498	8174	7819	7822
893	7510	8185	7830	7833
894	7524	8201	7841	7844
895	7532	8212	7852	7855
896	7540	8224	7861	7865
897	7549	8236	7872	7876
898	7557	8251	7882	7886
899	7565	8263	7893	7897
900	7573	8273	7905	7907
901	7582	8286	7914	7918
902	7591	8301	7926	7929
903	7601	8317	7935	7940
904	7612	8330	7946	7951
905	7621	8346	7958	7962
906	7632	8357	7969	7973
907	7639	8366	7979	7983
908	7648	8377	7988	7994
909	7660	8386	7999	8005
910	7670	8399	8010	8015
911	7682	8406	8019	8026
912	7690	8415	8030	8036
913	7698	8423	8040	8047
914	7705	8430	8051	8057
915	7712	8439	8061	8068
916	7729	8451	8072	8079
917	7741	8464	8082	8090
918	7751	8480	8092	8101
919	7757	8493	8102	8112
920	7766	8506	8112	8123
921	7781	8514	8125	8135
922	7796	8526	8137	8147
923	7809	8543	8150	8159
924	7815	8552	8164	8171
925	7823	8572	8176	8183
926	7838	8579	8191	8195
927	7850	8590	8202	8207
928	7859	8597	8213	8219
929	7867	8610	8226	8230
930	7877	8620	8238	8242
931	7887	8629	8249	8254
932	7900	8641	8261	8266
933	7908	8654	8274	8278
934	7924	8667	8286	8290
935	7928	8684	8299	8301
936	7942	8697	8310	8314
937	7956	8708	8320	8326
938	7970	8722	8333	8339
939	7979	8734	8346	8351
940	7987	8748	8359	8363
941	8003	8763	8370	8375
942	8012	8771	8381	8387
943	8026	8782	8392	8400
944	8039	8800	8406	8412
945	8050	8820	8419	8424
946	8062	8829	8432	8436
947	8076	8838	8443	8448
948	8087	8847	8456	8460
949	8099	8855	8468	8471
950	8106	8868	8481	8483
951	8122	8878	8493	8496
952	8135	8891	8506	8508
953	8147	8906	8518	8521
954	8160	8923	8530	8533
955	8174	8937	8542	8546
956	8183	8946	8553	8557
957	8198	8954	8564	8569
958	8208	8967	8576	8581
959	8218	8978	8589	8593
960	8225	8997	8600	8604
961	8240	9006	8611	8616
962	8250	9017	8623	8628
963	8263	9031	8637	8640
964	8273	9045	8650	8652
965	8281	9061	8663	8664
966	8295	9071	8675	8676
967	8305	9080	8687	8688
968	8313	9090	8699	8700
969	8324	9103	8711	8712
970	8332	9115	8722	8724
971	8347	9129	8735	8736
972	8361	9140	8748	8748
973	8370	9149	8762	8760
974	8380	9165	8773	8772
975	8392	9179	8784	8784
976	8407	9190	8796	8795
977	8419	9200	8807	8807
978	8430	9211	8818	8818
979	8440	9222	8830	8829
980	8450	9232	8841	8841
981	8464	9243	8852	8852
982	8476	9256	8864	8864
983	8489	9268	8875	8876
984	8499	9282	8886	8887
985	8507	9294	8899	8899
986	8519	9303	8909	8910
987	8530	9316	8921	8922
988	8544	9333	8934	8934
989	8554	9340	8945	8946
990	8563	9351	8957	8958
991	8576	9362	8970	8970
992	8589	9374	8983	8983
993	8599	9386	8994	8995
994	8612	9400	9007	9008
995	8624	9411	9021	9020
996	8637	9421	9032	9032
997	8650	9435	9043	9044
998	8660	9442	9054	9056
999	8672	9451	9067	9068
1000	8679	9465	9078	9079
1001	8695	9473	9090	9091
1002	8711	9485	9101	9103
1003	8723	9495	9112	9115
1004	8736	9505	9125	9128
1005	8751	9516	9136	9140
1006	8769	9527	9148	9152
1007	8784	9542	9159	9164
1008	8795	9552	9172	9176
1009	8805	9567	9184	9189
1010	8814	9589	9197	9201
1011	8826	9594	9209	9213
1012	8837	9608	9220	9225
1013	8853	9620	9233	9237
1014	8863	9635	9244	9248
1015	8874	9647	9256	9260
1016	8887	9656	9268	9272
1017	8895	9666	9280	9284
1018	8904	9679	9292	9296
1019	8917	9691	9303	9308
1020	8927	9701	9317	9319
1021	8947	9709	9327	9331
1022	8956	9720	9338	9343
1023	8966	9732	9350	9355
1024	8975	9743	9361	9366
1025	8991	9755	9373	9378
1026	9006	9766	9386	9390
1027	9021	9780	9398	9402
1028	9035	9792	9408	9414
1029	9043	9802	9420	9426
1030	9052	9816	9432	9438
1031	9067	9824	9442	9450
1032	9081	9832	9453	9462
1033	9093	9842	9466	9474
1034	9104	9852	9478	9486
1035	9113	9865	9489	9498
1036	9128	9873	9500	9510
1037	9141	9883	9510	9522
1038	9151	9894	9521	9533
1039	9158	9910	9531	9545
1040	9169	9920	9544	9557
1041	9178	9932	9553	9569
1042	9192	9941	9564	9580
1043	9205	9950	9575	9592
1044	9217	9958	9585	9604
1045	9229	9970	9598	9616
1046	9240	9977	9610	9627
1047	9245	9986	9622	9639
1048	9256	9996	9632	9651
1049	9267	10003	9643	9663
1050	9278	10020	9656	9675
1051	9292	10028	9664	9683
1052	9301	10038	9672	9692
1053	9309	10045	9681	9700
1054	9317	10054	9690	9708
1055	9324	10066	9699	9717
1056	9334	10075	9708	9725
1057	9345	10082	9716	9733
1058	9353	10092	9726	9741
1059	9359	10098	9733	9749
1060	9368	10109	9742	9757
1061	9376	10119	9749	9765
1062	9383	10131	9757	9772
1063	9389	10139	9764	9780
1064	9397	10152	9772	9788
1065	9405	10165	9780	9796
1066	9417	10172	9788	9804
1067	9433	10181	9796	9811
1068	9446	10186	9804	9819
1069	9460	10199	9813	9827
1070	9469	10212	9821	9835
1071	9481	10218	9828	9843
1072	9488	10225	9835	9850
1073	9497	10239	9843	9858
1074	9510	10249	9851	9866
1075	9519	10261	9859	9874
1076	9527	10267	9866	9882
1077	9538	10275	9873	9889
1078	9542	10286	9881	9897
1079	9553	10294	9890	9905
1080	9562	10303	9898	9913
1081	9571	10312	9905	9921
1082	9579	10318	9914	9929
1083	9587	10327	9922	9937
1084	9597	10336	9929	9944
1085	9609	10351	9937	9952
1086	9617	10357	9944	9960
1087	9628	10365	9952	9968
1088	9641	10371	9960	9976
1089	9651	10381	9967	9984
1090	9661	10389	9976	9992
1091	9669	10398	9983	9999
1092	9676	10405	9990	10007
1093	9686	10413	9998	10015
1094	9693	10419	10007	10023
1095	9701	10429	10015	10030
1096	9709	10435	10023	10038
1097	9717	10442	10030	10046
1098	9727	10451	10038	10053
1099	9731	10460	10045	10061
1100	9741	10472	10053	10068
1101	9751	10480	10060	10076
1102	9761	10490	10067	10084
