depth	min	max	median	mean
65	512	1468	998	996
80	688	1607	1154	1150
100	893	1783	1361	1354
120	1117	1950	1561	1558
170	1723	2376	2071	2068
180	1814	2482	2170	2167
220	2152	2941	2556	2552
240	2328	3175	2746	2747
285	2733	3664	3188	3190
300	2853	3827	3330	3336
320	3041	4027	3526	3532
351	3322	4365	3831	3833
352	3327	4374	3841	3843
380	3584	4687	4111	4118
410	3852	4984	4405	4411
450	4216	5382	4796	4801
465	4375	5546	4944	4948
475	4462	5658	5040	5045
500	4691	5904	5284	5287
520	4882	6087	5478	5482
540	5073	6302	5672	5680
550	5163	6410	5768	5775
560	5261	6512	5864	5871
580	5458	6709	6059	6066
600	5628	6913	6248	6255
610	5707	7011	6340	6352
620	5808	7111	6435	6448
640	6024	7319	6630	6643
660	6218	7530	6824	6838
680	6411	7712	7020	7034
700	6602	7906	7214	7230
720	6787	8118	7410	7426
740	6988	8335	7607	7624
755	7130	8492	7760	7776
