depth	min	max	median	mean
16	-73	45	-70	-56
17	-66	91	-22	-13
18	-61	178	18	29
19	-39	217	56	65
20	-27	265	92	100
21	7	291	133	137
22	27	336	172	175
23	63	364	209	209
24	83	404	244	244
25	123	425	283	280
26	148	459	321	316
27	198	476	357	351
28	233	503	395	386
29	291	522	428	422
30	328	548	465	458
31	419	738	547	557
32	459	1012	627	655
33	550	1187	782	804
34	582	1467	921	953
35	715	1564	1102	1110
36	788	1745	1270	1267
37	981	1803	1429	1421
38	1092	1906	1603	1574
39	1464	1938	1745	1730
40	1714	2004	1896	1887
41	1775	2050	1943	1935
42	1807	2150	1984	1984
43	1852	2179	2025	2025
44	1887	2237	2064	2065
45	1940	2277	2105	2106
46	1968	2342	2144	2147
47	2017	2401	2184	2186
48	2049	2457	2226	2225
49	2116	2516	2264	2264
50	2158	2573	2308	2303
