depth	min	max	median	mean
0	-73	188	-10	8
4	-55	234	41	54
8	-23	280	89	101
12	8	336	138	147
16	40	391	182	193
20	69	443	229	239
24	117	481	275	285
28	165	527	337	331
32	222	603	405	397
34	242	672	444	440
36	277	736	484	485
38	312	777	531	531
40	336	835	575	577
42	383	868	623	623
44	413	911	672	668
46	463	957	716	713
48	512	985	759	755
50	542	1035	804	798
52	606	1059	849	843
54	649	1097	895	888
56	703	1137	938	933
58	774	1162	977	977
60	811	1213	1020	1022
62	857	1236	1057	1058
64	897	1276	1093	1094
66	944	1316	1131	1131
68	988	1345	1171	1168
70	1013	1389	1209	1206
72	1072	1410	1246	1243
74	1105	1438	1285	1280
76	1158	1467	1319	1318
78	1237	1486	1352	1355
80	1292	1517	1389	1393
82	1313	1541	1415	1420
84	1327	1576	1442	1446
86	1346	1614	1469	1473
88	1366	1640	1495	1499
90	1386	1679	1520	1526
92	1416	1706	1550	1552
94	1437	1744	1578	1577
96	1496	1802	1644	1628
98	1537	1938	1701	1703
100	1556	2133	1757	1779
102	1657	2235	1917	1923
104	1706	2420	2069	2068
106	1868	2574	2215	2215
108	2101	2632	2362	2365
110	2222	2737	2515	2514
112	2370	2814	2618	2611
114	2420	2955	2715	2707
116	2536	3057	2807	2803
118	2683	3108	2903	2900
120	2765	3196	3004	2997
122	2818	3237	3064	3052
124	2872	3320	3112	3106
126	2907	3405	3155	3154
128	2936	3463	3194	3196
130	2957	3552	3231	3237
132	2998	3600	3272	3279
134	3023	3661	3312	3320
136	3052	3727	3352	3361
138	3085	3784	3386	3401
140	3106	3848	3424	3442
