depth	min	max	median	mean
3	1229	2772	2047	2039
8	1362	2881	2150	2140
19	1615	3042	2364	2357
28	1845	3205	2555	2538
39	2154	3393	2797	2789
44	2296	3492	2924	2917
52	2545	3649	3136	3122
61	2829	3821	3367	3354
69	3112	3964	3563	3558
80	3420	4183	3829	3825
88	3540	4422	3987	3988
99	3695	4724	4209	4214
110	3868	4999	4432	4436
121	4055	5282	4653	4655
131	4221	5517	4852	4858
141	4373	5763	5052	5062
149	4521	5978	5216	5226
161	4720	6288	5460	5476
169	4859	6470	5623	5642
181	5058	6761	5869	5884
185	5132	6845	5946	5964
210	5587	7430	6456	6472
220	5760	7690	6665	6682
230	5944	7910	6869	6887
240	6125	8126	7069	7089
250	6299	8351	7281	7291
260	6472	8561	7484	7491
270	6659	8808	7686	7696
280	6819	9056	7893	7898
290	7006	9291	8092	8105
300	7189	9530	8293	8309
310	7361	9759	8499	8511
325	7641	10101	8798	8813
