depth	min	max	median	mean
0	-62	755	203	239
10	64	914	396	422
20	212	1093	583	601
30	369	1243	777	783
40	535	1408	967	967
50	722	1568	1151	1148
60	895	1723	1340	1329
70	1096	1860	1523	1510
80	1307	1999	1710	1695
90	1541	2122	1894	1878
100	1788	2242	2074	2057
110	1983	2358	2203	2195
120	2070	2486	2298	2293
130	2163	2601	2392	2391
140	2253	2712	2491	2489
150	2342	2813	2585	2584
160	2438	2923	2684	2683
170	2527	3024	2779	2781
180	2625	3125	2879	2876
190	2727	3218	2976	2975
200	2832	3313	3074	3074
210	2932	3399	3172	3170
220	3039	3483	3273	3269
230	3146	3568	3369	3367
240	3259	3653	3471	3466
250	3377	3737	3564	3563
260	3515	3802	3653	3658
280	3750	4249	3934	3950
300	3992	4759	4313	4330
320	4265	5259	4697	4712
340	4566	5759	5082	5099
360	4872	6220	5460	5482
380	5191	6692	5830	5864
400	5494	7156	6212	6243
420	5805	7593	6596	6620
440	6145	8062	6967	7011
460	6451	8493	7344	7394
500	7098	9349	8084	8160
520	7457	9806	8514	8573
540	7862	10316	8944	9000
560	8229	10780	9369	9417
580	8616	11212	9786	9833
600	8995	11675	10204	10254
620	9385	12122	10634	10674
640	9752	12597	11037	11083
660	10149	13016	11444	11486
680	10521	13459	11849	11892
696	10811	13823	12171	12213
