depth	min	max	median	mean
39.5	514	646	550	561
40.5	521	684	575	585
41.5	527	737	600	608
42.5	531	802	623	632
43.5	535	871	642	656
44.5	547	911	665	679
45.5	560	928	689	702
46.5	572	953	715	726
47.5	580	990	739	749
48.5	587	1031	762	773
49.5	603	1059	784	796
50.5	622	1077	807	819
51.5	636	1105	829	841
52.5	648	1137	853	864
53.5	655	1173	875	887
54.5	674	1200	899	910
55.5	694	1218	924	933
56.5	713	1238	948	956
57.5	726	1258	973	979
58.5	740	1289	996	1002
59.5	760	1316	1019	1025
60.5	785	1330	1044	1049
61.5	809	1350	1071	1073
62.5	830	1372	1097	1096
63.5	843	1399	1120	1120
64.5	873	1424	1144	1144
65.5	903	1438	1170	1168
66.5	927	1449	1196	1192
67.5	948	1464	1221	1217
68.5	964	1485	1247	1241
69.5	989	1505	1271	1265
70.5	1029	1516	1294	1289
71.5	1061	1530	1319	1312
72.5	1084	1551	1345	1336
73.5	1106	1574	1372	1359
74.5	1137	1594	1394	1382
75.5	1183	1603	1414	1405
76.5	1220	1616	1434	1428
77.5	1251	1631	1456	1451
78.5	1272	1649	1480	1473
79.5	1312	1666	1502	1498
80.5	1360	1674	1524	1523
81.5	1406	1685	1547	1549
82.5	1434	1703	1574	1574
83.5	1455	1730	1599	1600
84.5	1483	1758	1622	1624
85.5	1520	1765	1647	1646
86.5	1549	1776	1671	1669
87.5	1570	1797	1695	1692
88.5	1581	1820	1720	1715
89.5	1602	1839	1738	1733
90.5	1626	1851	1752	1748
91.5	1639	1865	1767	1763
92.5	1650	1882	1781	1778
93.5	1658	1908	1794	1792
94.5	1674	1925	1806	1806
95.5	1691	1931	1818	1817
96.5	1708	1944	1829	1829
97.5	1721	1956	1839	1840
98.5	1732	1973	1850	1852
99.5	1750	1989	1862	1865
100.5	1769	2000	1875	1879
101.5	1787	2014	1890	1893
102.5	1800	2031	1905	1907
