depth	min	max	median	mean
16	-72	306	-1	30
24	-53	357	53	80
32	-27	419	107	131
40	3	488	160	182
212	905	1663	1260	1266
228	992	1773	1362	1368
244	1093	1861	1468	1468
260	1187	1967	1566	1567
276	1278	2064	1665	1666
284	1332	2109	1717	1716
300	1436	2201	1818	1818
308	1490	2256	1873	1870
316	1542	2304	1924	1922
324	1591	2349	1976	1971
332	1643	2394	2025	2021
340	1693	2440	2075	2071
356	1793	2541	2173	2172
372	1903	2627	2273	2272
388	2012	2719	2377	2374
396	2059	2761	2429	2424
404	2119	2810	2482	2475
420	2240	2893	2585	2578
436	2355	2980	2682	2679
452	2475	3077	2787	2783
460	2532	3116	2836	2835
468	2597	3160	2888	2886
484	2713	3238	2992	2989
492	2785	3280	3043	3041
500	2853	3320	3093	3092
506	2892	3350	3133	3131
516	2956	3414	3195	3193
532	3050	3538	3293	3293
540	3097	3591	3343	3343
556	3181	3707	3446	3444
564	3229	3761	3496	3494
572	3277	3808	3546	3543
584	3353	3879	3618	3618
596	3413	3956	3694	3692
612	3524	4061	3794	3793
628	3620	4157	3897	3894
644	3731	4247	3992	3993
660	3845	4340	4092	4093
676	3956	4435	4191	4192
682	4006	4463	4226	4228
692	4070	4526	4290	4293
708	4157	4695	4401	4408
756	4408	5188	4741	4758
772	4502	5333	4851	4870
788	4585	5503	4969	4987
804	4672	5664	5090	5108
820	4762	5839	5218	5235
836	4864	6028	5338	5360
852	4971	6195	5463	5488
868	5064	6363	5588	5613
884	5186	6520	5706	5740
900	5292	6681	5824	5865
916	5404	6852	5962	6007
932	5535	7076	6157	6192
948	5689	7277	6333	6373
964	5846	7515	6513	6558
980	5993	7731	6697	6745
992	6127	7899	6827	6885
1012	6327	8177	7048	7111
1036	6561	8484	7324	7385
1044	6633	8588	7404	7475
1060	6816	8773	7590	7658
1076	6979	9000	7781	7844
1084	7067	9100	7877	7938
1092	7174	9195	7969	8029
1100	7284	9289	8090	8137
1108	7406	9420	8225	8274
1116	7526	9537	8412	8446
1124	7677	9659	8607	8619
1140	8012	9880	8989	8967
1156	8319	10111	9348	9309
1164	8548	10204	9532	9484
1172	8752	10311	9715	9659
1180	8954	10417	9897	9831
1188	9190	10522	10072	10003
1196	9422	10635	10244	10178
1212	9668	10951	10543	10468
1220	9740	11144	10657	10584
1228	9798	11271	10745	10677
1236	9856	11367	10823	10758
1240	9900	11400	10863	10798
1244	9923	11450	10896	10838
