depth	min	max	median	mean
10	1207	3069	2481	2394
20	1307	3149	2584	2493
30	1486	3256	2697	2617
40	1692	3353	2806	2742
50	1906	3447	2925	2870
60	2059	3551	3043	2994
70	2248	3645	3165	3121
80	2452	3756	3285	3246
90	2660	3850	3408	3374
100	2849	3942	3534	3501
130	3429	4232	3907	3885
140	3616	4324	4027	4012
150	3793	4409	4150	4138
160	3995	4503	4272	4266
170	4135	4647	4395	4390
180	4237	4796	4512	4511
190	4348	4942	4630	4635
200	4453	5075	4750	4756
210	4556	5210	4871	4879
220	4661	5341	5000	5001
230	4780	5469	5118	5121
240	4890	5591	5240	5244
250	5007	5718	5364	5365
260	5124	5839	5490	5488
270	5245	5953	5612	5611
280	5358	6081	5732	5732
290	5490	6197	5855	5852
300	5620	6312	5972	5971
310	5739	6419	6094	6091
330	5992	6633	6335	6329
350	6264	6832	6578	6567
360	6403	6934	6697	6687
