depth	min	max	median	mean
0	-53	683	306	300
12	76	782	423	423
24	188	889	552	549
40	359	1041	721	715
56	519	1191	885	877
72	716	1334	1049	1040
88	885	1473	1210	1201
104	1082	1597	1375	1365
120	1264	1728	1534	1524
136	1492	1848	1699	1692
152	1739	1961	1856	1851
168	1834	2121	1977	1977
184	1934	2258	2100	2100
220	2215	2541	2384	2383
232	2307	2611	2480	2474
264	2579	2819	2738	2726
270	2635	2925	2792	2789
296	2885	3223	3063	3062
320	3165	3433	3332	3321
328	3260	3504	3408	3401
360	3508	3913	3702	3705
370	3591	4017	3798	3801
392	3789	4230	4005	4007
420	4054	4493	4280	4278
424	4097	4523	4320	4315
430	4150	4575	4376	4371
436	4215	4620	4432	4428
442	4279	4663	4492	4485
450	4362	4722	4568	4562
456	4441	4761	4625	4619
462	4512	4796	4686	4677
470	4600	4867	4772	4758
476	4658	4998	4837	4831
480	4688	5078	4881	4881
488	4768	5193	4978	4980
496	4845	5331	5078	5080
504	4928	5440	5178	5180
510	4998	5528	5251	5255
516	5069	5600	5330	5331
520	5097	5659	5379	5380
526	5170	5725	5454	5454
532	5239	5799	5526	5526
536	5284	5850	5581	5575
542	5353	5919	5656	5651
548	5431	5985	5736	5727
552	5476	6033	5790	5777
558	5552	6099	5874	5853
564	5628	6184	5952	5929
572	5709	6249	6028	6004
580	5776	6327	6094	6076
584	5814	6354	6127	6111
590	5865	6410	6177	6164
610	6036	6581	6349	6340
620	6135	6670	6440	6429
632	6258	6766	6543	6534
664	6581	7009	6825	6817
670	6644	7059	6879	6872
696	6880	7256	7092	7087
720	7049	7455	7273	7269
728	7106	7511	7331	7328
760	7315	7750	7576	7565
770	7385	7813	7653	7639
792	7493	8017	7791	7783
810	7575	8187	7906	7899
820	7617	8280	7969	7963
824	7636	8314	7992	7988
856	7781	8601	8190	8192
870	7848	8718	8281	8280
880	7893	8804	8342	8343
888	7933	8858	8397	8394
914	8051	9064	8566	8563
920	8080	9131	8615	8611
924	8103	9162	8648	8643
934	8155	9266	8726	8724
944	8202	9357	8809	8806
952	8244	9433	8877	8871
954	8251	9449	8894	8887
964	8306	9543	8975	8970
974	8384	9666	9079	9069
984	8464	9801	9186	9170
