depth	min	max	median	mean
21	1021	1276	1164	1169
22	1054	1297	1189	1189
23	1072	1324	1213	1209
24	1085	1356	1234	1228
25	1095	1395	1253	1248
26	1104	1438	1270	1268
27	1124	1450	1288	1287
28	1141	1467	1307	1306
29	1155	1486	1326	1325
30	1167	1509	1345	1344
31	1179	1544	1363	1363
32	1208	1554	1381	1382
33	1230	1565	1401	1400
34	1252	1578	1422	1419
35	1270	1595	1443	1438
36	1281	1616	1462	1457
37	1321	1625	1479	1476
38	1347	1635	1497	1495
39	1378	1646	1515	1515
40	1395	1660	1533	1534
41	1409	1680	1552	1553
42	1430	1687	1565	1569
43	1446	1696	1581	1585
44	1464	1712	1599	1601
45	1477	1733	1616	1617
46	1491	1760	1630	1633
47	1517	1770	1644	1647
48	1538	1782	1659	1661
49	1554	1799	1675	1675
50	1565	1823	1689	1689
51	1578	1845	1703	1704
52	1602	1855	1716	1719
53	1620	1867	1731	1734
54	1634	1884	1746	1749
55	1643	1902	1762	1765
56	1651	1928	1777	1780
57	1677	1951	1802	1806
58	1699	1992	1828	1832
59	1716	2047	1851	1859
60	1727	2112	1874	1885
61	1737	2181	1895	1912
62	1760	2212	1924	1939
63	1776	2250	1952	1967
64	1789	2289	1980	1995
65	1798	2349	2007	2023
66	1807	2408	2033	2051
67	1835	2435	2063	2080
68	1857	2467	2093	2109
69	1868	2504	2121	2138
70	1881	2539	2150	2167
71	1890	2590	2180	2196
72	1920	2614	2207	2224
73	1945	2642	2236	2252
74	1962	2676	2266	2280
75	1975	2714	2292	2308
76	1989	2759	2323	2336
77	2021	2781	2350	2365
78	2049	2807	2380	2393
79	2069	2842	2415	2422
80	2083	2876	2444	2451
81	2096	2931	2471	2480
82	2127	2955	2497	2509
83	2154	2984	2529	2539
84	2180	3013	2560	2568
85	2198	3052	2590	2597
86	2214	3090	2619	2627
87	2250	3115	2647	2654
88	2275	3136	2675	2682
89	2295	3171	2703	2710
90	2310	3194	2732	2738
91	2327	3228	2760	2765
92	2354	3248	2790	2793
93	2389	3271	2821	2821
94	2413	3305	2849	2849
95	2433	3338	2875	2877
96	2449	3369	2900	2904
97	2489	3389	2931	2934
98	2523	3411	2962	2964
99	2546	3439	2993	2993
100	2575	3477	3022	3023
101	2590	3515	3052	3052
102	2629	3533	3082	3082
103	2663	3551	3111	3111
104	2692	3569	3142	3140
105	2718	3597	3171	3170
106	2734	3625	3202	3199
107	2782	3645	3231	3228
108	2829	3659	3261	3257
109	2865	3680	3291	3286
110	2889	3705	3322	3315
111	2913	3742	3351	3344
112	2960	3752	3380	3373
113	2998	3765	3409	3402
114	3029	3787	3440	3432
115	3058	3816	3472	3461
116	3078	3848	3503	3490
117	3120	3860	3530	3519
118	3157	3877	3557	3548
119	3197	3898	3586	3577
120	3227	3921	3617	3606
121	3247	3947	3649	3635
122	3306	3959	3673	3663
123	3353	3970	3699	3691
124	3386	3992	3727	3719
125	3419	4019	3757	3747
126	3445	4049	3785	3775
127	3518	4061	3810	3804
128	3582	4076	3834	3833
129	3636	4097	3861	3862
130	3678	4118	3888	3891
131	3705	4141	3919	3920
132	3764	4171	3949	3954
133	3817	4198	3980	3988
134	3846	4230	4016	4022
135	3869	4284	4054	4056
136	3884	4354	4082	4090
137	3925	4390	4117	4126
138	3945	4441	4154	4163
139	3961	4506	4191	4199
140	3975	4577	4222	4236
141	3986	4662	4254	4272
142	4022	4694	4292	4310
143	4044	4732	4331	4347
144	4062	4795	4369	4385
145	4078	4865	4406	4422
146	4090	4938	4439	4459
147	4133	4970	4477	4497
148	4165	5007	4516	4535
149	4186	5041	4556	4573
150	4207	5091	4592	4610
151	4223	5156	4630	4648
152	4268	5180	4669	4685
153	4306	5208	4709	4722
154	4335	5240	4747	4758
155	4359	5293	4785	4795
156	4380	5357	4821	4831
157	4422	5383	4856	4869
158	4454	5408	4896	4906
159	4487	5441	4940	4943
160	4512	5477	4977	4980
161	4538	5526	5016	5017
162	4591	5550	5055	5055
163	4630	5575	5090	5093
164	4660	5602	5128	5130
165	4684	5648	5173	5168
166	4701	5696	5212	5206
167	4759	5712	5249	5243
168	4813	5727	5287	5280
169	4848	5754	5327	5317
170	4870	5787	5364	5354
171	4898	5828	5402	5391
172	4960	5845	5439	5428
173	5004	5869	5477	5466
174	5040	5894	5515	5504
175	5069	5922	5553	5542
176	5095	5965	5593	5579
177	5166	5983	5629	5615
178	5208	6003	5666	5651
179	5259	6022	5702	5687
180	5295	6049	5740	5724
181	5323	6090	5777	5760
182	5413	6106	5810	5798
183	5498	6121	5845	5836
184	5568	6135	5881	5874
185	5615	6161	5919	5912
186	5656	6193	5957	5951
187	5729	6212	5990	5986
188	5792	6234	6023	6022
189	5852	6259	6059	6058
190	5884	6295	6096	6094
191	5914	6348	6130	6130
192	5949	6374	6162	6162
193	5971	6412	6194	6193
194	5992	6459	6224	6225
195	6011	6513	6253	6257
196	6029	6577	6283	6288
197	6064	6598	6315	6320
198	6092	6624	6349	6352
199	6117	6657	6383	6384
200	6134	6698	6415	6416
201	6151	6749	6447	6447
202	6192	6769	6475	6478
203	6219	6784	6509	6509
204	6241	6808	6544	6539
205	6263	6836	6579	6570
206	6281	6875	6611	6600
207	6328	6890	6639	6631
208	6371	6905	6669	6661
209	6403	6927	6703	6692
210	6432	6956	6734	6722
211	6456	6986	6763	6752
