depth	min	max	median	mean
308.5	1147	1363	1262	1259
309.5	1147	1363	1262	1259
310.5	1147	1364	1262	1259
311.5	1147	1364	1262	1260
312.5	1147	1364	1263	1260
313.5	1148	1364	1263	1260
314.5	1148	1364	1263	1260
315.5	1148	1365	1263	1260
316.5	1148	1365	1263	1261
317.5	1149	1365	1264	1261
318.5	1149	1365	1264	1261
319.5	1149	1365	1264	1261
320.5	1150	1365	1264	1261
321.5	1150	1365	1264	1262
322.5	1150	1365	1265	1262
323.5	1150	1365	1265	1262
324.5	1151	1365	1265	1262
325.5	1151	1365	1265	1263
326.5	1151	1366	1265	1263
327.5	1151	1366	1266	1263
328.5	1151	1366	1266	1263
329.5	1151	1366	1266	1263
330.5	1151	1366	1266	1264
331.5	1151	1366	1267	1264
332.5	1151	1367	1267	1264
333.5	1151	1367	1267	1264
334.5	1152	1368	1267	1264
335.5	1152	1368	1267	1265
336.5	1152	1368	1268	1265
337.5	1152	1368	1268	1265
338.5	1153	1368	1268	1265
339.5	1153	1368	1268	1265
340.5	1153	1369	1268	1266
341.5	1153	1369	1268	1266
342.5	1153	1369	1269	1266
343.5	1154	1369	1269	1266
344.5	1154	1370	1269	1266
345.5	1154	1370	1269	1267
346.5	1154	1370	1269	1267
347.5	1154	1370	1270	1267
348.5	1155	1370	1270	1267
349.5	1155	1370	1270	1267
350.5	1155	1371	1270	1268
351.5	1155	1371	1271	1268
352.5	1156	1371	1271	1268
353.5	1156	1371	1271	1268
354.5	1156	1371	1271	1268
355.5	1156	1371	1271	1269
356.5	1156	1372	1271	1269
357.5	1157	1372	1271	1269
358.5	1157	1372	1272	1269
359.5	1157	1372	1272	1269
360.5	1157	1372	1272	1270
361.5	1157	1372	1272	1270
362.5	1158	1373	1273	1270
363.5	1158	1373	1273	1270
364.5	1158	1373	1273	1270
365.5	1158	1374	1273	1271
366.5	1158	1374	1274	1271
367.5	1158	1374	1274	1271
368.5	1159	1374	1274	1271
369.5	1159	1374	1274	1271
370.5	1159	1375	1274	1272
371.5	1159	1375	1274	1272
372.5	1159	1375	1275	1272
373.5	1159	1376	1275	1272
374.5	1160	1376	1275	1272
375.5	1160	1376	1275	1273
376.5	1160	1376	1275	1273
377.5	1160	1377	1276	1273
378.5	1160	1377	1276	1273
379.5	1161	1377	1276	1273
380.5	1161	1377	1276	1274
381.5	1161	1377	1276	1274
382.5	1161	1377	1277	1274
383.5	1162	1378	1277	1274
384.5	1162	1378	1277	1274
385.5	1162	1378	1277	1275
386.5	1162	1379	1277	1275
387.5	1162	1379	1277	1275
388.5	1162	1379	1278	1275
389.5	1163	1379	1278	1275
390.5	1163	1380	1278	1276
391.5	1163	1380	1278	1276
392.5	1163	1380	1278	1276
393.5	1163	1380	1279	1276
394.5	1164	1380	1279	1276
395.5	1164	1380	1279	1277
396.5	1164	1381	1279	1277
397.5	1165	1381	1280	1277
398.5	1165	1381	1280	1277
399.5	1165	1381	1280	1277
400.5	1165	1382	1280	1278
401.5	1165	1382	1280	1278
402.5	1165	1382	1281	1278
403.5	1166	1382	1281	1278
404.5	1166	1382	1281	1279
405.5	1166	1383	1281	1279
406.5	1166	1383	1281	1279
407.5	1167	1383	1282	1279
408.5	1167	1383	1282	1279
409.5	1167	1384	1282	1280
410.5	1167	1384	1282	1280
411.5	1168	1384	1282	1280
412.5	1168	1385	1283	1280
413.5	1168	1385	1283	1280
414.5	1168	1385	1283	1281
415.5	1168	1385	1283	1281
