depth	min	max	median	mean
0	1179	1564	1368	1371
10	1242	1615	1423	1423
20	1297	1653	1476	1476
30	1355	1704	1527	1527
40	1413	1741	1579	1577
67	1608	1851	1717	1719
71	1640	1868	1737	1739
76	1677	1889	1762	1764
81	1716	1910	1788	1791
87	1746	1950	1823	1827
95	1779	2018	1870	1877
110	1854	2138	1965	1973
120	1908	2205	2030	2039
130	1965	2268	2094	2104
140	2023	2339	2155	2169
150	2078	2428	2225	2237
160	2131	2515	2295	2306
170	2191	2596	2361	2375
180	2250	2672	2429	2444
190	2309	2747	2497	2514
195	2340	2785	2530	2548
205	2404	2857	2591	2619
210	2432	2888	2621	2649
220	2487	2940	2683	2705
230	2551	2995	2748	2763
240	2607	3048	2809	2820
250	2661	3106	2869	2876
260	2722	3155	2928	2933
270	2783	3205	2986	2989
280	2840	3258	3045	3047
290	2907	3308	3101	3103
310	3038	3404	3218	3217
320	3099	3453	3274	3273
330	3167	3499	3330	3331
340	3239	3552	3387	3389
350	3318	3606	3441	3446
360	3394	3660	3495	3504
370	3443	3729	3559	3565
380	3487	3794	3618	3625
390	3540	3854	3679	3684
410	3653	3989	3803	3806
420	3709	4044	3861	3866
430	3772	4105	3923	3927
440	3826	4164	3979	3985
450	3894	4219	4044	4047
460	3949	4283	4107	4107
470	4008	4345	4162	4166
480	4059	4420	4221	4227
490	4112	4487	4279	4286
514	4245	4646	4416	4432
520	4280	4681	4449	4468
530	4342	4742	4506	4529
540	4408	4792	4565	4591
550	4474	4870	4645	4663
560	4546	4953	4734	4742
570	4616	5036	4822	4824
580	4693	5119	4909	4906
590	4775	5187	4990	4986
610	4948	5315	5147	5144
630	5139	5437	5315	5305
640	5254	5514	5400	5385
650	5331	5610	5474	5471
660	5398	5712	5558	5558
670	5478	5810	5643	5645
680	5560	5897	5731	5731
690	5648	5981	5817	5816
710	5829	6130	5987	5986
720	5935	6190	6078	6074
730	6006	6325	6165	6164
740	6080	6436	6253	6255
750	6155	6540	6344	6346
760	6242	6647	6438	6439
770	6322	6743	6530	6530
780	6411	6847	6622	6622
790	6493	6939	6713	6712
805	6625	7067	6852	6850
810	6673	7111	6900	6897
820	6768	7194	6992	6987
829	6859	7266	7073	7071
830	6868	7273	7082	7080
831	6879	7281	7092	7089
832	6889	7286	7101	7098
833	6898	7294	7109	7108
834	6907	7300	7118	7117
835	6914	7309	7128	7126
836	6928	7314	7138	7135
837	6940	7322	7148	7144
838	6950	7328	7157	7153
839	6960	7338	7166	7162
840	6965	7346	7176	7172
841	6982	7352	7186	7181
842	6995	7358	7195	7190
843	7006	7366	7205	7200
844	7015	7377	7216	7209
845	7024	7387	7225	7218
846	7036	7393	7234	7228
847	7049	7398	7243	7237
848	7058	7405	7253	7246
849	7067	7415	7263	7255
850	7076	7426	7272	7265
860	7192	7496	7367	7359
880	7391	7678	7558	7553
890	7450	7776	7678	7654
895	7475	7813	7704	7683
