depth	min	max	median	mean
6	5810	6169	5962	5980
7	5853	6224	5993	6015
8	5898	6283	6027	6049
9	5914	6346	6063	6083
10	5925	6422	6098	6118
11	5930	6514	6130	6152
12	5955	6554	6170	6190
13	5968	6593	6213	6228
14	5983	6642	6249	6265
15	5995	6723	6285	6303
16	6008	6798	6319	6341
17	6039	6825	6359	6376
18	6061	6866	6394	6412
19	6079	6909	6431	6447
20	6095	6951	6465	6482
21	6106	7014	6501	6518
22	6145	7048	6537	6553
23	6166	7090	6578	6589
24	6185	7136	6615	6624
25	6210	7193	6650	6660
26	6224	7260	6686	6695
27	6263	7289	6726	6732
28	6292	7321	6765	6769
29	6315	7366	6801	6805
30	6335	7408	6837	6842
31	6355	7460	6867	6879
32	6392	7486	6905	6915
33	6427	7509	6946	6951
34	6461	7535	6983	6987
35	6494	7569	7024	7023
36	6522	7611	7064	7060
37	6558	7637	7097	7093
38	6577	7664	7128	7126
39	6608	7697	7160	7159
40	6627	7741	7192	7192
41	6649	7792	7226	7225
42	6697	7812	7263	7260
43	6729	7833	7300	7295
44	6758	7861	7335	7330
45	6787	7888	7370	7365
46	6808	7933	7405	7400
47	6856	7959	7444	7439
48	6901	7984	7484	7477
49	6929	8022	7523	7515
50	6962	8068	7562	7553
51	6988	8110	7600	7591
52	7040	8138	7638	7628
53	7087	8162	7681	7666
54	7123	8198	7720	7703
55	7152	8227	7757	7740
56	7177	8272	7796	7778
57	7234	8289	7831	7814
58	7280	8313	7868	7851
59	7320	8346	7906	7888
60	7341	8380	7944	7925
61	7376	8427	7979	7961
62	7441	8439	8011	7997
63	7492	8460	8049	8033
64	7539	8484	8083	8069
65	7575	8516	8121	8105
66	7601	8553	8156	8140
67	7656	8567	8189	8174
68	7706	8581	8226	8208
69	7747	8605	8258	8242
70	7789	8636	8295	8276
71	7818	8667	8332	8309
72	7915	8682	8369	8351
73	8007	8698	8406	8392
74	8072	8715	8449	8434
75	8108	8745	8494	8475
76	8129	8787	8543	8517
77	8235	8803	8568	8553
78	8337	8818	8593	8588
79	8434	8839	8621	8624
80	8519	8869	8651	8660
81	8571	8902	8685	8696
82	8591	8919	8705	8715
83	8610	8940	8727	8735
84	8617	8958	8747	8755
85	8626	8978	8766	8775
86	8633	9014	8785	8794
87	8657	9029	8806	8814
88	8671	9049	8828	8834
89	8681	9073	8848	8855
90	8691	9102	8869	8875
91	8699	9141	8888	8895
92	8720	9154	8909	8913
93	8733	9164	8929	8931
94	8745	9181	8948	8949
95	8755	9202	8966	8968
96	8763	9225	8984	8986
97	8787	9239	9004	9005
98	8806	9252	9025	9024
99	8818	9269	9045	9043
100	8832	9286	9063	9062
101	8845	9311	9082	9081
102	8872	9321	9101	9100
103	8892	9336	9121	9118
104	8907	9350	9143	9137
105	8919	9367	9163	9156
106	8929	9389	9181	9175
107	8958	9398	9200	9195
108	8986	9412	9222	9216
109	9002	9428	9244	9236
110	9018	9444	9264	9257
111	9029	9466	9285	9277
112	9063	9473	9305	9297
113	9093	9482	9325	9317
114	9114	9493	9347	9337
115	9132	9506	9370	9357
116	9153	9523	9391	9378
117	9228	9530	9414	9406
118	9303	9540	9437	9435
119	9371	9556	9462	9463
120	9414	9576	9489	9492
121	9431	9612	9522	9520
122	9481	9643	9553	9556
