labID,age,error,depth,cc
Poz-62344,4345,35,159,1
Poz-62562,4360,40,168.25,1
Poz-62345,4200,40,178,1
Poz-55862,5010,50,195,1
Poz-62553,4780,50,206.5,1
UGAMS-12598,4240,45,217.5,1
Poz-55866,4360,10,246,1
Poz-62556,5240,35,294,1
Poz-62347,5660,30,313.5,1
Poz-79480,6275,35,322.75,1
Poz-87384,6090,40,334.5,1
Poz-79481,6420,35,335,1
Poz-62557,5430,40,347.75,1
UGAMS-12596,5900,55,349,1
UGAMS-12597,4500,40,349,1
Poz-62559,5435,35,357.75,1
Poz-54258,5440,10,366.5,1
Poz-62560,6000,50,385.25,1
Poz-55863,6880,40,412,1
Poz-55864,7080,50,424,1
Poz-54259,7100,50,456.5,1
Poz-62561,6950,50,459.5,1
Poz-62348,8910,70,496,1
Poz-79041,9110,50,497.25,1
Poz-79427,7450,60,497.25,1
Poz-87385,6670,35,520.5,1
Poz-79482,8270,50,521.25,1
Poz-55868,7590,40,537,1
Poz-55869,7660,40,559.5,1
Poz-55870,7390,60,559.5,1
Poz-62563,7670,70,566.5,1
Poz-55871,8440,80,587,1
Poz-55872,8280,50,587,1
Poz-55874,7880,70,587,1
Poz-62564,7940,60,589.5,1
Poz-62566,8330,80,589.5,1
Poz-55875,7410,60,609,1
