depth	min	max	median	mean
10	276	695	473	476
26	407	769	557	562
42	539	848	630	646
66	709	997	801	816
90	890	1167	1031	1031
106	1058	1272	1165	1168
130	1193	1421	1309	1309
146	1299	1498	1398	1399
170	1426	1671	1546	1546
186	1511	1786	1645	1646
210	1648	1947	1794	1796
226	1751	2043	1894	1894
234	1804	2088	1943	1943
250	1917	2211	2040	2042
266	2029	2312	2155	2157
282	2142	2424	2274	2277
290	2195	2482	2332	2335
298	2261	2534	2395	2397
306	2322	2587	2452	2455
316	2391	2648	2520	2521
332	2512	2734	2633	2630
348	2655	2814	2739	2738
364	2776	2906	2826	2830
372	2800	2953	2865	2868
388	2859	3041	2939	2942
396	2889	3087	2976	2978
404	2924	3138	3015	3018
412	2962	3181	3065	3066
420	3003	3228	3116	3117
436	3105	3317	3218	3216
444	3163	3361	3268	3266
452	3227	3425	3324	3322
460	3281	3518	3393	3395
468	3348	3620	3476	3478
476	3421	3708	3559	3561
484	3497	3788	3640	3642
500	3658	3926	3821	3802
508	3715	3990	3875	3861
516	3754	4061	3921	3914
524	3799	4132	3968	3965
532	3846	4199	4017	4017
540	3889	4264	4067	4069
548	3937	4327	4115	4120
556	3984	4387	4169	4177
564	4045	4460	4240	4244
572	4120	4532	4303	4309
580	4189	4606	4368	4374
588	4268	4674	4432	4439
596	4346	4744	4499	4507
604	4429	4804	4559	4569
612	4465	4930	4618	4634
628	4535	5177	4735	4761
636	4575	5287	4795	4824
644	4619	5414	4854	4889
647	4635	5455	4875	4913
652	4667	5503	4905	4949
660	4705	5552	4950	4996
684	4835	5727	5077	5138
