depth	min	max	median	mean
5	834	2322	1731	1687
10	985	2400	1828	1792
20	1269	2565	2041	2004
30	1526	2742	2240	2212
40	1795	2907	2449	2421
45	1927	2981	2555	2524
50	2073	3064	2652	2628
55	2208	3139	2753	2734
60	2338	3214	2858	2840
65	2481	3293	2958	2942
70	2626	3363	3063	3050
75	2780	3434	3171	3152
80	2920	3498	3270	3254
85	3088	3562	3364	3355
90	3276	3632	3451	3457
95	3374	3797	3559	3566
105	3535	4046	3769	3774
110	3626	4153	3878	3883
120	3864	4354	4094	4096
130	4040	4607	4310	4313
145	4385	4917	4648	4648
160	4621	5317	4948	4954
170	4786	5547	5153	5158
180	4977	5779	5357	5360
190	5175	5968	5555	5561
200	5376	6188	5760	5767
