depth	min	max	median	mean
2	4281	5322	4946	4902
9	4323	5360	4981	4938
15	4355	5391	5014	4969
28	4419	5450	5080	5035
40	4483	5506	5143	5096
46	4520	5535	5173	5127
52	4554	5560	5204	5158
59	4591	5592	5241	5194
79	4698	5682	5339	5296
94	4786	5752	5417	5371
105	4846	5806	5473	5428
107	4858	5816	5482	5438
109	4870	5822	5492	5448
111	4877	5829	5503	5457
121	4929	5884	5550	5505
131	4972	5940	5595	5552
141	5022	5999	5641	5599
149	5055	6042	5678	5635
157	5094	6078	5710	5672
169	5145	6135	5762	5728
179	5199	6184	5810	5774
191	5254	6242	5864	5831
199	5289	6292	5904	5871
