depth	min	max	median	mean
30	1984	3223	2624	2618
60	2336	3495	2932	2927
90	2669	3760	3241	3233
120	3026	4008	3543	3538
150	3365	4292	3846	3844
170	3611	4466	4053	4050
180	3725	4565	4155	4152
210	4098	4838	4457	4459
230	4343	5030	4661	4663
240	4471	5132	4766	4766
260	4688	5319	4967	4971
270	4769	5440	5070	5075
280	4855	5553	5176	5181
290	4953	5666	5281	5287
300	5048	5784	5380	5391
310	5144	5896	5491	5498
330	5326	6111	5702	5707
350	5527	6351	5909	5916
360	5611	6462	6016	6020
370	5710	6580	6119	6125
380	5805	6677	6220	6229
390	5908	6783	6333	6334
400	5996	6888	6430	6438
410	6106	6993	6538	6542
420	6207	7109	6645	6648
440	6390	7333	6849	6853
470	6696	7661	7165	7165
490	6900	7858	7375	7375
500	7000	7972	7480	7481
510	7096	8082	7591	7586
520	7193	8192	7696	7690
540	7405	8388	7906	7901
570	7709	8699	8217	8216
590	7916	8911	8432	8426
600	8021	9002	8535	8529
610	8143	9097	8638	8634
630	8357	9304	8851	8842
640	8461	9405	8955	8949
650	8571	9506	9067	9055
660	8681	9603	9172	9159
670	8786	9713	9278	9264
690	8994	9915	9487	9474
710	9184	10099	9683	9674
740	9473	10403	9971	9961
770	9772	10701	10252	10250
780	9869	10811	10351	10349
