depth	min	max	median	mean
20	1537	4507	2878	2993
21	1566	4511	2887	3002
22	1592	4513	2896	3011
23	1610	4516	2906	3020
24	1630	4519	2914	3029
25	1653	4520	2923	3038
26	1671	4525	2933	3047
27	1692	4532	2941	3056
28	1703	4536	2948	3065
29	1714	4541	2956	3075
30	1726	4545	2963	3084
31	1740	4549	2972	3093
32	1753	4554	2981	3102
33	1766	4561	2988	3111
34	1779	4565	2995	3120
35	1792	4567	3004	3129
36	1818	4570	3012	3138
37	1847	4575	3020	3147
38	1877	4579	3025	3156
39	1913	4583	3034	3165
40	1939	4587	3041	3174
41	1955	4590	3047	3183
42	1974	4593	3051	3192
43	1996	4596	3057	3201
44	2007	4598	3064	3210
45	2031	4601	3073	3219
46	2052	4606	3081	3229
47	2071	4611	3088	3238
48	2086	4616	3095	3247
49	2099	4623	3102	3256
50	2117	4629	3109	3265
51	2155	4633	3116	3274
52	2189	4637	3123	3283
53	2227	4640	3129	3293
54	2259	4646	3136	3302
55	2293	4658	3145	3311
56	2323	4662	3153	3321
57	2343	4665	3158	3330
58	2369	4671	3167	3339
59	2400	4674	3173	3349
60	2426	4677	3181	3358
61	2451	4681	3189	3367
62	2478	4686	3196	3377
63	2497	4693	3202	3386
64	2517	4698	3208	3395
65	2532	4704	3214	3404
66	2548	4707	3230	3416
67	2556	4714	3243	3427
68	2567	4717	3256	3438
69	2581	4721	3269	3449
70	2589	4729	3285	3461
71	2601	4736	3298	3472
72	2614	4741	3313	3483
73	2621	4748	3327	3494
74	2632	4757	3341	3506
75	2642	4761	3356	3517
76	2651	4764	3369	3528
77	2656	4769	3382	3539
78	2665	4780	3397	3551
79	2671	4784	3414	3562
80	2679	4786	3429	3573
81	2697	4790	3442	3585
82	2712	4794	3453	3596
83	2731	4800	3465	3608
84	2746	4804	3479	3620
85	2757	4809	3490	3631
86	2772	4814	3502	3643
87	2783	4819	3517	3655
88	2798	4823	3533	3666
89	2813	4830	3543	3678
90	2821	4836	3556	3690
91	2829	4840	3569	3702
92	2841	4844	3582	3713
93	2849	4851	3598	3725
94	2856	4859	3610	3737
95	2864	4865	3627	3748
96	2879	4869	3641	3761
97	2900	4875	3653	3773
98	2916	4878	3668	3786
99	2928	4884	3681	3799
100	2941	4889	3696	3811
101	2951	4892	3711	3824
102	2963	4899	3728	3836
103	2974	4907	3746	3849
104	2990	4910	3763	3862
105	3000	4915	3777	3874
106	3009	4922	3790	3887
107	3018	4925	3808	3900
108	3025	4930	3824	3912
109	3032	4936	3840	3925
110	3045	4945	3854	3937
111	3059	4949	3869	3949
112	3083	4954	3880	3961
113	3098	4959	3897	3973
114	3114	4963	3912	3985
115	3133	4969	3928	3997
116	3148	4976	3942	4009
117	3169	4982	3956	4021
118	3186	4987	3969	4033
119	3193	4997	3982	4045
120	3198	5003	3992	4057
121	3206	5014	4005	4069
122	3214	5021	4020	4081
123	3226	5030	4031	4093
124	3232	5037	4046	4105
125	3243	5042	4062	4116
126	3276	5049	4073	4129
127	3295	5056	4086	4142
128	3317	5061	4099	4154
129	3334	5064	4114	4167
130	3347	5070	4130	4179
131	3362	5072	4146	4192
