depth	min	max	median	mean
90	-74	101	-40	-25
110	16	328	142	150
130	149	524	315	320
170	460	891	661	667
200	718	1154	923	928
220	905	1320	1096	1100
230	1002	1399	1182	1186
250	1179	1641	1384	1391
260	1271	1751	1486	1492
280	1478	1978	1689	1698
300	1688	2277	1927	1939
305	1739	2349	1996	2008
307	1761	2375	2024	2036
310	1785	2428	2067	2078
320	1909	2595	2211	2221
340	2150	2904	2488	2498
360	2413	3211	2775	2783
380	2676	3518	3050	3064
400	2966	3805	3333	3344
420	3284	4092	3606	3626
440	3624	4398	3874	3910
460	3963	4880	4340	4363
480	4342	5357	4812	4821
500	4743	5818	5283	5281
520	5239	6209	5744	5739
540	5766	6595	6210	6202
570	6546	7204	6870	6872
595	6928	7873	7365	7378
599	6994	7998	7446	7461
