depth	min	max	median	mean
210	401	896	673	667
211	417	909	691	684
212	427	926	707	700
213	440	949	724	717
214	453	973	740	733
215	467	1006	757	750
216	486	1017	772	766
217	503	1035	787	783
218	520	1051	802	799
219	532	1074	818	816
220	545	1099	834	832
221	566	1112	849	848
222	585	1127	865	865
223	602	1147	881	881
224	617	1166	899	897
225	631	1189	915	914
226	654	1202	931	930
227	668	1211	949	947
228	678	1229	966	963
229	692	1245	981	980
230	703	1266	996	997
231	723	1277	1014	1013
232	743	1292	1031	1029
233	758	1304	1047	1046
234	771	1327	1063	1062
235	783	1348	1080	1078
236	803	1356	1094	1094
237	828	1370	1111	1110
238	846	1385	1127	1126
239	865	1400	1143	1142
240	877	1422	1159	1158
241	900	1435	1176	1175
242	923	1448	1194	1192
243	945	1465	1212	1209
244	959	1484	1229	1226
245	970	1503	1245	1242
246	992	1514	1261	1258
247	1019	1531	1278	1275
248	1034	1541	1294	1291
249	1051	1559	1310	1307
250	1060	1575	1326	1323
251	1083	1585	1341	1339
252	1104	1598	1357	1355
253	1118	1612	1372	1371
254	1136	1630	1389	1387
255	1148	1646	1406	1404
256	1176	1658	1420	1420
257	1208	1668	1435	1437
258	1236	1678	1452	1454
259	1254	1695	1467	1470
260	1265	1721	1483	1487
261	1286	1736	1502	1505
262	1304	1760	1521	1523
263	1314	1785	1539	1541
264	1327	1819	1556	1559
265	1336	1853	1573	1577
266	1352	1874	1590	1595
267	1370	1898	1609	1613
268	1382	1928	1627	1631
269	1394	1955	1644	1649
270	1403	1986	1660	1667
271	1421	2001	1679	1685
272	1435	2022	1696	1704
273	1446	2044	1714	1722
274	1457	2072	1732	1740
275	1469	2111	1749	1758
276	1487	2127	1766	1777
277	1504	2142	1785	1795
278	1514	2167	1804	1814
279	1522	2193	1820	1832
280	1535	2233	1839	1850
281	1551	2249	1856	1868
282	1565	2270	1874	1886
283	1578	2293	1891	1904
284	1591	2318	1908	1922
285	1604	2344	1926	1940
286	1624	2356	1946	1958
287	1640	2385	1965	1976
288	1656	2410	1983	1994
289	1668	2429	1998	2012
290	1677	2451	2015	2030
291	1695	2464	2035	2048
292	1714	2486	2053	2066
293	1728	2504	2071	2084
294	1737	2523	2088	2101
295	1750	2541	2106	2119
296	1766	2564	2123	2137
297	1783	2586	2143	2156
298	1797	2609	2161	2174
299	1812	2636	2180	2192
300	1825	2666	2199	2210
301	1842	2684	2216	2228
302	1858	2706	2238	2247
303	1872	2732	2258	2265
304	1888	2749	2277	2283
305	1900	2780	2294	2302
306	1916	2799	2313	2320
307	1931	2811	2330	2338
308	1951	2828	2349	2356
309	1965	2852	2369	2375
310	1982	2875	2387	2393
311	1998	2888	2403	2411
312	2009	2905	2420	2429
313	2025	2930	2438	2447
314	2043	2948	2455	2465
315	2052	2969	2470	2483
316	2066	2984	2488	2500
317	2083	3003	2507	2518
318	2095	3019	2525	2535
319	2108	3037	2544	2553
320	2119	3055	2560	2571
321	2139	3072	2580	2589
322	2152	3089	2599	2607
323	2171	3112	2618	2625
324	2185	3132	2637	2643
325	2204	3155	2656	2661
326	2220	3170	2674	2679
327	2243	3193	2691	2697
328	2255	3214	2711	2716
329	2269	3231	2729	2734
330	2279	3260	2748	2752
331	2297	3269	2767	2770
332	2318	3284	2784	2788
333	2335	3300	2803	2806
334	2355	3322	2820	2824
335	2367	3346	2837	2842
336	2383	3361	2856	2860
337	2402	3382	2874	2878
338	2419	3410	2894	2896
339	2431	3438	2913	2914
