Depth,Cal yr BP,C14 BP,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asphodelus,Asteraceae (echinate),Betula,Brassicaceae,Cannabis,Caryophyllaceae,Cedrus atlantica,Centaurea,Cichorioideae,Cistus,Cupressus,Cyperaceae,Daphne gnidium,Ephedra fragilis,Erica,Fraxinus,Helianthemum,Lamiaceae,Myrtaceae,Olea,Pinus,Poaceae,Polygonum,Quercus canariensis/Q. pyrenaica,Quercus ilex/Q. coccifera,Rhamnus,Salix,Scabiosa,Valerianella,Vitis
4,0,9.465649,,30,69,,,151,,,,15,,,,,50,125,,,47,,,,,22,12,,2,39,40,,,,,8
14,40,33.12977,,6,36,,,43,,,,2,,,,2,23,60,,,17,,1,,,7,3,,2,9,12,,,,,
24,81,56.79389,1,10,43,,,63,,,,5,,,20,19,57,193,,,48,,5,,,11,1,,5,6,5,,,,1,5
34,119,80.45802,,2,23,,,29,,,,,,,23,8,23,118,,,22,,,,,5,,,5,6,,,,,,1
44,153,104.1221,3,6,16,,,35,,,,,,,8,9,19,61,,,47,,,,,,,,,2,6,,,,,1
54,184,127.7863,1,10,23,,,45,,,,,,,24,12,24,27,,,54,,,,,20,,,7,11,20,,,,1,1
64,212,151.4504,,10,54,,,67,,,,13,,,,28,39,69,1,,65,,6,1,,50,2,,19,33,54,,,,,
79,238,208.2394,2,11,85,,,54,,,,6,,,4,17,28,40,1,,63,,,,,24,,,16,36,61,,,,,
89,262,247.6761,,13,15,,,43,,,,9,,,1,15,24,43,,21,55,,1,,,16,,,18,9,21,,,,,1
99,285,287.1127,,5,31,6,,53,,9,,3,1,,6,30,40,47,,11,59,,3,,,9,,,4,28,41,,,,,1
109,307,326.5493,,11,33,,,63,,11,,4,,,35,24,45,15,,15,48,,2,,,26,3,,31,51,48,,,,,7
119,328,365.9859,,9,34,,,72,,,,15,,,9,15,40,20,,8,60,,,,,9,,,11,30,24,5,,,,5
129,348,405.4225,,27,27,15,,60,,4,,,,,,17,14,23,,3,49,,2,,,6,1,,27,24,19,27,,,,
139,368,444.8592,,15,24,16,,46,,1,,7,,,3,40,14,10,,,35,,,,,13,,,10,31,24,37,,,,
149,389,484.2958,,9,24,50,,26,,2,,17,,,2,24,29,11,,3,35,,1,1,,8,,,27,52,23,41,,,,
159,410,523.7324,,27,42,28,,52,,,,7,,,,6,40,15,2,,8,,4,,,9,,,3,42,29,7,,,,
169,432,563.169,,10,23,39,,52,,,,,,,2,20,46,9,3,2,30,,3,,,6,,,7,51,29,4,,,,
179,456,602.6057,,6,44,54,,49,,1,,3,,,3,18,36,24,2,,18,,1,,,3,,,,25,27,7,,,,
189,481,642.0422,,3,11,48,,53,4,2,,2,,,12,10,57,23,1,,8,,2,,,,,,11,30,24,2,,,,
199,508,681.4789,,5,11,55,,28,3,3,,1,,,12,13,17,4,,,2,,2,,,,,,11,28,20,1,,,,
209,538,720.9155,,1,26,35,3,35,17,,,3,,,22,33,53,1,,2,10,,4,22,,,,5,32,25,36,,,,,
219,570,760.3521,,1,30,18,2,40,4,,,,,,5,11,22,7,,,14,,,11,,,,,3,23,9,,,,,
229,606,799.7888,,6,14,6,,19,,1,,4,,,16,19,20,14,,6,5,,,7,,,,4,20,19,11,,,,,
239,645,839.2253,,6,16,33,,59,,,,,,1,13,27,8,9,1,3,3,,,4,,,1,,21,28,12,,,,,
249,689,878.662,,2,13,7,,55,,,,,,7,33,12,13,4,,3,5,,1,,,,2,,13,16,19,,,,,2
259,736,918.0986,,,18,32,,79,,,,3,,8,55,17,38,13,2,3,3,,7,4,,,,,20,19,10,,,,,
269,788,957.5352,,17,48,12,,61,,,,,,12,42,34,18,19,4,,11,,4,,,7,,,6,25,14,,,,,
279,845,998.871,,53,137,,,12,,3,,,4,5,6,15,28,12,4,,11,,,1,,,,,17,51,61,,7,,,
289,907,1076.29,,54,65,4,,5,,8,19,15,,4,,8,18,9,8,1,1,,1,6,,,,,22,60,74,,28,,,
299,975,1153.71,,37,62,1,,14,,4,58,2,,,1,11,8,56,2,2,,,1,,,,1,11,,39,56,,,,,
309,1049,1231.129,,20,110,,,15,,,,18,,,3,1,55,89,,,11,,,,,14,,12,10,220,286,,200,,,
319,1129,1308.548,2,9,31,,1,10,,,,4,,3,,2,24,17,,,6,,3,2,5,,,20,4,90,131,,59,,,
329,1216,1385.968,,7,48,,2,,,,,,,,,2,4,57,,,,,10,,,,,19,8,45,73,,28,,,
339,1311,1463.387,,9,36,,1,1,,,,2,2,,1,,,89,,,2,,,,2,,,12,2,83,114,,6,,,
349,1412,1582.1,2,11,16,,,4,,,,3,1,,,4,,68,,,2,,,,21,,,26,,53,76,,17,,,
359,1522,1708.1,2,3,11,5,,3,,,,3,,,10,7,,23,,,1,,1,,4,,,24,,74,96,,13,,,
369,1640,1834.1,4,10,43,4,,,,,,,1,,3,,1,86,,,,,,,6,,,26,5,136,221,,32,,,
379,1766,1960.1,,8,44,6,,5,,2,,3,4,1,,,4,256,,,2,,,2,11,,,57,15,251,208,,46,,,
389,1901,2086.1,15,,115,,3,15,,4,,,,1,6,,,143,,,2,,,,,1,,22,7,209,164,,122,,,
399,2046,2212.1,2,4,60,,,7,,1,,4,2,,,,,177,,1,3,,,,11,,,8,4,294,232,,114,,,
409,2200,2338.1,2,4,77,15,,3,,3,,,3,,2,2,,68,,,,,,2,15,,,,2,259,210,,40,,,
419,2364,2464.1,1,2,68,,1,,,3,,3,1,,,2,17,84,3,,1,,2,,35,,,74,1,153,122,,8,,,
429,2539,2590.1,4,,25,,,,,,,2,,,5,2,,36,1,,1,,,,,,,24,2,44,43,,2,,,
439,2724,2716.1,,4,53,,,3,,,,,2,,2,,,80,,,,,2,,,,,15,3,30,41,,6,,,
449,2920,2913.341,,2,138,,1,8,,2,,,4,,12,1,16,141,,,1,6,,3,13,,,69,,117,71,,,2,,
459,3128,3123.154,,3,77,,4,7,,,,1,2,,14,3,26,83,,,2,4,,,7,,,27,,74,59,,1,,,
469,3348,3332.967,,4,88,4,4,3,,,,3,2,,6,2,15,70,,,,,2,,,,,8,,81,51,,,,,
479,3579,3542.78,,5,106,3,12,9,,,,2,3,,14,,42,172,,25,3,,,2,,,,,,168,133,,2,,,
489,3824,3752.594,3,,47,,13,24,,,,3,5,,24,14,61,112,,48,,,,,,,,,7,179,138,,,,,
499,4081,3962.406,,2,48,3,7,20,,,,2,6,,10,4,12,38,,9,,2,3,,,,,,9,84,64,,,,,
509,4351,4172.22,4,1,98,6,,20,,4,,2,7,,6,5,38,88,,8,2,,,,,,,31,,164,82,,,,,
519,4635,4382.033,,,59,3,3,4,,1,,,2,,6,3,8,79,,2,2,,,,,,,12,,69,42,,,,,
529,4933,4591.846,,2,97,5,2,5,,1,,,3,,8,,17,80,,,,,3,,,,,,,64,40,,,,,
539,5245,4801.659,,,53,,2,8,,,,4,2,,10,,14,61,1,,10,,4,,,,,,1,98,59,,,,,
