Sample no.;Material;Lab. code;14C age (a BP);Age ranges (cal. a BP);d13C VPDB (‰);Depth (cm)
1;Shell detritus;Poz-63658;1360±30;1350–1227;-24,2;395
2;Terrestrial organic matter;Poz-72534;2395±30;2542–2338;-28,1;495
3;Silty clay;Poz-72537;1270±30;1291–1072;-26,7;535
4;Clayey silt;Poz-68169;2175±30;2328–2040;-24,6;555
5;Clayey silt;Poz-72521;3210±30;3560–3358;-21,1;595
6;Organic clayey silt;Poz-72522;2920±30;3210–2929;-29,1;615
7;Terrestrial organic matter;Poz-64051;5740±40;6670–6406;-24,2;657
8;Organic clayey silt;Poz-72523;3500±35;3906–3636;-24,6;675
9;Clayey silt;Poz-68008;3990±60;4728–4223;-31,2;720
10;Clayey silt;Poz-72536;4600±40;5472–5211;-27,3;805
11;Clayey silt;Poz-68007;4540±60;5468–4877;-29,3;820
12;Clayey silt;Poz-68006;4060±50;4830–4406;-29,3;855
13;Clayey silt;Poz-72529;4320±35;5040–4826;-22,4;885
14;Clayey silt;Poz-72527;4405±35;5083–4853;-24,4;965
15;Clayey silt;Poz-64892;4410±40;5145–4852;-23,7;1020
16;Silt with shell detritus;Poz-72526;3345±35;3699–3453;-24,1;1175
17;Terrestrial organic matter;Poz-63660;5470±30;6324–6186;-19,8;1250
18;Terrestrial organic matter;Poz-63661;5160±30;5997–5826;-24,9;1305
19;Clayey silt;Poz-72531;5560±40;6474–6276;-25,1;1405
20;Terrestrial organic matter;Poz-63662;6225±30;7260–6997;-26,7;1518
21;Terrestrial organic matter;Poz-63663;6140±35;7175–6885;-25,4;1523
22;Terrestrial organic matter;Poz-63587;6630±50;7623–7421;-23,5;1604
23;Terrestrial organic matter;Poz-63854;6660±35;7614–7436;-18,3;1610
24;Organic clayey silt;Poz-63588;6750±50;7731–7475;-27,4;1642
25;Clayey silt;Poz-63589;6850±40;7825–7582;-25,9;1648
26;Terrestrial organic matter;Poz-63590;7360±50;8350–8010;-25,2;1745
27;Terrestrial organic matter;Poz-63591;7480±40;8397–8180;-18,5;1763
28;Clayey silt;Poz-72525;7910±40;8992–8591;-25;1825
29;Carbonate clayey silt;Poz-72530;15 320±80;18 843–18 295;-23,4;1975
30;Carbonate silt;Poz-72538;12 750±80;15 658–14 691;-30,5;1995
31;Carbonate silt;Poz-72535;11 910±80;14 074–13 466;-24,5;2085
32;Organic clay;Poz-72528;8210±50;9413–9008;-29,9;2168
