lab number,Depth,14C,error,material dated
KIA 35956,3,900,35,Globigerina bulloides
Poz-47913,41,3565,35,Globigerina bulloides
Poz-47914,47.5,3920,35,Globigerina bulloides
KIA 35955,53,4615,60,Globigerina bulloides
Poz-47917,69,5545,35,Globigerina bulloides
Poz-47918,79,6090,40,Globigerina bulloides
Poz-47919,86.5,7045,35,Globigerina bulloides
KIA 35954,103,7810,90,Globigerina bulloides
KIA 35953,148,9530,110,Globigerina bulloides
Poz-46744,165.5,10600,60,Globigerina bulloides
Poz-46745,182.5,11410,60,Globigerina bulloides
KIA 35951,193,12100,70,Globigerina bulloides
KIA 35950,228,12980,80,Globigerina bulloides
