,"Sample name [undefined]","Burial label [undefined]","Sample Age (cal yr BP) [cal yr BP]","note [undefined]"
,1a,G3-B5,5712, 
,1b,,5712,
,2a,G3-B6,, 
,2b,,, 
,2c,,,
,2d,,,
,3a,G1-B8 B9 B10,4956,(mean median G1-B8)
,3b,,4956,(mean median G1-B8)
,3c,,4956,(mean median G1-B8)
,4a,G1-B18,,
,4b,,, 
,4c,,, 
,4d,,, 
,4e,,, 
,5,G3-B21,,
,6,G3-B29,, 
,7a,G3-B36,5418,
,7b,,5418,
,7c,,5418,
,7d,,5418,
,7e,,5418,
,8,G3-B41,5592,
,9,G3-B42,,
,10a,G3-B8,9379,(mean median G3-B8)
,10b,,9379,(mean median G3-B8)
,11a,G3-B9,9536,
,11b,,9536,
,12a,G3-B15,,
,12b,,,
,13,G3-B17,9584,
,14,G3 B40,,
