Depth,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Tinner et al. (2016)Calendar years BP,Abies,Acer,Alisma-type,Alnus glutinosa-type,Amaranthaceae-type,Anthemis-type,Anthoceros laevisspore,Anthyllis,Apiaceae undiff.,Apium-type,Artemisia,Asphodelus albus-type,Aster-type,Asteroideae,Astragalus-type,Betula,Brassicaceae,Bupleurum,Calligonum,Callitriche,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum hirsutum-type,Cichorioideae,Cirsium,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cyperaceae,Cyperus-type,Daphne,Daucus,Dianthus superbus-type,Echium,Ephedra fragilis-type,Erica arborea-type,Erodium,Eryngium,Eucalyptus,Fabaceae,Fagus sylvatica,Falcaria-type,Fedia cornucopiae,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Geum-type,Gladiolus-type,Glomusspore,Gnaphalium-type,Helianthemum,Heliotropium,Heracleum,Hypericum perforatum-type,Ilex aquifolium,Iris pseudacorus-type,Isoëtesspore,Juglans regia,Juncaceae,Juniperus-type,Lamiaceae,Lemnoideae,Liliaceae-type,Limonium,Linum austriacum-type,Lithospermum officinale,Lythrum portula,Malvaceae,Medicago falcata-type,Mentha-type,Mercurialis annua,Minuartia rubra-type,Moehringia-type,Montia,Morus,Myriophyllum alterniflorum,Nigella,Oenanthe,Olea,Ophioglossum vulgatumspore,Orlaya grandiflora,Ornithogalum-type,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Pediastrum angulosumcolony,Peucedanum-type,Phillyrea,Phragmites australis,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Prunus-type,Pseudopediastrum boryanum var. boryanum sensu latocolony,Pseudopediastrum boryanum var. longicornecolony,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda-type,Robinia pseudoacacia,Rosa,Rosaceae undiff.,Rubiaceae,Rubus,Rumex acetosa-type,Rumex scutatus-type,Sagina,Sagittaria,Salix,Sambucus nigra-type,Sample quantityvolume,Sanicula europaea,Saxifraga granulata-type,Scabiosa,Scleranthus,Scrophularia-type,Senecio-type,Serratula-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sparganium-type,Spergula-type,Sporormiellaspore,Taxus baccata,Thalictrum,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Urtica membranacea-type,Utricularia,Vicia-type,Vitis
5,708,18583,3,--/-4.52/--,,,1,6,6,6,,,3,1,4,,3,,,,,,,25,,,,,,,2,,,,,,1,,1,5,,,,1,,11,5,,16,,,1,1,,2,2,,2,1,,,1,,,1,,,,,,,,,,,,,,,19,,,,,,1,4,,,1,1,,,,1,,,1,3,,,,,,1,,1,1,,,19,1,31,2,2,,171,4,,,,294,5,,,,,1,6,7,5,,1,,,1,,1,,2,,,,1,,1,,,,,,2,,,,,2,,1,4,,,,,,,,,6,1,,,
15,719,18583,3,--/98.44/--,,,1,2,1,6,,,7,3,1,,10,,,,1,,,1,,,,,,,12,3,,,,,1,,,26,,,1,1,,15,1,1,3,,,,,,,1,,,1,,,2,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,1,,,1,,,,,7,,,,,,1,,,,12,,4,,49,6,1,,104,3,,,,59,2,,,,1,,,5,10,,3,,,,,2,,1,,,,2,,1,,,,,,,,,,2,4,1,2,12,,,,7,,,,,1,,,,
25,758,18583,3,--/201.4/--,,,2,3,3,10,,,7,5,4,1,3,,,1,,,,10,,,,,1,,6,,,,1,2,5,,4,20,,,2,1,,46,3,,9,,,,2,,,1,,2,3,,,3,,,,,,,,,,,1,,,,,2,,14,,,,,,,7,,,6,2,,,,,,,,3,,,,,,2,4,1,,23,,5,,56,2,,1,156,7,1,,,83,3,,,,2,,2,5,11,1,,,1,,,3,,2,,,,1,,1,,,,,,,,,,,4,,2,12,,1,,3,,,,,2,,,,1
35,839,18583,3,--/304.36/--,,,,6,4,14,,,7,3,4,2,2,,2,2,1,,,5,,,5,,,,5,3,,,,2,5,,1,21,,2,2,4,,59,1,,6,,,,2,,6,,1,2,1,,2,,2,,,,1,,,2,,1,,,,,,,1,7,,,1,,,,4,,,6,1,,,,,,,,13,,,1,1,,2,2,1,2,17,,3,2,100,2,2,,168,2,1,2,,84,2,,,,,1,1,5,6,,,,,,,7,1,1,2,,,,,1,,,1,,,1,,1,,,2,,4,26,,,1,4,,,,,2,1,,2,
45,632,18583,3,--/407.33/--,,,,2,6,39,,,5,1,8,3,9,1,2,,4,,,,,,4,3,,,2,2,,,,6,9,,2,69,,14,4,1,,53,,,5,1,1,,1,,3,,,2,,,,1,,1,1,,,2,,1,,1,,,,,,,1,4,,,,,,,9,,,,,1,,,,,,,10,,,,,,3,41,,,26,,2,,92,2,4,,218,2,2,1,,48,2,,,,1,,4,2,5,1,4,1,,,,6,,,3,,,1,1,1,1,,,,,,1,,,1,5,1,2,38,,,3,9,,,,,5,,,,
55,571,18583,3,--/510.29/--,,,,6,4,3,,,4,3,9,,1,,1,,3,1,,,2,1,,,,,4,,1,,,3,1,,,10,,,3,,,70,1,,3,,,,4,,1,,1,3,,,,1,1,,1,,,,,1,,1,,,,,,,3,6,,,,,,,4,,,7,4,,,,,,,,11,,,,,,1,630,,2,3,1,,1,56,4,2,,94,2,1,,,208,,,,,2,,,6,4,1,,,,,,3,,1,1,,,11,,1,,,1,,2,,,,,,2,,,4,,,,,1,,,,4,1,,,
65,796,18583,3,--/613.25/--,,,1,2,3,11,,,1,7,7,1,3,,2,,3,2,,2,,,,,,,4,3,,,,17,4,,1,18,,,,,,59,1,,4,,,,1,,3,,1,,2,,,,1,,,,,,,1,,,,,,,,1,12,3,,,,,,,8,,,14,,,,,,,1,3,12,,,,1,,6,26,,2,1,,2,1,37,1,1,,131,3,2,,1,575,,1,,1,,,1,3,4,1,,,,,,5,,2,5,,,1,1,1,,,,,,,,2,,,1,,2,9,,2,,,,,,,2,,,,2
75,251,18583,3,--/716.21/--,,,,,1,34,,,7,1,2,2,8,,,,,,,,,,1,1,,,,4,,,,3,6,,3,67,,,1,,,4,,,1,,,,2,,2,,2,,,,,,,1,2,,,,,1,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,2,7,,,,,,1,10,1,,3,,2,,76,1,3,,200,3,1,1,,30,,,,,,,,,3,1,,,,,,1,,,1,,,1,,1,5,,,1,,,,3,1,,,,3,34,,,,7,,,1,,,,,,
85,382,18583,3,--/819.17/--,,,4,,2,14,,,5,8,10,,4,,,,2,2,,,,1,1,2,,,,1,,,,13,3,1,2,36,,,,,,20,,,2,,,,,,1,,,,1,,,,1,,,,,,,1,,1,,,1,,,1,2,1,,,,,,,6,,1,4,,,,,,,,,4,,,,,,5,,,,5,,,,37,5,,,134,4,,,,264,,,,,2,,,2,1,,1,,,,1,3,,1,3,,,,,1,1,,,,1,,1,1,2,,,,1,17,,,,4,,1,,,,,,,
95,589,18583,3,--/922.13/--,,,,,4,1,,,1,1,3,,,,,,,1,,,,1,,,,,1,,,,,113,,,,5,,,,,,12,,,1,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,3,,,,,,5,,,,,,,,12,,,,58,2,,,,77,,,19,,,,,1,3,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,1
