Depth,CAL BP,Abies,Alnus,Amaranthaceae,Artemisia,Aster-type,Boraginaceae,Carduoideae,Cedrus,Centaurea nigra-type,Ceratonia siliqua,Cercophora-type spore,Cichorioideae,Cistus,Crataegus-type,Erica arborea-type,Erodium,Fabaceae undiff.,Fraxinus,Fumaria,Genista-type,Geranium,Ilex,Juniperus-type,Lamiaceae,Lavandula,Liliaceae-type,Malva sylvestris-type,Matricaria-type,Myrtus communis,Olea europaea,Periploca,Phillyrea,Pinus halepensis-type,Pistacia,Plantago lanceolata-type,Plantago major/P. media-type,Poaceae,Poaceae (Cerealia-type),Podospora-type spore,Polygonum aviculare-type,Populus,Portulaca,Prunus-type,Quercus cerris-type,Quercus ilex-type,Rhamnus-type,Rubiaceae,Ruscus,Salix,Smilax,Solanum nigrum-type,Sordaria-type spore,Sporormiella-type spore,Tamarix,Taxus baccata,Withania,Ziziphus
0,6145,2,,19,13,11,5,15,6,3,2,11,49,13,,9,1,1,,2,6,,,11,4,3,1,3,1,9,6,9,9,13,31,8,6,35,10,4,4,,2,,1,5,9,2,,,4,2,23,25,13,,4,11
5,6370,3,,21,19,9,4,23,5,4,1,19,58,15,,8,,,,2,7,1,,8,5,2,,4,,13,10,11,9,15,29,11,7,48,13,7,5,1,2,,2,4,8,,,,5,3,15,33,15,,3,8
13,6730,1,,25,15,13,6,19,4,4,1,13,43,19,,13,2,2,,1,5,,,8,6,3,2,5,,11,11,13,13,22,28,9,6,39,9,8,6,,1,,1,6,11,3,,,7,4,19,24,18,,5,9
25,6885,,4,5,3,12,4,12,6,3,3,9,25,11,1,2,1,,,2,1,,,9,1,3,1,3,3,2,13,2,2,8,6,13,7,21,11,11,5,,,,2,7,1,3,,2,1,2,29,24,3,,1,2
35,7016,,5,6,2,14,4,13,5,3,2,23,34,3,,3,,1,,,,1,,13,2,,,3,2,1,21,1,1,6,11,15,8,18,15,9,7,2,3,,1,13,,1,,3,,1,33,31,2,,,1
45,7116,,4,5,,9,5,9,6,2,2,14,37,4,,3,,,2,3,2,,,14,1,,,4,,2,15,,,8,9,9,9,17,8,9,6,3,2,3,3,21,,,3,2,1,3,23,19,1,,,
55,7186,2,6,7,3,8,5,11,7,4,1,19,27,3,2,4,1,2,,1,,,,8,,1,1,3,,2,23,,,8,8,9,11,23,11,7,5,,,2,5,16,2,,2,5,,3,25,15,,3,1,1
65,7257,,7,5,1,9,6,13,6,3,,22,33,5,,3,1,,1,1,,2,,7,,,1,4,1,,18,1,3,9,9,10,13,13,12,9,4,1,1,1,4,22,2,1,2,5,,2,32,23,2,,,2
75,7327,,9,4,,8,7,14,5,3,,14,34,6,,2,,2,3,2,,,,9,,,2,2,1,1,24,2,2,6,6,13,7,10,7,9,5,3,4,2,6,25,1,2,3,3,,3,18,19,3,,,
85,7944,1,11,3,,11,5,21,4,3,2,16,27,5,,3,,3,3,3,1,,1,13,1,,3,5,1,1,31,,,7,12,12,8,9,9,5,6,3,3,,7,19,,,2,4,,1,18,28,5,2,,
90,8278,,13,4,3,13,4,13,7,5,3,17,30,4,,1,2,1,2,1,,1,,12,2,,1,4,2,,19,,,5,9,9,9,17,12,8,5,2,2,,4,23,1,,3,6,,3,26,23,4,,,3
100,8622,,9,5,,8,5,13,7,4,1,13,15,5,5,3,,,6,1,,1,,9,,,,4,3,,17,1,1,4,10,15,9,16,15,7,5,3,,1,5,24,2,1,1,2,,4,15,15,,2,2,1
110,8967,,13,3,,7,5,9,8,5,,13,23,4,4,4,,1,4,1,1,2,,11,,1,2,3,1,2,26,1,1,7,7,9,11,4,9,9,4,4,1,2,5,19,,2,3,7,,3,23,25,,,1,
115,9139,2,11,4,1,13,3,9,11,5,1,9,28,6,6,4,,2,4,,,,,13,,,2,,,1,18,,2,9,8,13,7,5,14,13,5,3,1,,3,21,,2,2,8,,2,34,23,2,3,,
120,9311,3,21,5,1,,1,,9,1,2,,1,7,9,,,,13,,,,2,9,1,,1,,,1,28,,1,11,6,,,4,,1,,5,,,4,33,1,1,3,21,,,,1,,3,2,1
125,9483,,33,4,,2,,1,13,,1,,3,4,9,,,1,16,,2,,3,8,1,2,,,,,29,2,3,7,8,,,7,,,,4,,1,11,45,,3,4,13,,,,,4,2,,2
130,9655,4,28,3,,1,,2,17,,1,,,3,8,,,1,9,,2,,,9,2,1,,,,2,31,,,8,8,1,,7,,,,6,,2,9,39,,,3,13,,,,,4,4,3,
140,9999,,44,6,,1,1,2,18,1,2,1,2,5,5,1,,2,13,,1,,5,7,,,1,,,,32,,,5,11,,,8,,,,5,,3,9,49,2,,3,18,,,2,3,,5,2,
145,10171,,36,2,2,2,,3,20,,2,,3,5,4,2,,,12,,,,5,6,,,1,,1,,18,,2,6,9,,,9,,,1,4,,3,13,38,,1,2,17,,,,,5,5,1,
150,10344,5,38,3,,3,2,,17,,3,,2,2,9,,,,9,,,,4,8,1,1,2,,,,17,,2,7,9,,1,5,,,,6,,2,11,45,,1,1,22,,,,,,6,,1
155,10516,6,39,2,1,1,,,13,,,,2,3,9,,,1,8,,1,,2,11,1,,1,,,,23,,3,6,13,,,4,,,,6,,1,9,36,,1,5,14,,,1,,1,3,,
160,10688,7,43,3,1,2,,,15,,1,,1,2,10,1,,2,15,,1,,3,12,,,1,,1,,24,,2,7,10,1,,6,,,,7,,2,9,35,,2,3,23,,,,,,2,,
165,10860,5,45,1,,1,,2,17,,3,,3,4,8,1,,1,16,,,,4,9,,,2,,,,33,,4,8,13,,,5,,,,5,,1,10,44,,,2,19,,,,,,4,,
