Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Lycopodiumspore,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Carpinus betulus,Caryophyllaceae,Centaurea,Cichorioideae,Cistus,Corylus,Cyperaceae,Daphne,Ephedra,Ericales,Fagus,Fraxinus excelsior-type,Fraxinus ornus,Hedera,Helianthemum,Hippophaë,Ilex,Indeterminable undiff./spore,Isoëtesspore,Juglans,Juniperus,Lamiaceae,Liliaceae,Lythrum,Myriophyllum,Nuphar,Nymphaea,Olea,Osmunda regalisspore,Ostrya/Carpinus orientalis,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantago,Platanus,Poaceae,Polygonum,Polygonum aviculare-type,Polypodiophytaspore,Potamogeton,Poterium sanguisorba,Pteridiumspore,Pterocarya,Quercus,Ranunculaceae,Rhamnaceae,Rosaceae,Rubiaceae,Rumex,Salix,Sparganium,Sphagnumspore,Taxus,Thalictrum,Tilia,Typha latifolia,Ulmus,Urtica,Vitis,Zelkova
10.2,--/6114/--,7870/7051/6250,,967,12077,3,,4,,,2,3,1,5,2,1,,2,,,4,2,2,2,,7,2,,,2,2,1,5,,2,,,36,12,,,,,,,,1,2,,53,,3,13,4,5,,28,,2,,1,1,10,,167,,,2,,,,1,,,2,,,2,2,1,
11.25,--/6743/--,8667/7776/6906,,691,12077,2,,3,,,,4,1,6,1,,,,,,7,1,,,1,15,2,,,3,1,2,3,1,,,,17,,,1,,,,,,,1,,30,,4,13,1,1,,32,,39,,,,5,,114,1,,,1,,,1,,,1,,,3,,,
12.25,--/7343/--,9430/8466/7529,,423,12077,2,,3,,,5,1,3,4,,2,,,,,7,1,3,1,,7,1,,,3,,,2,1,,,,27,,,1,,,,1,,,,,40,,4,13,1,1,,29,,18,2,,,11,,153,,,2,1,,1,1,,,,,,3,,,
13,--/7792/--,10002/8984/7994,,508,12077,3,,3,,,,7,4,3,4,,,,,,8,3,,,1,9,1,,,1,2,1,5,,,,,17,,,,,,,1,,,4,,40,,2,23,,6,,50,,8,2,,1,5,,144,3,,,,,,3,,,,,,9,,,
13.5,--/8092/--,10385/9329/8304,,431,12077,3,,2,,,5,5,3,12,2,,,,,,1,5,,3,,6,3,,,1,,1,2,,,,,23,,,,,,,,,,1,,40,,7,20,1,5,,34,,10,2,,2,3,,166,,,2,1,,,1,,,3,,,6,,,
14.5,--/8691/--,11150/10019/8921,,454,12077,3,,2,,,4,2,6,8,2,,,2,,,,7,1,1,,16,5,,,4,1,,3,,1,,,21,,1,2,1,,,,,,1,1,34,,3,14,1,,,42,,5,,,1,5,,123,1,,,1,,,,,,1,,,5,,,
15.5,--/9291/--,11916/10709/9537,,58,12077,3,,15,,,1,4,3,2,,,,,,,12,,,,,15,,,1,1,,,,,,,,52,,,,,,,,,1,6,,74,,6,32,,5,,15,,1,,,1,1,,189,,,,,,,4,,,,3,1,4,,,
16,--/9591/--,12299/11055/9845,,64,12077,3,,8,,,6,,3,3,2,,,,,,8,,,1,,16,,,,2,,3,3,1,,,,31,,,,,,,1,1,1,,,53,,4,26,1,1,,26,,3,,,,2,,174,,1,,,,,2,,,,8,,7,,,
16.5,--/9890/--,12683/11400/10153,,53,18470,3,,7,,,8,4,2,6,4,1,,,,,1,1,1,1,,11,,,,,,1,3,2,,,,26,,,3,,,,2,,1,,,11,,5,24,2,,,22,,2,,,2,,,249,,,,,,,3,,,,8,,9,,1,
17,--/10190/--,13065/11745/10459,1,66,12077,3,,3,,,,14,1,4,4,3,,,,,,2,,,,8,,1,,,,5,5,,,,,32,,,5,,,,,,1,,,1,,4,18,6,2,,72,,1,,,13,,,238,,,1,1,7,,2,,,,1,,2,,,1
17.5,--/11604/--,14612/13300/12023,,324,12077,3,,10,,,1,18,3,82,12,5,,1,,,,5,3,3,,,,,,,1,,1,,,,,45,,,1,,,,,,,1,,2,,1,37,,5,,60,,4,1,,,,,56,,,1,2,,,2,,,2,1,,6,,,
18,--/13019/--,16158/14855/13587,,244,12077,3,,6,,,3,12,9,47,5,14,,,,,4,5,5,4,,,8,,1,1,,,2,,1,,,17,,,1,,,,1,,,,,6,,2,41,,7,,130,,1,,,1,,,31,,,2,8,,,3,,,11,,,3,,,1
18.5,--/14433/--,17703/16410/15150,,308,12077,3,,6,1,,1,20,5,59,12,6,,1,,,5,2,2,3,,,2,,,,1,,,,,,,27,,,3,,,,,,,,,1,,,35,,7,,119,,2,,,,,,30,,,1,3,,,2,,,5,,,,,,1
19,--/15848/--,19250/17965/16714,,219,12077,2,,7,,,1,23,8,59,15,2,,2,,,4,5,1,3,,,4,,1,1,2,,,,,,,39,,,2,,,,1,,,,,2,,,32,,5,,82,,1,,,,,,35,3,,,3,,1,2,,,2,1,,1,,,
19.5,--/17262/--,20795/19520/18277,,283,12077,3,,2,1,1,1,45,4,102,12,6,,1,,,3,3,2,1,,,,,,1,2,,,,,,,41,,,,,,,4,,,1,,1,,,24,,6,,96,1,4,,3,1,,,44,2,,,4,,,4,,,7,,,3,,,
20,--/18676/--,22341/21075/19840,,1791,12077,3,,16,1,,,5,3,31,7,2,,1,,,,3,1,11,,2,1,,1,,1,,,,,,,17,,,2,,,,,,1,,,,,,17,,1,,55,,1,,,,,,33,,,,1,2,,,,,2,1,,,3,,
21.5,--/22920/--,26979/25741/24530,,1129,12077,3,,18,,2,3,13,4,82,3,2,,1,,,1,6,1,31,,4,1,,7,1,,,1,,,,,38,,,,,,,,,,,,,,,37,,,,46,1,3,,1,,,,41,,,,,,,,,,3,,,,,,
