Depth,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Abutilon,Acer,Acorus calamus,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Apiaceae,Aquilegia-type,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cistus,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Crataegus-type,Cyperaceae,Delphinium-type,Dipsacoideae,Dipsacus-type,Dryopteris-typespore,Echinops,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Geraniaceae,Geranium,Geum-type,Hedera,Helianthemum,Helleborus,Herniaria-type,Hippophaë,Hippuris,Humulus/Cannabis,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Juniperus sabina,Knautia,Lamiaceae,Lemna,Leontice leontopetalum,Liliaceae,Linum,Lonicera,Lotus-type,Lysimachia,Lythrum,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis,Monactinus simplexcolony,Muscari,Myosotis,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nuphar,Nymphaea,Nymphoides,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum divergenscolony,Pediastrum duplexcolony,Pediastrum longicornecolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea angustifolia,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus acris,Ranunculus circinatus,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex patientia var. kurdicus,Sagittaria,Salix,Salviniaspore,Sambucus nigra-type,Saxifraga oppositifolia,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Sphagnumspore,Stachys-type,Stratiotes,Succisa,Symphytum-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium pratense,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium,cf. Lycopodiumspore
70,--/1270/--,--/2080/--,2713/2378/2042,8,,,,,4,,13,8,7,,,5,,,2,,2,,,20,,,,,,,,1,27,3,1,,,,1,,1,,,,,,,1,,32,,58,,,,8,,1,1,,,8,,,,14,,,,,16,,,,,1,,,,,,,,,,7,4,3,,,,,,,,,,,,,,,,,,,,4,186,,,2,3,3,3,,,,98,1,1,,,,,2,,,70,1,,5,1,,,,,156,2,5,2,3,,,6,1,,,3,43,324,,1,,,,,,,,,,8,,,1,,,,,,,,,,,,18,,,,,,,,,,,,5,,,,3,36,,,,,,,,1,
80,--/1714/--,--/2377/--,3043/2716/2395,3,,1,,,21,,7,11,9,,,6,,,4,,1,,,1,,,,,,,,,4,5,,,,,2,,3,,,,,,,,,12,,130,,,,2,,,,,,6,,,,2,6,,,,6,2,,,,,,1,,,,,,1,,9,,,,,,,,1,,,1,,,,2,,,,,,,,40,,,,8,1,1,,,,51,,,,,,,2,,,49,1,,1,,,,,,116,1,14,,,,,,,,,8,29,199,1,2,,,,,,,,,1,3,,,,,,,,,,,,,,,25,,,,,,,,,2,,,3,,,,1,25,,,,,,,,,
95,--/2379/--,--/2822/--,3538/3224/2912,6,,1,,,39,,13,12,12,,,5,,,9,,,,,6,,,1,,,,,,4,3,,,,,5,,1,,,,,,,,,25,,118,,,,6,,,,,,19,,,,3,39,,,1,11,,,,,,,,,,,,,1,,2,1,1,,,,,,,,,,1,,1,4,,,,,,,,29,,,1,8,,1,,,,76,,,,,,,1,,,89,,,4,,,1,,1,159,,58,,,,,2,,,,4,41,203,1,,,,1,,2,,,,,1,,,,,,,,,,,,,,,39,,,,,,,,,3,,2,1,,1,,6,23,,,,,,,1,3,
105,--/2823/--,--/3120/--,3875/3562/3255,8,,1,,,15,,8,15,19,,,11,,,9,,,,,6,,,3,,,,,5,9,5,,,,,1,,12,,,,,,,,,9,1,157,,,,5,,,,,,10,,,7,6,,,,,7,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,,2,,2,,,,,,,,21,,,,32,,1,,,1,92,,,,,,,3,1,,96,1,,1,,,1,6,,347,3,19,,,,,,3,,,5,20,286,,1,,,2,,7,,,,1,3,12,,,,,,,,,,,,,,65,,,1,,,,,,1,,,2,,,1,8,26,,,,,,,2,1,
115,--/3267/--,--/3417/--,4217/3901/3593,6,,1,,,16,,13,15,32,,,20,1,,11,,,,,3,,,2,,1,,,1,14,1,,,,,2,,1,,,,,1,1,,2,19,,104,,,,8,,,1,,1,12,,,3,5,7,,,,7,2,,,,,,,,,,,1,,,6,,1,,,,,,,,,,,,,4,,1,1,,,,,33,,,,24,,3,,,,89,,,,,,,3,2,,74,3,,2,,,,1,,109,1,34,1,,1,,1,,,,1,32,193,,1,,,5,3,,,,,,1,1,,,,,,,,,,,,,,49,,,,,,,,,1,,5,1,,,,3,29,,,,,,,1,,
125,--/3711/--,--/3714/--,4560/4239/3923,5,,,,,70,,4,16,15,,,3,3,1,3,,,,,6,,,5,,,,,3,2,5,,1,,,3,,9,,,,1,,,,,7,,336,,,,1,,,1,,,3,,,,4,,,,,3,3,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,1,,,21,,,,56,,2,,,1,65,,,,,,1,,,,73,,,8,,,,,,265,11,17,,,3,,1,2,,,15,1,154,,3,,3,,,6,,,,1,,2,,,,,,,,,1,1,,,,141,,,1,,,,,,1,,2,2,,,2,7,26,,,,,,,2,,
130,--/3933/--,--/3862/--,4733/4408/4086,1,,,,,12,,4,18,23,,,13,,,12,,,,,,,,1,,,,,2,5,2,,,,,1,,,,,,,,,,,19,1,103,,,,5,,,,,,13,,,,,2,,,,3,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,2,,,,,,,,38,,,1,53,,2,,,,46,,,,,,,1,,,61,,,3,,,1,,,123,6,8,,,,,,,,,12,10,146,,1,,,3,,,,,,1,1,,,1,,,,,,,,,,,,136,,,,,,,,,2,,,,,,2,4,25,,,,,,,5,,
137,--/4243/--,--/4070/--,4978/4645/4313,16,,,,,3,,2,11,7,,,3,,,3,,,,,5,,,1,,,,,1,6,1,,,,,3,,1,,,,,,,,1,11,,32,,,,8,,,,,,5,,,3,3,,,,,2,3,,,,,,,1,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,20,,,,19,,1,,,1,36,,,,,,,1,,,53,3,,,,,,2,,92,,,,,,,2,1,,,3,,117,,,,,,,1,,,,,,1,,,,,,,,,,,,,,41,,,,,,,,,,,1,4,,,,5,10,,,,1,,,1,,
150,--/4820/--,--/4456/--,5442/5085/4730,16,,2,,,4,,3,6,4,,,2,,,3,,,,,,,,,,1,,,,6,2,,,,,1,,2,,,,,,,,,11,,59,,,,5,,,,,,2,,,1,8,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,19,,,1,26,,,1,,,43,,,,,,,10,,,105,,,1,,,,2,,114,3,3,2,,,,2,,,,2,4,132,4,,,,6,,7,,,,1,,,,,,,,,,,,,,,,16,,,,,,,,,,,2,3,,,1,3,15,,,,,,,1,,
160,--/5264/--,--/4813/--,5818/5490/5161,7,,,,,5,,8,14,16,,,3,,,6,,,,,4,,,,,,,1,2,13,,,,,,5,,2,,,,6,,,,,19,,159,,,,8,,,1,,,10,,,3,7,4,,,,7,1,,,,,1,,,,,,,,,32,1,,,,,,,,,,,,6,,3,,,,,,,,92,,,1,24,,3,,,,79,,,,,,,,,,58,,1,10,1,4,,,,215,4,9,2,1,,,3,,,,11,7,235,2,5,,,,,1,,,,1,1,,,1,,,,,,,,,,,,21,,,,,,,,,,,1,6,,,2,7,30,,,,,,,2,,
170,--/5708/--,--/5230/--,6229/5960/5692,,1,,,,3,,2,20,29,,,9,,,9,,,,,11,,,,,,,,,,4,,,,1,5,,3,,,,,,,,,28,,40,,,,14,,,1,,,2,,,,1,,,,,1,,,,,,1,,,,,,,,,6,,2,,,,,,,,,,1,1,,6,,,,,,,,55,,,1,6,,,,,,62,,,,,,,2,,,13,,,2,,1,,,,77,1,28,,,,,,1,,,2,4,268,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,44,,,,4,119,,,,,,,1,,
180,--/6152/--,--/5647/--,6666/6431/6189,3,,,,,2,,5,9,23,,,6,,,5,,,,,4,,1,,,,,,,9,3,,,1,,5,,2,,,,,,,,,63,,25,,,,30,,1,2,,,2,,,8,,10,,,,6,1,,,,,1,,,,,,1,,,1,,1,,,,,,,,,,,2,,7,,,,,,,2,59,,,,,,,,,,138,,,,,,2,1,,,30,1,,,,2,,,,125,7,36,3,,,,4,,,,51,2,112,,1,,,,,1,,,,,,,,,,,,,,,,,,,,18,,,1,,,,,,1,,,44,,,,21,10,,,,,,,2,,
190,--/6595/--,--/6064/--,7126/6901/6641,19,,2,,,13,,5,20,16,,,7,7,,15,,,,,3,,,9,,,,,11,7,13,,,,,7,,17,,,,,,,,,34,,146,,,,8,,,,,,,,,4,3,,,,3,3,1,,,,,,,,,,,,1,,,,3,,,,,,1,,,,,2,,3,,,,,,,,44,,,,16,,,,,1,86,,,,2,,,,,,60,9,,,,,,7,,461,10,21,,,,1,1,3,,,9,1,316,,,,,2,,1,,,,,3,,,,,,,,,,,,,,,26,,,,,,,,,4,,4,23,,,1,16,105,,,,,,,1,,
195,--/6817/--,--/6273/--,7369/7136/6841,8,,,,,6,,3,15,5,,,,7,,10,,1,,,2,,,1,,,,,6,4,2,,,1,,1,,4,,,,,,,,,19,,120,,,,4,,,,,,,,,3,1,,,,,,1,,,,,,,,,,,,1,,,,3,,,,,,1,,,,,,,,,,,,,,,29,,,1,31,,,,1,1,19,,,,5,,,1,,,25,4,,1,,,,2,,218,4,2,,,1,1,1,21,,,6,,197,,,3,,,,,,1,,,5,,,,3,,,,,,,,1,,,8,,,1,,,,,1,2,,3,9,,,,11,15,,,,1,,,2,,
205,--/7261/--,--/6742/--,7922/7687/7370,2,,1,,,,,21,11,12,,,12,,,13,,,,,2,,,,,,,,1,,,,,,,,,7,,,,1,,,,,43,,191,,,,18,,,1,,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,4,,,,,,,1,61,,,,13,,,,,,2,,,2,4,,,,,,59,,,,,,,,,443,14,,,,,,18,2,,,16,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,93,,,,21,138,,,,,,,1,,
210,--/7483/--,--/7003/--,8234/8003/7713,3,,10,,,,,9,17,6,,,5,,,9,,,,,4,,,,,,,,2,,1,,,,,5,,1,,,,1,,,,,21,1,16,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,3,,,,,,,,32,,,,4,,,,,,3,,,,,56,,1,,,55,5,,,2,1,,,,457,17,1,,,,,22,337,,,,,250,,,,,,,,,,,,2,,,,1,,,,,,,,,,,5,,,,,,,,,1,,,,,,,33,43,1,,,,,,,,
220,--/7927/--,--/7526/--,8864/8634/8376,5,,3,,,,,19,24,10,,,10,6,,8,,,,,4,,,,,,,1,2,1,3,,,,1,2,,12,,,,,,,,,48,,18,,,,1,,,1,,,1,,,1,,,,,2,1,5,,,,,,,,,,,,,,,,9,,1,,,,,,,,,1,,14,,,,,,,,13,,,,16,,,,,,1,,,,,,,1,,,46,23,,,,,,,,819,16,1,,,1,,23,98,,,,,461,3,,,,,,,,,,1,2,,,,2,,,,,,,,,,,4,,,,,,,,,,,,37,,,,31,55,,,1,,,,2,,
230,--/8371/--,--/8048/--,9504/9265/9001,3,,3,,,1,1,6,37,9,,,7,1,,7,,,,,,,,,,,,,4,,1,,,,,,,10,,,,,,,,,29,,94,,,,1,,,3,,,,,,1,1,,,,,,1,,,,,2,,,,,,1,,,1,,3,,,,,,,,,,,1,,2,,,,,,,,28,,,,14,,,,,,3,,,,14,,,1,,,33,17,,,,,,3,,422,15,1,,,,1,18,14,,,4,1,432,,,,,,,2,,,,1,4,,,,1,,,,,,,,,,1,4,,,,,,,,,,,,30,,,,12,24,,,1,,,,,,
245,--/9036/--,--/8832/--,10492/10212/9887,3,,1,,,,,14,74,13,,,12,,,7,,3,,,11,,,,,,,,9,2,,1,,,,,,7,,,,,,,,,25,,126,,,,2,,1,2,,,,,,,3,4,,,1,,3,,,,,2,,,,,,,,,,,9,,1,,,,,,,,2,,,16,,,,,,,16,95,,,,14,,,,,,7,,1,2,27,,,3,1,,52,23,,4,,1,,,,696,18,5,,,6,,31,124,,,,3,620,,1,,,,,,,,,1,31,,,,,,,,,,,,,,,9,,,,,,,,,4,,,18,,,,26,105,,,,,,,1,,
