,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]"
,1.0,70.0
,4.0,94.0
,7.0,119.0
,8.0,127.0
,9.0,135.0
,12.0,160.0
,14.0,176.0
,17.0,201.0
,19.0,217.0
,22.0,242.0
,24.0,258.0
,27.0,283.0
,29.0,299.0
,30.0,307.0
,36.0,356.0
,42.0,405.0
,48.0,455.0
,54.0,504.0
,60.0,553.0
,66.0,602.0
,72.0,651.0
,79.0,708.0
,85.0,757.0
,91.0,807.0
,97.0,856.0
,104.0,913.0
,112.0,996.0
,118.0,1088.0
,123.0,1164.0
,128.0,1240.0
,133.0,1317.0
,140.0,1424.0
,145.0,1500.0
,150.0,1576.0
,155.0,1653.0
,160.0,1729.0
,165.0,1805.0
,170.0,1882.0
,176.0,1973.0
,181.0,2049.0
,186.0,2126.0
,192.0,2246.0
,196.0,2340.0
,203.0,2505.0
,208.0,2623.0
,214.0,2764.0
,219.0,2881.0
,225.0,3023.0
,230.0,3140.0
,235.0,3258.0
,240.0,3375.0
,245.0,3493.0
,250.0,3611.0
,255.0,3728.0
,260.0,3846.0
,265.0,3963.0
,270.0,4081.0
,275.0,4199.0
,280.0,4316.0
,286.0,4458.0
,291.0,4565.0
,296.0,4672.0
,301.0,4778.0
,306.0,4885.0
,311.0,4992.0
,316.0,5098.0
,324.0,5269.0
,329.0,5375.0
,336.0,5526.0
,341.0,5639.0
,346.0,5751.0
,351.0,5864.0
,356.0,5976.0
,361.0,6089.0
,366.0,6202.0
,371.0,6314.0
,377.0,6449.0
,382.0,6562.0
,387.0,6674.0
,397.0,6899.0
,407.0,7124.0
,417.0,7349.0
,429.0,7620.0
,439.0,7845.0
,450.0,8092.0
,460.0,8317.0
,470.0,8542.0
,480.0,8768.0
,490.0,8993.0
,500.0,9218.0
,510.0,9443.0
,515.0,9555.0
,525.0,9780.0
,530.0,9893.0
,540.0,10090.0
,551.0,10216.0
,561.0,10330.0
,571.0,10445.0
,581.0,10559.0
,591.0,10673.0
,601.0,10787.0
,611.0,10901.0
,618.0,10981.0
,626.0,11073.0
,631.0,11130.0
,641.0,11244.0
,652.0,11370.0
,662.0,11484.0
,667.0,11541.0
