,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,109.0,3567.385,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,114.0,3687.11,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,3830.78,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,125.0,3950.505,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,130.0,4070.229,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,135.0,4189.954,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,140.0,4309.679,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,143.0,4381.514,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,146.0,4453.349,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,152.0,4597.019,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,157.0,4716.743,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,162.0,4836.468,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,170.0,5028.027,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,174.0,5123.807,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,180.0,5267.477,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,189.0,5482.981,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,199.0,5722.431,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,206.0,5890.046,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,214.0,6081.605,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,223.0,6297.11,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,233.0,6589.597,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,241.0,6834.194,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,250.0,7109.366,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,259.0,7384.537,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,268.0,7659.709,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,276.0,7904.306,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,284.0,8148.903,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,294.0,8442.48,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,8589.423,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,305.0,8711.875,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,309.0,8809.837,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,313.0,8907.798,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,324.0,9177.192,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,337.0,9495.567,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,343.0,9642.51,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,349.0,9789.452,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,356.0,9960.885,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,358.0,10009.87,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,376.0,10450.69,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,380.0,10548.65,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,388.5,10756.82,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,393.0,10867.03,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,403.0,11111.93,Calendar Chron,Lewden D.,2006-02-14,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
