,"Deoth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,100.0,2844.677,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,105.0,3004.723,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,110.0,3164.768,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,115.0,3324.814,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,3484.859,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,125.0,3644.905,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,130.0,3804.95,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,135.0,3964.995,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,140.0,4163.711,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,145.0,4366.724,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,150.0,4569.737,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,155.0,4772.75,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,160.0,4975.763,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,165.0,5178.776,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,170.0,5381.789,Calendar Chron,Lewden D.,2006-02-14,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
