Depth,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,EPD Radiocarbon years BP,Abies,Acer,Aesculus,Alisma,Allium-type,Alnus,Amaranthaceae,Anchusa/Pulmonaria,Anemone,Anthericum-type,Anthoceros laevis-type spore,Apiaceae,Araceae,Arctium/Jurinea,Armeria/Limonium,Artemisia,Asperula-type,Asphodelus albus-type,Asteroideae,Betula,Botrychium spore,Brassica-type,Bunium-type,Butomus umbellatus,Calligonum,Callitriche,Caltha-type,Campanula-type,Capsella-type,Carduus-type,Carthamus,Carya,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes-type spore,Cichorioideae,Cirsium/Gundelia,Convolvulus,Cornus,Corylus,Cousinia,Cyperaceae,Delphinium-type,Dipsacus-type,Dryopteris-type spore,Echium-type,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagopyrum,Fagus,Ferula-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Geranium,Glaucium,Gossypium,Haplophyllum,Helianthemum,Hippophaë,Humulus/Cannabis,Hydrocotyle-type,Hypericum perforatum-type,Isoetes spore,Juglans,Juniperus,Knautia,Linum,Lomelosia rotata-type,Lycopodium spore,Lysimachia,Maianthemum-type,Malabaila,Malva,Matricaria-type,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Narthecium-type,Nigella,Noaea-type,Nuphar,Olea,Onopordum-type,Orobanche,Ostrya/Carpinus orientalis,Phillyrea,Picea,Pimpinella-type,Pinus,Plantago lanceolata-type,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanum colony,Pseudopediastrum kawraiskyi colony,Pteridium spore,Pteris spore,Quercus cerris-type,Quercus coccifera-type,Quercus ilex-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rhus,Roemeria,Rosaceae,Rumex acetosa-type,Salix,Sambucus nigra-type,Scabiosa columbaria-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Sisyrinchium,Sparganium-type,Spergularia-type,Sphagnum spore,Stachys-type,Symphytum-type,Tamarix,Taxus,Thalictrum,Thymus/Mentha,Tilia,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Unknown spore,Urtica dioica-type,Utricularia,Valeriana,Valerianella,Vitex agnus-castus,Vitis,cf. Equisetum spore,cf. Lycopodium clavatum spore,cf. Prosopis
1,499/9/-496,--/17/--,2,,,,,,157,,,,,7,,,,58,1,,185,1,,79,,73,1,,,,,,,1,3,1,195,2,,214,1,272,1,,,1,,73,5,,2,,,,1,,,,,6,,1,,5,,,15,,,,1,,,,,,,1,2,,1,,,,1,1,,2,,,1,,,,,,,,,,,431,13,,93,18,5,,,,,,,,2,,2,,,1,,,,,,,,2,,,,,19,,5,,,,,,,,,,1,,,,,,,,,,,,,
5,570/85/-415,--/84/--,1,,,,,1,125,,1,,,7,,,,33,1,,154,1,,34,1,33,,,,,1,,,,2,1,220,2,,160,,176,,1,,1,,50,4,,8,1,,,,,,,,2,,,,,,,9,,,,1,,,,,,,1,2,,,,,,1,,,1,,,,,,,3,,,,,,,387,4,,38,19,3,,,,,,,,,,1,,,,,,,,,1,,4,,,,,8,,4,,,,,,,,,,1,,,2,1,,,,,,,,,1
20,838/371/-110,--/334/--,,,,,,4,192,,,,,4,,,,59,,,196,,,8,,1,,,,,,,,,5,2,261,,,251,,223,2,2,,1,,71,9,,7,,,1,,,,,,3,,,,,,,14,,,,,,,,,,,,,,,3,,,,2,,1,,,,,,,9,,,,,,,400,9,,86,31,6,,,1,,,,,1,,,,,,,,,,,2,,3,,,,,4,,10,,,,,,,,,,,,,,5,,,,,,,,,
40,1195/752/297,--/669/--,,,,,,3,440,,,,,1,,,,35,,,90,1,,2,,1,,,,,,,,2,3,,298,1,,282,,319,2,,,3,,39,2,,9,,,1,1,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,1,2,39,20,7,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,1,,,,,,,,,
60,1554/1134/705,--/1003/--,1,,,,,2,156,,,,,,,,,7,,,60,2,,1,,,,,,,,,,1,,,265,,,167,,202,,,,1,,4,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,17,9,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,14,,,,
80,1912/1515/1112,--/1337/--,8,,,,,2,140,,,,,,,,,14,,,124,,,,,,,,,,2,,,2,,,391,,,202,,182,,1,,,,22,2,2,1,,,,,,,,,3,,,,,,,4,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,203,,,40,82,5,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,16,,,,,,2,,,,,,,,,,,,,,,,,
100,2270/1897/1519,--/1672/--,5,,,,,1,10,,,,,,,1,,2,,,8,1,,,,,,,,,,,,,,,112,,,42,,16,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,357,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
120,2630/2278/1927,--/2006/--,4,,,,,,45,,,,,1,,,,2,,,42,1,,,,,,,,,,,,,1,,248,,,304,,381,1,,,,1,14,1,,6,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,3,,3,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,12,,,,,,,,1,,,,,1,,,,,,,,,,
140,2988/2659/2333,--/2341/--,10,,,,,,5,,,,,,,,,1,,,20,1,2,1,,,,,,,1,,,,,,318,2,,21,,94,,,,1,,2,,1,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,1,,,,,,1,,,,,,275,,,5,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,1,,1,,,,,,,,,,,,,,
160,3347/3041/2740,--/2675/--,17,,,,,2,6,,,,,,,,,2,,,4,,,,,,,,,,,,,4,,,467,,1,3,,8,,,,,,2,,1,3,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,159,1,,5,2,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,
